Scrip Code	Company	LTP	Change Val	Pts Contribution
500209	INFY*	1555.00	-25.30	-205.12
532281	HCLTECH	1004.90	-35.10	-84.30
532540	TCS	3194.65	-6.85	-15.70
500408	TATAELXSI	4302.55	-184.65	-13.99
532755	TECHM	1103.00	-9.15	-12.55
540005	LTI	4288.00	-129.30	-12.00
540115	LTTS	3399.15	-66.50	-3.86
532466	OFSS	4018.10	-77.15	-3.82
532790	TANLA	929.95	-21.70	-3.00
542726	INDIAMART	7227.45	-75.00	-1.56
532541	COFORGE	4549.75	-38.45	-1.55
532348	SUBEX	68.70	-1.20	-1.49
511431	VAKRANGEE	37.70	-1.00	-1.34
532628	3IINFOTECH	9.16	-0.35	-0.86
532221	SONATSOFTW	781.35	-4.40	-0.62
500304	NIITLTD	290.95	-2.45	-0.51
532663	SASKEN	1305.00	-18.95	-0.33
540900	NEWGEN	702.00	-6.30	-0.31
532268	ACCELYA	1431.75	-28.30	-0.23
531209	NUCLEUS	704.50	-7.05	-0.14
532475	APTECHT	247.75	-3.05	-0.14
534758	CIGNITI	647.85	-3.35	-0.13
539289	MJCO	91.90	-2.10	-0.08
504112	NELCO	380.25	-0.30	-0.01
539678	QUICKHEAL	308.45	-0.40	-0.01
532395	AXISCADES	96.10	+1.05	+0.02
504036	HIRECT	170.00	+1.30	+0.02
532513	TVSELECT	196.75	+1.10	+0.02
532413	CEREBRAINT	58.75	+0.15	+0.03
500179	HCL-INSYS	16.85	+0.25	+0.06
532400	BSOFT	419.75	+0.20	+0.07
533146	DLINKINDIA	163.00	+3.35	+0.11
533179	PERSISTENT	2843.35	+1.25	+0.14
526881	63MOONS	94.50	+3.25	+0.18
532927	ECLERX	2238.10	+7.80	+0.28
532819	MINDTREE	2736.55	+4.60	+0.44
532370	RAMCOSYS	667.20	+17.60	+0.54
543228	ROUTE	2150.55	+20.40	+0.55
538835	INTELLECT	775.85	+3.25	+0.66
539807	INFIBEAM	50.05	+0.60	+0.83
526299	MPHASIS	2395.75	+5.65	+1.03
532528	DATAMATICS	250.75	+31.65	+1.07
532368	BCG	40.25	+1.90	+1.22
542333	RPSGVENT	639.35	+45.05	+1.32
523704	MASTEK	2479.25	+42.85	+1.32
543227	HAPPSTMNDS	1494.15	+17.40	+1.47
532859	HGS	3116.65	+148.40	+2.26
542651	KPITTECH	266.15	+8.60	+2.92
504067	ZENSARTECH	376.90	+24.30	+3.40
507685	WIPRO	577.65	+1.90	+5.99
532809	FSL	229.70	+24.40	+17.29
532175	CYIENT	1061.70	+114.25	+20.86


