Scrip Code,Company,LTP,Change Val,Pts Contribution
500325,RELIANCE,2111.8,28.55,7.58
532454,BHARTIARTL,541,15.45,3.07
532488,DIVISLAB,4762.3,155.4,1.63
500470,TATASTEEL,1278.3,22.2,1.43
532538,ULTRACEMCO,7331.4,139.95,1.33
500875,ITC,207.9,1.7,1.22
500510,LT,1619.1,10.05,1
517354,HAVELLS,1077.9,38.05,0.79
532898,POWERGRID,233.8,3.45,0.73
500302,PEL,2351.95,73.4,0.68
526371,NMDC,178.6,5.95,0.53
534816,INDUSTOWER,240.7,6.2,0.48
500440,HINDALCO,405.4,4,0.48
500300,GRASIM,1572.25,14.3,0.47
524804,AUROPHARMA,975.4,19.9,0.46
524715,SUNPHARMA,688.65,5.15,0.46
532868,DLF,330.9,8.65,0.44
500180,HDFCBANK,1521.7,1.2,0.41
540376,DMART,3349.4,30.1,0.37
500820,ASIANPAINT,2992.65,9.9,0.37
500257,LUPIN,1180,18.1,0.36
500228,JSWSTEEL,703.25,4.3,0.35
500295,VEDL,272.8,3.2,0.34
540777,HDFCLIFE,697.95,4.15,0.27
507685,WIPRO,577.65,1.9,0.23
500182,HEROMOTOCO,2903.9,18.55,0.2
517334,MOTHERSUMI,244.1,1.85,0.19
543066,SBICARD,989.45,10.85,0.17
500570,TATAMOTORS,311.25,1.05,0.17
500087,CIPLA,977.2,3.85,0.16
500696,HINDUNILVR,2414.6,2.1,0.16
540133,ICICIPRULI,627.3,4.75,0.15
500124,DRREDDY,5409.15,14.25,0.15
532461,PNB,40.85,0.5,0.13
532424,GODREJCP,951.25,2.95,0.1
500790,NESTLEIND,17650.1,31.3,0.1
532321,CADILAHC,644.15,3.5,0.08
500104,HINDPETRO,268.1,1.1,0.07
500547,BPCL,447.95,0.95,0.07
532155,GAIL,144.85,0.4,0.06
532522,PETRONET,221.75,0.65,0.04
512070,UPL,837.45,0.65,0.03
500034,BAJFINANCE,6126.8,1.1,0.03
500247,KOTAKBANK,1750.3,0.25,0.03
540755,GICRE,185.05,0.4,0.01
541729,HDFCAMC,3089.3,2.25,0.01
570001,TATAMTRDVR,144.65,-0.15,0
500520,M&M,779.55,-0.35,-0.02
532500,MARUTI,7303.65,-3.4,-0.03
530965,IOC,106.15,-0.15,-0.03
500312,ONGC,116.7,-0.15,-0.04
500331,PIDILITIND,2245.1,-3.45,-0.04
500530,BOSCHLTD,15282.85,-59.5,-0.04
540719,SBILIFE,1050.35,-2,-0.06
500188,HINDZINC,344.05,-3.35,-0.07
532977,BAJAJ-AUTO,3930.1,-9.3,-0.1
539448,INDIGO,1808.9,-15.1,-0.12
500425,AMBUJACEM,383.05,-2.6,-0.15
500550,SIEMENS,2011.9,-21,-0.15
500825,BRITANNIA,3443.25,-17.65,-0.17
500096,DABUR,580.35,-3.9,-0.18
533278,COALINDIA,145.6,-1.15,-0.19
500114,TITAN,1695.8,-6.5,-0.22
532134,BANKBARODA,81.75,-1.95,-0.29
500387,SHREECEM,28091.05,-381.4,-0.3
531642,MARICO,525.5,-8.45,-0.35
500010,HDFC,2536.95,-2.65,-0.39
500112,SBIN,430.2,-1.45,-0.45
532755,TECHM,1103,-9.15,-0.46
540716,ICICIGI,1521.6,-25.9,-0.46
532555,NTPC,119.1,-1.25,-0.48
532187,INDUSINDBK,1044.55,-10.5,-0.5
505200,EICHERMOT,2616.25,-50.15,-0.57
532540,TCS,3194.65,-6.85,-0.58
541153,BANDHANBNK,309.3,-10.3,-0.61
532215,AXISBANK,771.1,-3.1,-0.67
532921,ADANIPORTS,688,-11.1,-0.67
532978,BAJAJFINSV,12751.65,-204,-1.01
532281,HCLTECH,1004.9,-35.1,-3.12
532174,ICICIBANK,660.25,-7.05,-4
500209,INFY*,1555,-25.3,-7.6
