Scrip Code	Company	Security Group	Open	High	Low	LTP	No. of Shares Traded	Total Turnover(₹ Lac.)	No. of Trades
500325	RELIANCE	A	2,085.00	2,114.50	2,085.00	2,111.80	3,33,073	7,008.50	19,969
500470	TATASTEEL	A	1,264.90	1,281.15	1,258.60	1,278.30	5,25,026	6,669.41	17,928
500570	TATAMOTORS	A	310.50	315.40	310.50	311.25	11,38,753	3,560.60	14,184
500510	LT	A	1,610.00	1,622.20	1,596.00	1,619.10	1,92,874	3,112.38	7,319
500875	ITC	A	207.60	209.70	207.20	207.90	11,65,770	2,430.06	10,915
512070	UPL	A	840.10	852.50	830.85	837.45	1,93,180	1,623.20	5,842
532500	MARUTI	A	7,322.00	7,331.10	7,275.00	7,303.65	21,449	1,565.94	3,390
532538	ULTRACEMCO	A	7,192.00	7,355.80	7,184.45	7,331.40	21,023	1,527.59	3,988
524715	SUNPHARMA	A	685.00	695.45	682.05	688.65	2,04,044	1,409.63	6,953
505200	EICHERMOT	A	2,670.00	2,670.30	2,606.55	2,616.25	48,841	1,280.73	5,929
500696	HINDUNILVR	A	2,419.45	2,429.00	2,406.00	2,414.60	52,143	1,259.89	4,579
532488	DIVISLAB	A	4,613.50	4,777.35	4,613.00	4,762.30	26,311	1,246.31	3,296
500114	TITAN	A	1,700.00	1,710.00	1,689.00	1,695.80	70,083	1,191.82	5,584
500295	VEDL	A	271.00	274.95	271.00	272.80	3,88,337	1,060.43	3,946
500820	ASIANPAINT	A	2,999.95	3,009.50	2,965.00	2,992.65	33,609	1,002.99	2,911
500440	HINDALCO	A	403.80	406.00	399.25	405.40	2,48,650	1,002.78	3,408
500124	DRREDDY	A	5,390.00	5,450.30	5,385.60	5,409.15	17,289	935.61	2,653
500228	JSWSTEEL	A	705.60	707.30	700.55	703.25	1,31,920	928.32	2,673
500547	BPCL	A	449.80	450.60	446.00	447.95	2,03,087	909.73	3,345
500087	CIPLA	A	974.55	989.95	973.85	977.20	83,022	815.80	3,139
500825	BRITANNIA	A	3,455.00	3,472.75	3,438.25	3,443.25	22,117	762.95	4,728
532424	GODREJCP	A	950.00	959.45	944.30	951.25	66,488	631.64	1,972
500182	HEROMOTOCO	A	2,885.35	2,909.65	2,880.00	2,903.90	20,036	579.94	2,947
500300	GRASIM	A	1,562.10	1,578.70	1,548.55	1,572.25	29,619	462.84	2,066
500800	TATACONSUM	A	772.40	772.60	761.00	763.20	56,811	434.29	1,786
532977	BAJAJ-AUTO	A	3,970.00	3,970.00	3,925.00	3,930.10	9,101	358.46	1,337
500331	PIDILITIND	A	2,248.55	2,269.00	2,240.40	2,245.10	10,771	242.54	1,341
500520	M&M	A	780.00	783.90	776.70	779.55	25,695	200.46	1,217
500096	DABUR	A	584.25	588.65	578.75	580.35	29,229	170.35	1,351
500790	NESTLEIND	A	17,698.00	17,714.70	17,549.65	17,650.10	623	110.02	216
