Scrip Code,Company,LTP,Change Val,Pts Contribution
542830,IRCTC,2427,158.05,14.39
543245,GLAND,3958.4,216.3,13.42
539254,ADANITRANS,1010.15,27.85,13.2
502355,BALKRISIND,2383.5,72.2,10.11
532822,IDEA,9.45,0.68,9.43
532296,GLENMARK,687.05,31.35,8.09
500490,BAJAJHLDNG,3975.25,89.9,7.76
540691,ABCAPITAL,124.5,5.5,6.87
532892,MOTILALOFS,1125.65,105.25,6.39
532478,UBL,1447.85,51.95,6.16
532286,JINDALSTEL,405.9,8.85,6.07
540767,NAM-INDIA,418.4,22.35,5.7
539876,CROMPTON,466.55,6.5,5.21
541450,ADANIGREEN,1003.85,8.9,4.8
532523,BIOCON,409.25,6.1,4.67
533150,GODREJPROP,1577.7,22.7,4.57
541179,ISEC,765,38.8,4.53
533155,JUBLFOOD,3144.85,39.45,4.22
532810,PFC,127.55,1.85,3.71
533148,JSWENERGY,193.7,5,3.54
500850,INDHOTEL,152.85,2.95,3.51
500575,VOLTAS,1051.3,8.85,3.49
500271,MFSL,1066.3,8.15,3.15
508869,APOLLOHOSP,3780.05,18.4,3.15
500290,MRF,82384.25,857.75,3.08
500103,BHEL,66.3,1.35,3
539437,IDFCFIRSTB,54.05,0.65,2.99
500113,SAIL,127.2,1.05,2.62
500410,ACC,2129.15,17.25,2.52
500260,RAMCOCEM,1125.35,11,2.42
500660,GLAXO,1575.75,30.85,2.26
500092,CRISIL,2750.7,54.05,2.24
523642,PIIND,2974.25,15.8,2.19
523395,3MINDIA,24664.95,356.9,1.74
540153,ENDURANCE,1647.5,28.15,1.71
533096,ADANIPOWER,105.25,1.35,1.71
507815,GILLETTE,6020.95,140.85,1.59
532955,RECLTD,151.65,0.9,1.44
500488,ABBOTINDIA,17480.95,145.9,1.34
539523,ALKEM,3349.75,22,1.32
509480,BERGEPAINT,843.75,2.85,1.2
532754,GMRINFRA,31.1,0.25,0.94
500086,EXIDEIND,184.05,1.1,0.87
532343,TVSMOTOR,611.8,2.5,0.86
506285,BAYERCROP,5953.7,36.15,0.82
526299,MPHASIS,2395.75,5.65,0.8
532720,M&MFIN,162.15,0.7,0.72
532827,PAGEIND,33141.75,73.5,0.72
532483,CANBK,151.3,0.7,0.62
532477,UNIONBANK,36.65,0.2,0.4
532733,SUNTV,534.1,2.5,0.36
532779,TORNTPOWER,480.75,0.85,0.25
533398,MUTHOOTFIN,1569.2,1.3,0.25
524816,NATCOPHARM,1107.4,1.15,0.19
500870,CASTROLIND,143.4,0.1,0.09
500165,KANSAINER,600.05,-0.05,-0.01
535755,ABFRL,223.6,-0.1,-0.05
500116,IDBI,37.8,-0.15,-0.05
531500,RAJESHEXPO,575.9,-0.25,-0.06
540064,FRETAIL,63,-0.2,-0.09
532149,BANKINDIA,75.15,-0.2,-0.12
540065,RBLBANK,214.8,-0.2,-0.17
500238,WHIRLPOOL,2196.5,-3.5,-0.19
500164,GODREJIND,555.85,-2.6,-0.33
533519,L&TFH,94.85,-0.25,-0.34
500253,LICHSGFIN,468.85,-0.8,-0.41
540769,NIACL,164.65,-1.15,-0.42
533206,SJVN,27.95,-0.55,-0.48
500049,BEL,179.65,-0.25,-0.51
509930,SUPREMEIND,2129.45,-5.05,-0.56
533098,NHPC,25.95,-0.15,-0.65
500459,PGHH,12894.75,-41.85,-0.68
500400,TATAPOWER,124.15,-0.25,-0.71
500420,TORNTPHARM,2990.1,-9.15,-0.77
500008,AMARAJABAT,727.9,-5.5,-0.77
532331,AJANTPHARM,2154.8,-18.1,-0.78
500830,COLPAL,1746.5,-4.35,-1
511243,CHOLAFIN,512.35,-1.55,-1.05
505537,ZEEL,209,-0.75,-1.24
533273,OBEROIRLTY,707.8,-6.8,-1.36
500493,BHARATFORG,807.4,-3.2,-1.38
500002,ABB,1762.8,-16.3,-1.49
517174,HONAUT,43651.3,-407,-1.55
500469,FEDERALBNK,87.9,-0.5,-1.72
500477,ASHOKLEY,127.85,-0.75,-1.82
532466,OFSS,4018.1,-77.15,-2.97
541154,HAL,1075.8,-21.1,-3.04
533106,OIL,156.4,-5,-3.08
511218,SRTRANSFIN,1448.1,-9.9,-3.41
531162,EMAMILTD,558.3,-9.5,-3.49
500480,CUMMINSIND,857.2,-16.6,-3.88
531344,CONCOR,661.3,-8.4,-3.97
532514,IGL,552.5,-7.75,-4.67
512599,ADANIENT,1394.65,-13.7,-6.49
540611,AUBANK,1227.5,-21.6,-7.9
500800,TATACONSUM,763.2,-9.05,-9.34
540005,LTI,4288,-129.3,-9.35
532777,NAUKRI,5104.35,-106.25,-12.97
