Scrip Code,Company,LTP,Change Val,Pts Contribution
532175,CYIENT,1061.7,114.25,15.63
532809,FSL,229.7,24.4,12.95
539268,SYNGENE,668.3,54.6,10.5
532702,GSPL,337.05,14.95,7.13
533758,APLAPOLLO,1570.25,52.1,6.69
532234,NATIONALUM,88.25,4.35,6.36
523367,DCMSHRIRAM,1012.45,67.45,5.58
535789,IBULHSGFIN,275.4,9.3,5.35
543235,ANGELBRKG,1274.45,212.4,4.9
506943,JBCHEPHARM,1889.4,81.45,4.59
541301,ORIENTELEC,333.5,22.45,4.58
532659,IDFC,55.75,2.3,4.5
532497,RADICO,789.8,32.65,4.34
500043,BATAINDIA,1615.45,41.4,4.14
542772,IIFLWAM,1381.3,97.55,3.84
503806,SRF,7758.5,80.85,3.81
502986,VTL,1712.05,103.55,3.76
542066,ATGL,899.25,7.7,3.51
539978,QUESS,772.4,29.35,3.16
512529,SEQUENT,303.4,15.4,2.85
523405,JMFINANCIL,111.8,4.05,2.81
532915,RELIGARE,147.3,7.6,2.65
539150,PNCINFRA,316.85,14.15,2.65
503100,PHOENIXLTD,876.05,16.8,2.58
504067,ZENSARTECH,376.9,24.3,2.54
532482,GRANULES,381.4,11.05,2.54
533274,PRESTIGE,329.9,11.9,2.45
532504,NAVINFLUOR,3891.6,42.2,2.35
532756,MAHINDCIE,250.45,13.3,2.34
542651,KPITTECH,266.15,8.6,2.19
500252,LAXMIMACH,7722.05,188.2,2.1
504973,CHOLAHLDNG,649.25,12.75,2.02
540212,TCIEXP,1582.85,95.3,2
522287,KALPATPOWR,471.25,17.55,1.95
500183,HFCL,80.15,1.65,1.93
532300,WOCKPHARMA,572.35,37.45,1.92
543232,CAMS,3435.1,78.85,1.91
500125,EIDPARRY,415.75,10.95,1.77
532859,HGS,3116.65,148.4,1.69
500294,NCC,94.25,1.9,1.55
534091,MCX,1720.1,20.9,1.5
540750,IEX,412.95,3.75,1.38
542773,IIFLSEC,120,6.2,1.37
500171,GHCL,320,10.8,1.36
514043,HIMATSEIDE,245.55,17.6,1.32
500067,BLUESTARCO,865.2,12.9,1.26
543220,MAXHEALTH,268.95,2.65,1.23
533122,RTNPOWER,7.63,0.36,1.18
