Scrip Code	Company	LTP	Change Val	Pts Contribution
502355	BALKRISIND	2383.50	+72.20	+27.48
500182	HEROMOTOCO	2903.90	+18.55	+11.29
517334	MOTHERSUMI	244.10	+1.85	+10.41
500570	TATAMOTORS	311.25	+1.05	+9.32
500290	MRF	82384.25	+857.75	+8.36
532343	TVSMOTOR	611.80	+2.50	+2.34
500520	M&M	779.55	-0.35	-1.57
500495	ESCORTS	1194.35	-5.65	-2.04
532500	MARUTI	7303.65	-3.40	-2.12
500530	BOSCHLTD	15282.85	-59.50	-2.39
540762	TIINDIA	1129.50	-6.45	-3.03
500477	ASHOKLEY	127.85	-0.75	-4.96
532977	BAJAJ-AUTO	3930.10	-9.30	-5.68
500480	CUMMINSIND	857.20	-16.60	-10.57
505200	EICHERMOT	2616.25	-50.15	-32.78
