time,open,high,low,close,"BANKNIFTY, NSE: Open","BANKNIFTY, NSE: High","BANKNIFTY, NSE: Low","BANKNIFTY, NSE: Close",Volume,Volume MA
1364442300,5635.25,5684.55,5604,5682.55,11188.95,11413.25,11080.05,11361.85,14333600,12499722.5
1364787900,5716.35,5743,5696.1,5726.55,11414.95,11460.6,11330.85,11425.55,7667600,11839500
1364874300,5711,5773.35,5704.6,5766.6,11430.85,11548.05,11361.15,11523.4,8273750,11669755
1364960700,5746,5763.2,5666.4,5688.1,11512.75,11590.6,11283.4,11344.1,10405700,11743152.5
1365047100,5657.75,5658.5,5583.3,5593.2,11243.2,11254.25,11105.1,11126.25,13877850,11933817.5
1365133500,5586,5594,5552.8,5572.05,11120.15,11168.25,11021.4,11098.95,11992650,12129720
1365392700,5550,5587.2,5550,5559,11075.85,11133.85,11002.1,11012.65,6593700,11964812.5
1365479100,5584.9,5622.4,5494,5500.85,11085.8,11210.35,10897.15,10929.15,14270250,12042062.5
1365565500,5529,5577.65,5480.3,5563.85,11009.45,11143.6,10888.75,11122.25,14298750,12333822.5
1365651900,5595,5617.85,5542.2,5594.8,11220.5,11341.85,11154.05,11306.5,12725700,12439430
1365738300,5529,5563,5515.1,5535.2,11239.15,11442.9,11236.05,11410.1,10974450,12530167.5
1365997500,5510,5600.95,5503.15,5568.05,11357.95,11643.3,11334.75,11526.25,11733700,12189355
1366083900,5549,5708,5538.9,5696.35,11517.9,11906.25,11515.3,11871.6,17859550,12434485
1366170300,5709.95,5733.45,5666.2,5694.2,11924.7,12112.25,11913.95,11981.05,12925900,12651592.5
1366256700,5719.9,5796.7,5685.45,5783,11902.55,12313,11891.95,12288.25,12518500,12276435
1366602300,5816.3,5843.1,5791,5832.85,12317.4,12637.95,12317.4,12576.2,12640200,12249487.5
1366688700,5833.45,5852.45,5795.6,5843,12601.05,12605.7,12333,12543.4,13852750,12085480
1366861500,5898.4,5924.35,5861,5916.3,12632.25,12755.8,12611.5,12726.85,16802850,12350755
1366947900,5919,5920,5877.15,5887.75,12679.3,12679.9,12470,12533.15,8263550,12143690
1367207100,5894,5934.9,5884.65,5918.2,12560.35,12661.25,12508.4,12609.15,6124000,11906750
1367293500,5950,5965.9,5867,5929,12638,12658.6,12402.15,12561.55,11395550,11759847.5
1367466300,5936,6024.95,5930,6007.4,12554.7,12783.3,12552.85,12709.95,12021100,11977522.5
1367552700,6000.1,6006,5937.45,5948.25,12678.9,12678.9,12364.7,12393.6,13033450,12215507.5
1367811900,5960,5981.4,5930.2,5971.3,12358.35,12436,12188.3,12396.4,7658050,12078125
1367898300,5988.2,6057,5985.05,6050.3,12404.55,12649.45,12404.55,12631.5,9505850,11859525
1367984700,6067.2,6089.9,6025.3,6075.2,12662.1,12694.4,12514.7,12643.05,9731050,11746445
1368071100,6090,6090,6038.1,6048.95,12663.75,12718.9,12541.8,12596.3,7717850,11802652.5
1368157500,6053,6118,6045.45,6108.35,12580.4,12783.05,12580.4,12752.3,9729500,11575615
1368416700,6114.85,6119,5986.1,5994.45,12760.45,12865.35,12546.25,12568.85,12408050,11481080
1368503100,5994.5,6039.9,5980.5,6006,12567.55,12698.35,12516.1,12583.6,11248850,11407237.5
1368589500,6026.6,6168.9,6026.25,6161.5,12646.35,13099.35,12646.35,13077.9,15968400,11656935
1368675900,6159.95,6198,6143.55,6178.05,13022.25,13281.8,13022.25,13239.45,9607950,11550647.5
1368762300,6185.1,6209.2,6152.55,6196.1,13227.8,13355.1,13116.85,13317.1,7934950,11054417.5
1369021500,6206.1,6239,6154.35,6164.85,13332.7,13414.3,13150.3,13181.5,9207250,10868485
1369107900,6168.55,6189.6,6106,6116.9,13182.2,13268.25,13038,13066.5,11746750,10829897.5
1369194300,6134,6154,6081.3,6104.05,13105.1,13175.65,12932.2,13008.25,10178750,10706825
1369280700,6078,6079.9,5952.6,5966.1,12907.9,12944,12594.9,12636.5,18332050,10930790
1369367100,6000,6011.45,5936.1,5985.4,12756.35,12828.6,12582.5,12769.35,12140400,10697667.5
1369626300,5988.75,6100,5972.75,6083.45,12751.5,13014.75,12735.05,12961.55,11916050,10880292.5
1369712700,6071,6127,6048.1,6109.4,12951.4,13016.45,12872.9,12950,15348800,11341532.5
1369799100,6113.4,6113.4,6055.55,6090.25,12931.35,12931.35,12773.4,12853.2,11400850,11341797.5
1369885500,6052,6131,6052,6124.05,12738.15,12829.55,12721.45,12805.9,11400850,11310785
1369971900,6119,6119,5991,6000.05,12734.3,12760.45,12453.15,12475.65,13900150,11354120
