Scrip Code	Company	LTP	Change_val	Pts_con
500470	TATASTEEL	1278.30	+22.20	+10.07
532538	ULTRACEMCO	7331.40	+139.95	+9.38
526371	NMDC	178.60	+5.95	+3.75
500440	HINDALCO	405.40	+4.00	+3.39
500300	GRASIM	1572.25	+14.30	+3.28
500228	JSWSTEEL	703.25	+4.30	+2.48
500295	VEDL	272.80	+3.20	+2.35
532234	NATIONALUM	88.25	+4.35	+2.23
532286	JINDALSTEL	405.90	+8.85	+2.05
500113	SAIL	127.20	+1.05	+0.88
500410	ACC	2129.15	+17.25	+0.85
532504	NAVINFLUOR	3891.60	+42.20	+0.83
500260	RAMCOCEM	1125.35	+11.00	+0.82
523642	PIIND	2974.25	+15.80	+0.74
500171	GHCL	320.00	+10.80	+0.48
542812	FLUOROCHEM	1486.00	+16.75	+0.34
500770	TATACHEM	781.20	+3.50	+0.34
500730	NOCIL	266.30	+4.30	+0.28
506285	BAYERCROP	5953.70	+36.15	+0.28
532548	CENTURYPLY	418.20	+7.40	+0.27
509675	HIL	4453.75	+101.40	+0.25
500412	TIRUMALCHM	167.70	+6.30	+0.22
500355	RALLIS	338.60	+3.95	+0.22
506401	DEEPAKNI	1952.05	+5.45	+0.22
500040	CENTURYTEX	719.80	+6.90	+0.21
512070	UPL	837.45	+0.65	+0.21
532834	CAMLINFINE	225.60	+3.55	+0.19
530999	BALAMINES	2905.15	+30.90	+0.19
500670	GNFC	359.45	+3.35	+0.18
524208	AARTIIND	856.15	+1.75	+0.18
524051	POLYPLEX	1526.50	+19.10	+0.17
504918	SANDUMA	2065.75	+109.95	+0.16
500777	TNPETRO	121.90	+3.60	+0.12
502168	NCLIND	247.15	+6.75	+0.11
500380	JKLAKSHMI	656.00	+2.55	+0.10
506579	ORIENTCQ	1107.20	+30.95	+0.09
500235	KSL	407.15	+10.10	+0.09
542857	GREENPANEL	246.90	+2.50	+0.09
500339	RAIN	232.60	+0.85	+0.09
500055	TATASTLBSL	89.55	+0.65	+0.08
543252	FAIRCHEMOR	1531.90	+35.40	+0.07
507717	DHANUKA	1001.65	+9.35	+0.07
506767	ALKYLAMINE	3769.70	+9.30	+0.07
540824	ASTRON	71.50	+3.95	+0.06
514183	BLACKROSE	196.00	+7.50	+0.06
500199	IGPL	691.45	+8.95	+0.05
509055	VISAKAIND	764.20	+8.55	+0.05
513228	PENIND	36.60	+0.75	+0.04
532734	GPIL	1412.65	+6.25	+0.04
513434	TATAMETALI	1272.95	+4.65	+0.04
500650	EXCELINDUS	1232.45	+8.05	+0.03
530117	PRIVISCL	1374.15	+5.55	+0.03
533286	MOIL	188.80	+0.60	+0.03
533282	GRAVITA	174.15	+2.05	+0.02
500298	NATPEROX	2196.75	+20.20	+0.02
506687	TRANSPEK	1902.15	+16.25	+0.02
533333	FCL	95.95	+0.80	+0.02
500117	DCW	40.70	+0.25	+0.02
524230	RCF	83.75	+0.25	+0.02
540935	GALAXYSURF	3137.75	+2.80	+0.02
516022	STARPAPER	160.95	+0.90	+0.01
502450	SESHAPAPER	216.15	+0.65	+0.01
504614	SARDAEN	649.10	+1.70	+0.01
543210	AARTISURF	1388.30	+2.30	+0.01
523630	NFL	62.80	+0.05	+0.01
500444	WSTCSTPAPR	262.15	+0.20	+0.01
500338	PRSMJOHNSN	139.35	+0.10	+0.01
530005	INDIACEM	192.20	+0.05	+0.01
539201	SATIA	106.70	+0.05	+0.00
502157	MANGLMCEM	393.90	+0.10	+0.00
500120	DIAMINESQ	293.30	-0.10	0.00
543213	ROSSARI	1168.35	-1.10	0.00
500268	MANALIPETC	82.45	-0.10	0.00
538666	SHARDACROP	359.10	-0.50	0.00
526521	SANGHIIND	60.00	-0.15	0.00
502330	ANDHRAPAP	252.15	-1.05	0.00
516082	NRAGRINDQ	249.70	-2.50	0.00
519307	VIKASWSP	5.93	-0.07	0.00
526797	GREENPLY	199.25	-0.30	-0.01
505710	GRAUWEIL	70.65	-0.25	-0.01
531426	TNPL	150.60	-0.65	-0.01
502420	ORIENTPPR	29.90	-0.15	-0.01
543233	CHEMCON	492.30	-2.50	-0.01
508906	EVERESTIND	415.60	-3.65	-0.01
514418	MANORG	783.90	-6.90	-0.01
539334	SHREEPUSHK	181.40	-1.60	-0.01
532785	RUCHIRA	97.75	-1.65	-0.01
500645	DEEPAKFERT	416.25	-0.85	-0.02
532162	JKPAPER	218.95	-0.55	-0.02
502180	SHREDIGCEM	87.50	-0.80	-0.02
530803	BHAGIL	286.60	-3.20	-0.02
504741	INDIANHUME	238.30	-2.85	-0.02
534742	ZUARI	150.35	-2.40	-0.02
524200	VINATIORGA	1912.25	-2.30	-0.03
532369	RAMCOIND	289.40	-1.40	-0.03
506390	CLNINDIA	592.90	-5.05	-0.03
500404	SUNFLAG	82.55	-0.90	-0.03
