Scrip Code	Company	LTP	Change Val	Pts Contribution
500510	LT	1619.10	+10.05	+70.02
517354	HAVELLS	1077.90	+38.05	+54.96
541450	ADANIGREEN	1003.85	+8.90	+16.05
500103	BHEL	66.30	+1.35	+10.03
500252	LAXMIMACH	7722.05	+188.20	+7.30
532683	AIAENG	2045.25	+19.25	+3.35
532754	GMRINFRA	31.10	+0.25	+3.13
522113	TIMKEN	1527.25	+16.50	+2.29
500411	THERMAX	1427.20	+9.10	+2.06
500144	FINCABLES	538.95	+1.80	+0.79
532953	VGUARD	258.90	-0.60	-0.56
505790	SCHAEFFLER	5402.80	-19.60	-0.89
509488	GRAPHITE	667.00	-3.90	-1.54
500049	BEL	179.65	-0.25	-1.73
500472	SKFINDIA	2569.75	-20.45	-2.75
513375	CARBORUNIV	649.95	-5.20	-3.30
506076	GRINDWELL	1304.55	-15.50	-4.16
500493	BHARATFORG	807.40	-3.20	-4.65
500002	ABB	1762.80	-16.30	-4.99
517174	HONAUT	43651.30	-407.00	-5.19
541154	HAL	1075.80	-21.10	-10.18
500550	SIEMENS	2011.90	-21.00	-10.79
