Scrip Code	Company	LTP	Change Val	Pts Contribution
542830	IRCTC	2427.00	+158.05	+3.50
502355	BALKRISIND	2383.50	+72.20	+2.46
532868	DLF	330.90	+8.65	+2.24
540376	DMART	3349.40	+30.10	+1.88
500820	ASIANPAINT	2992.65	+9.90	+1.87
539876	CROMPTON	466.55	+6.50	+1.26
541301	ORIENTELEC	333.50	+22.45	+1.16
533150	GODREJPROP	1577.70	+22.70	+1.11
500043	BATAINDIA	1615.45	+41.40	+1.05
533155	JUBLFOOD	3144.85	+39.45	+1.02
500182	HEROMOTOCO	2903.90	+18.55	+1.01
502986	VTL	1712.05	+103.55	+0.95
517334	MOTHERSUMI	244.10	+1.85	+0.93
500850	INDHOTEL	152.85	+2.95	+0.85
500575	VOLTAS	1051.30	+8.85	+0.84
500290	MRF	82384.25	+857.75	+0.74
503100	PHOENIXLTD	876.05	+16.80	+0.65
533274	PRESTIGE	329.90	+11.90	+0.62
540153	ENDURANCE	1647.50	+28.15	+0.41
514043	HIMATSEIDE	245.55	+17.60	+0.33
500067	BLUESTARCO	865.20	+12.90	+0.31
509480	BERGEPAINT	843.75	+2.85	+0.29
521016	ICIL	207.30	+8.15	+0.27
532832	IBREALEST	142.95	+2.10	+0.25
532539	MINDAIND	719.95	+7.30	+0.24
500086	EXIDEIND	184.05	+1.10	+0.21
532343	TVSMOTOR	611.80	+2.50	+0.21
532889	KPRMILL	1856.75	+26.00	+0.18
532827	PAGEIND	33141.75	+73.50	+0.17
500330	RAYMOND	453.45	+11.40	+0.16
500233	KAJARIACER	1002.05	+4.40	+0.15
500020	BOMDYEING	102.45	+3.70	+0.14
532796	LUMAXTECH	171.05	+10.10	+0.12
540673	SIS	505.95	+7.75	+0.12
539542	LUXIND	3682.10	+34.55	+0.11
500878	CEATLTD	1449.85	+12.75	+0.11
539658	TEAMLEASE	3852.40	+28.40	+0.11
526729	GOLDIAM	591.90	+31.65	+0.10
533088	MHRIL	324.95	+5.60	+0.10
523716	ASHIANA	171.60	+5.35	+0.09
532443	CERA	4489.40	+33.80	+0.08
532733	SUNTV	534.10	+2.50	+0.08
543248	BURGERKING	168.60	+2.35	+0.07
542337	SPENCER	98.45	+3.55	+0.06
532382	BALAJITELE	71.25	+2.35	+0.06
517385	SYMPHONY	1071.90	+8.55	+0.06
531978	AMBIKCO	1405.00	+41.60	+0.05
539276	KAYA	510.90	+18.75	+0.04
508486	HAWKINCOOK	5939.30	+48.30	+0.04
526596	LIBERTSHOE	181.95	+12.15	+0.03
532768	FIEMIND	793.15	+17.55	+0.03
532605	JBMA	501.70	+10.30	+0.03
531548	SOMANYCERA	675.40	+3.50	+0.03
532689	PVR	1369.35	+1.55	+0.03
533260	CAREERP	148.50	+8.70	+0.02
533287	ZEELEARN	16.15	+0.50	+0.02
526642	MIRZAINT	56.65	+1.45	+0.02
523398	JCHAC	2281.85	+8.85	+0.02
521064	TRIDENT	17.70	+0.05	+0.02
539141	UFO	106.20	+2.55	+0.01
520059	MUNJALAU	68.10	+1.30	+0.01
532240	INDNIPPON	379.90	+3.80	+0.01
503811	SIYSIL	410.35	+2.70	+0.01
541403	DOLLAR	317.90	+2.00	+0.01
533023	WABCOINDIA	7385.60	+33.20	+0.01
508989	NAVNETEDUL*	98.20	+0.40	+0.01
