time,open,high,low,close,"COPPER1!, MCX: Open","COPPER1!, MCX: High","COPPER1!, MCX: Low","COPPER1!, MCX: Close",Volume,Volume MA
1515383100,10591.7,10631.2,10588.55,10623.6,452.75,456.25,452,453.85,NaN,NaN
1515469500,10645.1,10659.15,10603.6,10637,454.2,458.65,452.95,453.75,NaN,NaN
1515555900,10652.05,10655.5,10592.7,10632.2,454.95,461.4,454.5,457.1,NaN,NaN
1515642300,10637.05,10664.6,10612.35,10651.2,458.45,459.6,452.5,456.15,NaN,NaN
1515728700,10682.55,10690.4,10597.1,10681.25,457.5,458.1,452.6,453.05,NaN,NaN
1515987900,10718.5,10782.65,10713.8,10741.55,457.9,462.45,457.9,458.8,NaN,NaN
1516074300,10761.5,10762.35,10687.85,10700.45,459.5,460,451.95,456.5,NaN,NaN
1516160700,10702.45,10803,10666.75,10788.55,455.5,455.5,449.8,450.75,NaN,NaN
1516247100,10873.4,10887.5,10782.4,10817,452,454.4,451.1,452.7,NaN,NaN
1516333500,10829.2,10906.85,10793.9,10894.7,452.45,456,450,450.45,NaN,NaN
1516592700,10883.2,10975.1,10881.4,10966.2,452.3,454.85,451.1,452.6,NaN,NaN
1516679100,10997.4,11092.9,10994.55,11083.7,452.05,453.4,439.4,439.95,NaN,NaN
1516765500,11069.35,11110.1,11046.15,11086,441,456.35,441,454.1,NaN,NaN
1516851900,11095.6,11095.6,11009.2,11069.65,455.9,457.9,451.5,451.85,NaN,NaN
1517197500,11079.35,11171.55,11075.95,11130.4,456.5,456.5,450.1,450.7,NaN,NaN
1517283900,11120.85,11121.1,11033.9,11049.65,450,451.75,445.3,450.45,NaN,NaN
1517370300,11018.8,11058.5,10979.3,11027.7,451.4,455,450.2,450.9,NaN,NaN
1517456700,11044.55,11117.35,10878.8,11016.9,453,455.55,449.5,454.7,NaN,NaN
1517543100,10938.2,10954.95,10736.1,10760.6,456.35,460.7,450,452.75,NaN,NaN
1517802300,10604.3,10702.75,10586.8,10666.55,452.7,462.2,451.45,456.3,NaN,NaN
1517888700,10295.15,10594.15,10276.3,10498.25,455.8,457.1,451.2,452.85,NaN,NaN
1517975100,10607.2,10614,10446.4,10476.7,453.9,456.45,439.45,440.25,NaN,NaN
1518061500,10518.5,10637.8,10479.55,10576.85,441.5,442.5,435.5,440.2,NaN,NaN
1518147900,10416.5,10480.2,10398.2,10454.95,436.35,438.5,432.3,432.9,NaN,NaN
1518407100,10518.2,10555.5,10485.4,10539.75,435,440.4,435,438.65,NaN,NaN
1518579900,10585.75,10590.55,10456.65,10500.9,448,458.05,445.75,457.55,NaN,NaN
1518666300,10537.9,10618.1,10511.05,10545.5,458.05,458.8,453.65,458.05,NaN,NaN
1518752700,10596.2,10612.9,10434.05,10452.3,458.4,464.2,458.1,461.5,NaN,NaN
1519011900,10488.9,10489.35,10302.75,10378.4,461.3,462.2,455.4,457.8,NaN,NaN
1519098300,10391,10429.35,10347.65,10360.4,455,459.6,454.4,457.2,NaN,NaN
1519184700,10426,10426.1,10349.6,10397.45,455.4,461,453.3,460.45,NaN,NaN
1519271100,10354.35,10397.55,10340.65,10382.7,458.4,465.3,453.3,464.65,NaN,NaN
1519357500,10408.1,10499.1,10396.65,10491.05,461.45,462.5,456.8,459.7,NaN,NaN
1519616700,10526.55,10592.95,10520.2,10582.6,462.4,462.4,456.6,457.7,NaN,NaN
1519703100,10615.2,10631.65,10537.25,10554.3,462.85,465.35,457.25,460.25,NaN,NaN
