time,open,high,low,close,"CRUDEOIL1!, MCX: Open","CRUDEOIL1!, MCX: High","CRUDEOIL1!, MCX: Low","CRUDEOIL1!, MCX: Close",Volume,Volume MA
1515383100,10591.7,10631.2,10588.55,10623.6,3900,3933,3892,3906,NaN,NaN
1515469500,10645.1,10659.15,10603.6,10637,3927,4010,3927,4003,NaN,NaN
1515555900,10652.05,10655.5,10592.7,10632.2,4016,4059,4016,4036,NaN,NaN
1515642300,10637.05,10664.6,10612.35,10651.2,4040,4123,4040,4100,NaN,NaN
1515728700,10682.55,10690.4,10597.1,10681.25,4083,4083,4007,4065,NaN,NaN
1515987900,10718.5,10782.65,10713.8,10741.55,4088,4122,4066,4116,NaN,NaN
1516074300,10761.5,10762.35,10687.85,10700.45,4107,4128,4060,4086,NaN,NaN
1516160700,10702.45,10803,10666.75,10788.55,4074,4097,4043,4085,NaN,NaN
1516247100,10873.4,10887.5,10782.4,10817,4100,4107,4052,4088,NaN,NaN
1516333500,10829.2,10906.85,10793.9,10894.7,4080,4080,4011,4037,NaN,NaN
1516592700,10883.2,10975.1,10881.4,10966.2,4063,4098,4033,4045,NaN,NaN
1516679100,10997.4,11092.9,10994.55,11083.7,4075,4132,4069,4110,NaN,NaN
1516765500,11069.35,11110.1,11046.15,11086,4107,4163,4100,4136,NaN,NaN
1516851900,11095.6,11095.6,11009.2,11069.65,4158,4229,4158,4190,NaN,NaN
1517197500,11079.35,11171.55,11075.95,11130.4,4210,4271,4142,4177,NaN,NaN
1517283900,11120.85,11121.1,11033.9,11049.65,4149,4153,4092,4106,NaN,NaN
1517370300,11018.8,11058.5,10979.3,11027.7,4090,4122,4063,4112,NaN,NaN
1517456700,11044.55,11117.35,10878.8,11016.9,4120,4212,4120,4195,NaN,NaN
1517543100,10938.2,10954.95,10736.1,10760.6,4200,4248,4141,4186,NaN,NaN
1517802300,10604.3,10702.75,10586.8,10666.55,4166,4197,4086,4103,NaN,NaN
1517888700,10295.15,10594.15,10276.3,10498.25,4094,4140,4065,4099,NaN,NaN
1517975100,10607.2,10614,10446.4,10476.7,4109,4109,3948,3959,NaN,NaN
1518061500,10518.5,10637.8,10479.55,10576.85,3968,3989,3909,3931,NaN,NaN
1518147900,10416.5,10480.2,10398.2,10454.95,3920,3920,3795,3807,NaN,NaN
1518407100,10518.2,10555.5,10485.4,10539.75,3817,3912,3817,3842,NaN,NaN
1518579900,10585.75,10590.55,10456.65,10500.9,3800,3850,3737,3823,NaN,NaN
1518666300,10537.9,10618.1,10511.05,10545.5,3850,3933,3818,3911,NaN,NaN
1518752700,10596.2,10612.9,10434.05,10452.3,3937,3972,3892,3941,NaN,NaN
1519011900,10488.9,10489.35,10302.75,10378.4,3995,4048,3995,4037,NaN,NaN
1519098300,10391,10429.35,10347.65,10360.4,4020,4060,4001,4034,NaN,NaN
1519184700,10426,10426.1,10349.6,10397.45,4019,4019,3961,3999,NaN,NaN
1519271100,10354.35,10397.55,10340.65,10382.7,3995,4105,3974,4086,NaN,NaN
1519357500,10408.1,10499.1,10396.65,10491.05,4109,4141,4044,4125,NaN,NaN
1519616700,10526.55,10592.95,10520.2,10582.6,4130,4172,4093,4155,NaN,NaN
1519703100,10615.2,10631.65,10537.25,10554.3,4149,4160,4093,4122,NaN,NaN
1519789500,10488.95,10535.5,10461.55,10492.85,4105,4149,4032,4093,NaN,NaN
1519875900,10479.95,10525.5,10447.15,10458.35,4065,4065,3944,3983,NaN,NaN
1520221500,10428.3,10428.7,10323.9,10358.85,4006,4088,3990,4075,NaN,NaN
1520307900,10420.5,10441.35,10215.9,10249.25,4080,4110,4041,4063,NaN,NaN
1520394300,10232.95,10243.35,10141.55,10154.2,4058,4070,3942,3960,NaN,NaN
1520480700,10216.25,10270.35,10146.4,10242.65,3975,3998,3920,3943,NaN,NaN
1520567100,10271.3,10296.7,10211.9,10226.85,3934,4041,3921,4017,NaN,NaN
1520826300,10301.6,10433.65,10295.45,10421.4,4036,4039,3945,3977,NaN,NaN
1520912700,10389.5,10478.6,10377.85,10426.85,3979,4014,3906,3919,NaN,NaN
1520999100,10393.05,10420.35,10336.3,10410.9,3935,3975,3902,3948,NaN,NaN
1521085500,10405.45,10420,10346.2,10360.15,3960,3998,3944,3984,NaN,NaN
1521171900,10345.15,10346.3,10180.25,10195.15,3982,4057,3968,4050,NaN,NaN
1521431100,10215.35,10224.55,10075.3,10094.25,4033,4053,3992,4039,NaN,NaN
1521517500,10051.55,10155.65,10049.1,10124.35,4079,4185,4073,4159,NaN,NaN
1521603900,10181.95,10227.3,10132.95,10155.25,4164,4259,4155,4251,NaN,NaN
1521690300,10167.5,10207.85,10105.4,10114.75,4245,4259,4194,4201,NaN,NaN
1521776700,9968.7998,10027.7,9951.9004,9998.0498,4220,4274,4195,4266,NaN,NaN
1522035900,9989.1504,10143.5,9958.5498,10130.65,4270,4279,4222,4247,NaN,NaN
1522122300,10188,10207.9,10139.65,10184.15,4261,4305,4226,4232,NaN,NaN
1522208700,10143.6,10158.35,10096.9,10113.7,4223,4238,4155,4185,NaN,NaN
1522640700,10151.65,10220.1,10127.75,10211.8,4246,4255,4104,4112,NaN,NaN
1522727100,10186.85,10255.35,10171.05,10245,4103,4144,4098,4127,NaN,NaN
1522813500,10274.6,10279.85,10111.3,10128.4,4119,4128,4043,4111,NaN,NaN
1522899900,10228.45,10331.8,10227.45,10325.15,4128,4162,4098,4115,NaN,NaN
1522986300,10322.75,10350.45,10290.85,10331.6,4101,4130,4015,4029,NaN,NaN
1523245500,10333.7,10397.7,10328.5,10379.35,4041,4128,4034,4116,NaN,NaN
1523331900,10412.9,10424.85,10381.5,10402.25,4133,4254,4133,4248,NaN,NaN
1523418300,10428.15,10428.15,10355.6,10417.15,4255,4396,4243,4354,NaN,NaN
1523504700,10410.65,10469.9,10395.25,10458.65,4354,4394,4308,4362,NaN,NaN
1523591100,10495.3,10519.9,10451.45,10480.6,4364,4419,4349,4401,NaN,NaN
1523850300,10398.3,10540.15,10396.35,10528.35,4385,4385,4326,4351,NaN,NaN
1523936700,10557.3,10560.45,10495.65,10548.7,4351,4378,4303,4348,NaN,NaN
1524023100,10578.9,10594.2,10509.7,10526.2,4365,4493,4365,4470,NaN,NaN
1524109500,10563.65,10572.2,10546.2,10565.3,4490,4578,4483,4495,NaN,NaN
1524195900,10560.35,10582.35,10527.45,10564.05,4529,4546,4486,4531,NaN,NaN
1524455100,10592.8,10638.35,10514.95,10584.7,4543,4582,4468,4565,NaN,NaN
1524541500,10578.1,10636.8,10569,10614.35,4579,4617,4511,4530,NaN,NaN
1524627900,10612.4,10612.6,10536.45,10570.55,4524,4575,4507,4563,NaN,NaN
1524714300,10586.5,10628.4,10559.65,10617.8,4576,4596,4534,4558,NaN,NaN
1524800700,10651.65,10719.8,10647.55,10692.3,4538,4563,4520,4547,NaN,NaN
1525059900,10705.75,10759,10704.6,10739.35,4516,4610,4472,4583,NaN,NaN
1525232700,10783.85,10784.65,10689.8,10718.05,4510,4530,4475,4512,NaN,NaN
1525319100,10720.15,10720.6,10647.45,10679.65,4516,4578,4492,4571,NaN,NaN
1525405500,10700.45,10700.45,10601.6,10618.25,4564,4678,4560,4668,NaN,NaN
1525664700,10653.15,10725.65,10635.65,10715.5,4680,4765,4680,4749,NaN,NaN
1525751100,10757.9,10758.55,10689.4,10717.8,4732,4732,4560,4623,NaN,NaN
1525837500,10693.35,10766.25,10689.85,10741.7,4655,4821,4655,4799,NaN,NaN
1525923900,10779.65,10785.55,10705,10716.55,4825,4842,4743,4757,NaN,NaN
1526010300,10741.95,10812.05,10724.45,10806.5,4786,4824,4766,4793,NaN,NaN
1526269500,10815.15,10834.85,10774.75,10806.6,4790,4815,4732,4794,NaN,NaN
1526355900,10812.6,10929.2,10781.4,10801.85,4796,4889,4782,4850,NaN,NaN
1526442300,10751.95,10790.45,10699.7,10741.1,4845,4845,4792,4820,NaN,NaN
1526528700,10775.6,10777.25,10664.5,10682.7,4840,4899,4822,4832,NaN,NaN
1526615100,10671.85,10674.95,10589.1,10596.4,4852,4880,4827,4855,NaN,NaN
1526874300,10616.7,10621.7,10505.8,10516.7,4889,4927,4852,4919,NaN,NaN
1526960700,10518.45,10558.6,10490.55,10536.7,4948,4977,4914,4929,NaN,NaN
1527047100,10521.1,10533.55,10417.8,10430.35,4919,4947,4885,4913,NaN,NaN
1527133500,10464.85,10535.15,10419.8,10513.85,4905,4915,4832,4859,NaN,NaN
1527219900,10533.05,10628.05,10524,10605.15,4831,4834,4581,4597,NaN,NaN
1527479100,10648.35,10709.8,10640.55,10688.65,4580,4580,4465,4508,NaN,NaN
1527565500,10689.4,10717.25,10616.1,10633.3,4527,4577,4485,4527,NaN,NaN
1527651900,10579,10648.7,10558.45,10614.35,4500,4628,4482,4614,NaN,NaN
