time,open,high,low,close,"EEM, CBOE BZX: Open","EEM, CBOE BZX: High","EEM, CBOE BZX: Low","EEM, CBOE BZX: Close",Volume,Volume MA
1367984700,6064.1499,6083.5498,6024.9502,6069.2998,44.07001,44.27,44.03999,44.23,NaN,NaN
1368071100,6078.3501,6084.7002,6040.4502,6050.1499,44.14999,44.19,43.69,43.91,NaN,NaN
1368157500,6046.25,6105.2998,6045.6001,6094.75,43.62,43.67999,43.37,43.57001,NaN,NaN
1368416700,6098.2002,6104.9502,5972.8999,5980.4502,43.31,43.34,43.13,43.17,NaN,NaN
1368503100,5989.7002,6026.2002,5970.0498,5995.3999,43.34,43.56,43.28,43.37,NaN,NaN
1368589500,6018.8501,6157.1001,6018.8501,6146.75,43.27,43.45,43.16,43.38499,NaN,NaN
1368675900,6128.25,6187.2998,6128.25,6169.8999,43.375,43.545,43.22,43.23,NaN,NaN
1368762300,6172.9502,6199.9502,6146.1499,6187.2998,43.33,43.48,43.25,43.42,NaN,NaN
1369021500,6198,6229.4502,6146.0498,6156.8999,43.41,43.58,43.28999,43.53,NaN,NaN
1369107900,6152.3501,6180.25,6102.3501,6114.1001,43.45,43.645,43.16,43.44,NaN,NaN
1369194300,6127.0498,6147.6001,6074.4502,6094.5,43.56,43.955,42.8,42.96001,NaN,NaN
1369280700,6050.3999,6081.4502,5955.7002,5967.0498,42.28,42.67999,42.05499,42.64,NaN,NaN
1369367100,6010.7002,6015.2998,5936.7998,5983.5498,42.27,42.3,42.03,42.265,NaN,NaN
1369626300,5989.3999,6099.8999,5975.5498,6083.1499,NaN,NaN,NaN,NaN,NaN,NaN
1369712700,6086.3501,6127.6499,6055.3999,6111.25,42.77499,42.86749,42.455,42.5,NaN,NaN
1369799100,6120.4502,6125.0498,6069.7998,6104.2998,42.22,42.28999,41.92999,41.96001,NaN,NaN
1369885500,6072.1499,6133.75,6072.1499,6124.0498,41.895,42.24001,41.87,41.96001,NaN,NaN
1369971900,6098.7002,6106.25,5975.5498,5985.9502,41.62,41.67999,41.14,41.19501,NaN,NaN
1370231100,5997.3501,6011,5916.3501,5939.2998,41.39999,41.95,41.11,41.81,NaN,NaN
1370317500,5941.1001,5981.6001,5910.25,5919.4502,41.78999,41.83,41.17999,41.3,NaN,NaN
1370403900,5908.2998,5935.2002,5883.7002,5923.8501,41.21001,41.28,40.53,40.56,NaN,NaN
1370490300,5895,5956.5498,5869.5,5921.3999,40.5,40.94,40.39,40.89999,NaN,NaN
1370576700,5900.0498,5972.7002,5871.2998,5881,40.67,40.97,40.42999,40.69,NaN,NaN
1370835900,5907.8999,5931.6499,5857.3999,5878,40.33,40.33,39.985,40.14,NaN,NaN
1370922300,5848.75,5868.0498,5780.3501,5788.7998,39.32001,39.67,39.19,39.38,NaN,NaN
1371008700,5771.75,5792.8999,5738.6001,5760.2002,39.7,39.72,39.02,39.11,NaN,NaN
1371095100,5709.3501,5729.8501,5683.1001,5699.1001,39.09,39.95,39.03,39.94,NaN,NaN
1371181500,5748.9502,5819.3999,5739.3999,5808.3999,39.80499,39.905,39.2,39.31,NaN,NaN
1371440700,5820.3999,5854.8999,5770.25,5850.0498,39.75,39.92999,39.425,39.67,NaN,NaN
1371527100,5841.8999,5863.3999,5804.2998,5813.6001,39.57001,39.87,39.46989,39.83501,NaN,NaN
1371613500,5805.75,5828.3999,5777.8999,5822.25,39.53999,39.72,38.53999,38.61,NaN,NaN
1371699900,5754.1499,5755,5645.6499,5655.8999,37.685,37.69,36.43069,36.88,NaN,NaN
1371786300,5639.8999,5686.1499,5616.8501,5667.6499,37.405,37.64,36.78,37.41,NaN,NaN
1372045500,5638.0498,5640,5566.25,5590.25,36.49001,37.03999,36.16,36.64999,NaN,NaN
1372131900,5606.9502,5666.25,5570.25,5609.1001,37.27499,37.47,36.88,37.42999,NaN,NaN
1372218300,5627.9502,5635.25,5579.3501,5588.7002,37.72,38.17,37.71001,38.02,NaN,NaN
1372304700,5647.9502,5699.3501,5630.9502,5682.3501,37.98,38.34,37.97,38.28,NaN,NaN
1372391100,5749.5,5852.9502,5749.5,5842.2002,37.99001,38.60001,37.92999,38.5,NaN,NaN
1372650300,5834.1001,5904.3501,5822.2002,5898.8501,38.67999,38.88,38.47,38.62,NaN,NaN
1372736700,5885.5,5898.7998,5852.2998,5857.5498,38.52,38.78,37.69,37.92999,NaN,NaN
1372823100,5811.9502,5815,5760.3999,5770.8999,37.395,37.91,37.355,37.58,NaN,NaN
1372909500,5794.75,5848.2002,5786.0498,5836.9502,NaN,NaN,NaN,NaN,NaN,NaN
1372995900,5889.9502,5900.4502,5858.4502,5867.8999,37.64,37.69,36.98,37.34,NaN,NaN
1373255100,5833.1499,5833.8501,5775.5498,5811.5498,37.34,37.67999,37.28,37.39,NaN,NaN
1373341500,5834.6001,5864.9502,5834.6001,5859,37.8,37.92999,37.52,37.88,NaN,NaN
1373427900,5869.8999,5879.3501,5802.8501,5816.7002,37.7,37.95,37.48,37.52,NaN,NaN
1373514300,5894.5,5948.8501,5887.9502,5935.1001,38.91,39.39,38.71001,39.355,NaN,NaN
1373600700,6000.5,6019,5951.1499,6009,38.92,39.00999,38.75,38.94,NaN,NaN
1373859900,5991.2002,6038.2002,5980.9502,6030.7998,39.14999,39.55,39.13,39.34,NaN,NaN
1373946300,5930.7998,5966.0498,5910.9502,5955.25,39.44,39.53999,39.14999,39.5,NaN,NaN
1374032700,5972.25,5989.7998,5926.75,5973.2998,39.83,39.89999,39.69,39.86,NaN,NaN
1374119100,5984.7002,6051.1001,5974.5498,6038.0498,39.61,39.73,39.33,39.39,NaN,NaN
1374205500,6057.2002,6066.8501,6020.25,6029.2002,39.33,39.34,39.13,39.27499,NaN,NaN
1374464700,6009.75,6064.1499,6004.25,6031.7998,39.375,39.74001,39.23,39.67,NaN,NaN
1374551100,6064.2998,6093.3501,6061.2998,6077.7998,40.05,40.24001,39.92999,40.10001,NaN,NaN
1374637500,6032.2002,6047.25,5962.6001,5990.5,40.10001,40.11,39.45,39.69,NaN,NaN
1374723900,5970.3999,5990.6499,5896.3999,5907.5,39.56,39.96001,39.53999,39.92,NaN,NaN
1374810300,5937.9502,5944.5,5869.5,5886.2002,39.7,39.88,39.39999,39.83,NaN,NaN
1375069500,5869.9502,5886,5825.7998,5831.6499,39.505,39.56,39.31,39.33,NaN,NaN
1375155900,5836.0498,5861.2998,5747.6001,5755.0498,39.50999,39.53999,39.16,39.24001,NaN,NaN
1375242300,5738.3501,5752.1001,5675.75,5742,38.92999,39.48,38.75999,39.00999,NaN,NaN
1375328700,5776.8999,5808.5,5676.8501,5727.8501,39.42999,39.86,39.35001,39.715,NaN,NaN
1375415100,5750.0498,5761.8501,5649,5677.8999,39.61,39.94,39.58,39.71001,NaN,NaN
1375674300,5682.3999,5721,5661.5,5685.3999,39.575,39.59,39.295,39.46001,NaN,NaN
1375760700,5664.8999,5664.8999,5521.7998,5542.25,39.295,39.3,38.87,38.96001,NaN,NaN
1375847100,5549.2998,5561.4502,5486.8501,5519.1001,38.59,38.75999,38.50999,38.53999,NaN,NaN
1375933500,5510.0498,5577.6001,5510.0498,5565.6499,38.97,39.45,38.72,39.28,NaN,NaN
1376279100,5606.7002,5644.1001,5557.1001,5612.3999,39.52,39.88,39.52,39.72501,NaN,NaN
1376365500,5600.25,5704.75,5578.8999,5699.2998,39.97501,40.09,39.77,39.97,NaN,NaN
1376451900,5715.3999,5754.5498,5690.2002,5742.2998,40.13,40.2,40.03999,40.10001,NaN,NaN
1376624700,5705.4502,5716.6001,5496.0498,5507.8501,39.67,39.74001,39.25,39.3,NaN,NaN
1376883900,5497.5498,5499.6499,5360.6499,5414.75,38.99001,39.03,38.53999,38.56,NaN,NaN
1376970300,5353.4502,5417.7998,5306.3501,5401.4502,38.37,38.73,38.35001,38.49001,NaN,NaN
1377056700,5494.4502,5504.1001,5268.4502,5302.5498,38.03,38.08,37.50999,37.59,NaN,NaN
1377143100,5282.7998,5418.9502,5254.0498,5408.4502,38.00999,38.28,37.98,38.2,NaN,NaN
1377229500,5428.75,5478.7998,5377.7998,5471.75,38.5,38.72,38.2701,38.64999,NaN,NaN
1377488700,5499.3999,5528.7002,5454.4502,5476.5,38.7,38.73,38.155,38.23,NaN,NaN
1377575100,5426.5,5427.3999,5274.25,5287.4502,37.60001,37.67,37.27,37.355,NaN,NaN
1377661500,5233.4502,5317.7002,5118.8501,5285,37.28999,37.78999,37.17,37.42999,NaN,NaN
1377747900,5316.5,5428.8999,5303,5409.0498,37.86501,38.16,37.64,37.72501,NaN,NaN
1377834300,5407.4502,5493.2998,5360.2002,5471.7998,38.17,38.19,37.74001,38.02,NaN,NaN
1378093500,5480.25,5564.8999,5478.8501,5550.75,NaN,NaN,NaN,NaN,NaN,NaN
1378179900,5574.7002,5580.9502,5323.75,5341.4502,38.57001,38.71001,38.17,38.25999,NaN,NaN
1378266300,5358.6499,5460.25,5318.8999,5448.1001,38.48,38.95,38.39999,38.935,NaN,NaN
1378352700,5553.75,5625.75,5552.7002,5592.9502,38.97,39.5,38.92,39.39999,NaN,NaN
1378439100,5617.4502,5688.6001,5566.1499,5680.3999,39.95,40.14,39.50999,39.97501,NaN,NaN
1378784700,5738.5,5904.8501,5738.2002,5896.75,41.27,41.42999,41.14999,41.345,NaN,NaN
1378871100,5887.25,5924.3501,5832.7002,5913.1499,41.17999,41.496,41.10001,41.37,NaN,NaN
1378957500,5931.1499,5932,5815.7998,5850.7002,41.22,41.25999,40.88,40.89,NaN,NaN
1379043900,5828,5884.2998,5822.8999,5850.6001,40.96001,41.21001,40.87,41.155,NaN,NaN
1379303100,5930.2998,5957.25,5798.1499,5840.5498,41.87,41.89999,41.52,41.62,NaN,NaN
1379389500,5824.2002,5857.7998,5804.8999,5850.2002,41.63,41.69501,41.45,41.53,NaN,NaN
1379475900,5872.75,5916.8999,5840.2002,5899.4502,41.41,43.32001,41.23,43.27499,NaN,NaN
1379562300,6044.1499,6142.5,6040.1499,6115.5498,43.13,43.17,42.78,43.03999,NaN,NaN
1379648700,6104.5498,6130.9502,5932.8501,6012.1001,42.84,42.84219,42.00999,42.075,NaN,NaN
1379907900,5945.7998,5989.3999,5871.3999,5889.75,42.14,42.38,42.07001,42.22501,NaN,NaN
1379994300,5855,5938.3999,5854.5498,5892.4502,42.07001,42.17,41.78999,41.87,NaN,NaN
1380080700,5901.5498,5910.5498,5811.1001,5873.8501,41.87,41.89999,41.5,41.55,NaN,NaN
1380167100,5872.7998,5917.6499,5864.1001,5882.25,41.78999,41.94,41.49001,41.72,NaN,NaN
1380253500,5905.5498,5909.2002,5819.2998,5833.2002,41.39,41.47,41.11,41.235,NaN,NaN
1380512700,5801.0498,5810.2002,5718.5,5735.2998,40.59,40.92,40.495,40.755,NaN,NaN
1380599100,5756.1001,5786.4502,5700.9502,5780.0498,41.03999,41.59,41.00999,41.57001,NaN,NaN
1380771900,5819.1001,5917.6001,5802.7002,5909.7002,41.92999,42.02,41.27,41.57001,NaN,NaN
1380858300,5891.2998,5950.4502,5885,5907.2998,41.67,42.14999,41.60001,42.11,NaN,NaN
1381117500,5889.0498,5912,5825.8501,5906.1499,41.55991,41.925,41.52,41.75,NaN,NaN
1381203900,5975,5981.7002,5913,5928.3999,41.89999,41.96001,41.31,41.35001,NaN,NaN
1381290300,5893.25,6015.5,5877.1001,6007.4502,41.64,41.84,41.311,41.655,NaN,NaN
1381376700,6001.0498,6033.9502,5979.7998,6020.9502,42.17999,42.715,42.14999,42.64,NaN,NaN
1381463100,6104.8501,6107.6001,6046.3999,6096.2002,42.46001,42.8806,42.39,42.825,NaN,NaN
1381722300,6093,6124.1001,6082.8999,6112.7002,42.47,43.175,42.39999,43.08,NaN,NaN
1381808700,6147.5498,6156.2998,6056.5498,6089.0498,42.89,43.03,42.55,42.66,NaN,NaN
1381981500,6098.5,6110.75,6032.5498,6045.8501,42.955,43.31,42.89,43.265,NaN,NaN
1382067900,6070.8999,6201.4502,6070.8999,6189.3501,43.46001,43.50999,43.25999,43.30901,NaN,NaN
1382327100,6202,6218.9502,6163.2998,6204.9502,43.34,43.405,43.14999,43.24001,NaN,NaN
1382413500,6192.2998,6220.1001,6181.7998,6202.7998,43.545,43.91,43.49001,43.655,NaN,NaN
1382499900,6209.5498,6217.9502,6116.6001,6178.3501,42.92999,42.98,42.62,42.64,NaN,NaN
1382586300,6162.7998,6252.4502,6142.9502,6164.3501,42.88,42.88,42.485,42.55,NaN,NaN
1382672700,6154,6174.75,6125.9502,6144.8999,42.58,42.83,42.465,42.745,NaN,NaN
1382931900,6155.1001,6168.75,6094.1001,6101.1001,42.81,43.07,42.77,43,NaN,NaN
1383018300,6107.5498,6228.0498,6079.2002,6220.8999,43.15,43.22,43.09,43.135,NaN,NaN
1383104700,6230.7998,6269.2002,6222.6001,6251.7002,43.31,43.31,42.71,42.9,NaN,NaN
1383191100,6237.1499,6309.0498,6235.8999,6299.1499,43,43.01,42.44,42.455,NaN,NaN
1383277500,6289.75,6332.6001,6286.9502,6307.2002,42.615,42.71,42.21,42.475,NaN,NaN
1383623100,6282.1499,6304.75,6244.2998,6253.1499,42.19,42.25,41.85,41.88,NaN,NaN
1383709500,6260.5498,6269.7002,6208.7002,6215.1499,42.19,42.24,41.98,42.01,NaN,NaN
1383795900,6228.8999,6288.9502,6180.7998,6187.25,42.09,42.11,41.16,41.25,NaN,NaN
1383882300,6170.1499,6185.1499,6120.9502,6140.75,41.01,41.18,40.7499,41.159,NaN,NaN
1384141500,6110.3999,6141.6499,6067.75,6078.7998,41.12,41.19,40.85,40.95,NaN,NaN
1384227900,6087.25,6108.7002,6011.75,6018.0498,40.96,41.01,40.44,40.73,NaN,NaN
1384314300,5998.8501,6042.25,5972.4502,5989.6001,40.34,40.89,40.32,40.8,NaN,NaN
1384400700,6037,6101.6499,6036.6499,6056.1499,40.83,41.47,40.715,41.455,NaN,NaN
1384746300,6111.0498,6196.7998,6110.3999,6189,42.8,43.09,42.62,42.625,NaN,NaN
1384832700,6197.25,6212.3999,6180.2002,6203.3501,42.75,42.81,42.32,42.37,NaN,NaN
1384919100,6186.8501,6204.3501,6106.9502,6122.8999,42.41,42.47,41.72,41.79,NaN,NaN
1385005500,6096.5,6097.3501,5985.3999,5999.0498,41.66,41.82,41.53,41.75,NaN,NaN
1385091900,6027.3501,6049.6001,5972.7998,5995.4502,41.78,42.1,41.7,42.05,NaN,NaN
1385351100,6035.9502,6123.5,6035.9502,6115.3501,42.03,42.04,41.47,41.51,NaN,NaN
1385437500,6099.25,6112.7002,6047.75,6059.1001,41.5,41.775,41.38,41.65,NaN,NaN
1385523900,6062.7002,6074,6030.2998,6057.1001,41.82,42.01,41.65,41.92,NaN,NaN
1385610300,6092,6112.9502,6068.2998,6091.8501,NaN,NaN,NaN,NaN,NaN,NaN
1385696700,6103.8999,6182.5,6103.7998,6176.1001,42.24,42.46,42.16,42.35,NaN,NaN
1385955900,6171.1499,6228.7002,6171.1499,6217.8501,42.19,42.26,41.38,41.46,NaN,NaN
1386042300,6204.25,6225.3999,6191.3999,6201.8501,41.31,41.62,41.03,41.32,NaN,NaN
1386128700,6187.9502,6209.1499,6149.8999,6160.9502,41.06,41.38,40.84,41.27,NaN,NaN
1386215100,6262.4502,6300.5498,6232,6241.1001,41.15,41.41,41.01,41.03,NaN,NaN
1386301500,6234.3999,6275.3501,6230.75,6259.8999,41.73,42.09,41.61,41.94,NaN,NaN
1386560700,6415,6415.25,6345,6363.8999,42.06,42.24,41.96,42,NaN,NaN
1386647100,6354.7002,6362.25,6307.5498,6332.8501,41.79,42.06,41.78,42.02,NaN,NaN
1386733500,6307.2002,6326.6001,6280.25,6307.8999,41.71,41.71,41.04,41.09,NaN,NaN
1386819900,6276.75,6286.8501,6230.5498,6237.0498,40.92,41,40.665,40.85,NaN,NaN
1386906300,6201.2998,6208.6001,6161.3999,6168.3999,40.98,41.05,40.78,40.95,NaN,NaN
1387165500,6168.3501,6183.25,6146.0498,6154.7002,41.2001,41.51,41.16,41.215,NaN,NaN
1387251900,6178.2002,6190.5498,6133,6139.0498,41.165,41.17,40.83,40.86,NaN,NaN
1387338300,6129.9502,6236,6129.9502,6217.1499,40.77,41.68,40.14,41.3,NaN,NaN
1387424700,6253.8999,6263.75,6150.7002,6166.6499,40.575,40.7,40.22,40.54,NaN,NaN
1387511100,6179.9502,6284.5,6170.3501,6274.25,40.54,40.75,40.44,40.48,NaN,NaN
1387770300,6267.2002,6317.5,6266.9502,6284.5,40.81,40.97,40.7,40.78,NaN,NaN
1387856700,6296.4502,6301.5,6262,6268.3999,40.97,41.08,40.94,41.02,NaN,NaN
1388029500,6270.1001,6302.75,6259.4502,6278.8999,40.85,40.91,40.65,40.67,NaN,NaN
1388115900,6292.7998,6324.8999,6289.3999,6313.7998,41.09,41.31,41.03,41.3,NaN,NaN
1388375100,6336.3999,6344.0498,6273.1499,6291.1001,41.36,41.54,41.31,41.48,NaN,NaN
1388461500,6307.3501,6317.2998,6287.2998,6304,41.58,41.85,41.5,41.795,NaN,NaN
1388547900,6323.7998,6327.2002,6298.25,6301.6499,NaN,NaN,NaN,NaN,NaN,NaN
1388634300,6301.25,6358.2998,6211.2998,6221.1499,41,41.01,40.15,40.19,NaN,NaN
1388720700,6194.5498,6221.7002,6171.25,6211.1499,40.39,40.4,39.94,40.12,NaN,NaN
1388979900,6220.8501,6224.7002,6170.25,6191.4502,39.96,39.96,39.73,39.74,NaN,NaN
1389066300,6203.8999,6221.5,6144.75,6162.25,39.945,40.09,39.79,39.91,NaN,NaN
1389152700,6178.0498,6192.1001,6160.3501,6174.6001,39.97,40.01,39.66,39.78,NaN,NaN
1389239100,6181.7002,6188.0498,6148.25,6168.3501,39.65,39.72,39.26,39.57,NaN,NaN
1389325500,6178.8501,6239.1001,6139.6001,6171.4502,39.8,40.42,39.79,40.27,NaN,NaN
1389584700,6189.5498,6288.2002,6189.5498,6272.75,40.35,40.4,39.68,39.79,NaN,NaN
1389671100,6260.25,6280.3501,6234.1499,6241.8501,40.01,40.34,39.83,40.22,NaN,NaN
1389757500,6265.9502,6325.2002,6265.2998,6320.8999,40.19,40.31,40.12,40.21,NaN,NaN
1389843900,6341.3501,6346.5,6299.8501,6318.8999,40.16,40.26,39.9,39.99,NaN,NaN
1389930300,6306.25,6327.1001,6246.3501,6261.6499,39.97,39.98,39.74,39.79,NaN,NaN
1390189500,6261.75,6307.4502,6243.3501,6303.9502,NaN,NaN,NaN,NaN,NaN,NaN
1390275900,6320.1499,6330.2998,6297.8999,6313.7998,40,40.05,39.56,39.73,NaN,NaN
1390362300,6309.0498,6349.9502,6287.4502,6338.9502,40.06,40.27,39.88,40.26,NaN,NaN
1390448700,6325.9502,6355.6001,6316.3999,6345.6499,39.77,39.77,38.99,39.27,NaN,NaN
1390535100,6301.6499,6331.4502,6263.8999,6266.75,38.75,38.78,38.2,38.24,NaN,NaN
1390794300,6186.2998,6188.5498,6130.25,6135.8501,38.29,38.37,37.765,38.09,NaN,NaN
1390880700,6131.8501,6163.6001,6085.9502,6126.25,38.34,38.5,38.2,38.33,NaN,NaN
1390967100,6161,6170.4502,6109.7998,6120.25,37.83,38.2,37.59,37.78,NaN,NaN
1391053500,6067,6082.8501,6027.25,6073.7002,38.32,38.41,37.99,38.13,NaN,NaN
1391139900,6082.75,6097.8501,6067.3501,6089.5,37.68,38.27,37.58,38.19,NaN,NaN
1391399100,6058.7998,6074.8501,5994.4502,6001.7998,37.86,37.92,37.05,37.11,NaN,NaN
1391485500,5947.6001,6017.7998,5933.2998,6000.8999,37.72,38.09,37.62,37.86,NaN,NaN
1391571900,6004.25,6028.0498,5962.0498,6022.3999,37.7,37.96,37.45,37.72,NaN,NaN
1391658300,6028.3501,6048.3501,5965.3999,6036.2998,37.99,38.57,37.99,38.51,NaN,NaN
1391744700,6077.6499,6079.9502,6030.8999,6063.2002,38.81,38.92,38.52,38.73,NaN,NaN
1392003900,6072.7998,6083.0498,6046.3999,6053.4502,38.56,38.59,38.13,38.3,NaN,NaN
1392090300,6072.4502,6081.8501,6053.25,6062.7002,38.51,39.215,38.5,39.13,NaN,NaN
1392176700,6085.3501,6106.6001,6077.3999,6084,39.39,39.58,39.02,39.14,NaN,NaN
1392263100,6087.5498,6094.3999,5991.1001,6001.1001,38.57,39.21,38.57,39.18,NaN,NaN
1392349500,6023.75,6056.3999,5984.6001,6048.3501,39.45,39.87,39.38,39.66,NaN,NaN
1392608700,6057.1001,6080.6499,6038.2998,6073.2998,NaN,NaN,NaN,NaN,NaN,NaN
1392695100,6071.2998,6141.7002,6066.7998,6127.1001,39.64,39.72,39.27,39.29,NaN,NaN
1392781500,6132.0498,6160.3501,6125.75,6152.75,39.14,39.46,38.93,39.02,NaN,NaN
1392867900,6127.1499,6129.1001,6086.4502,6091.4502,38.98,39.25,38.74,39.16,NaN,NaN
1392954300,6108.2998,6159.6499,6108,6155.4502,39.37,39.59,39.28,39.43,NaN,NaN
1393213500,6140.9502,6191.8501,6130.7998,6186.1001,39.39,39.78,39.34,39.43,NaN,NaN
1393299900,6205.7002,6216.8501,6176.6001,6200.0498,39.35,39.44,38.87,38.98,NaN,NaN
1393386300,6202.4502,6245.9502,6202.1001,6238.7998,39.2,39.28,38.85,39.01,NaN,NaN
1393559100,6228.4502,6282.7002,6228.1001,6276.9502,39.78,39.84,39.22,39.48,NaN,NaN
1393818300,6264.3501,6277.75,6212.25,6221.4502,38.72,38.94,38.49,38.78,NaN,NaN
1393904700,6216.75,6302.1499,6215.7002,6297.9502,39.53,39.59,39.27,39.44,NaN,NaN
1393991100,6328.4502,6336.25,6287.7998,6328.6499,39.32,39.53,39.25,39.47,NaN,NaN
1394077500,6344.75,6406.6001,6339.7002,6401.1499,39.83,40.22,39.82,40.03,NaN,NaN
1394163900,6413.9502,6537.7998,6413.5498,6526.6499,39.85,39.87,39.28,39.52,NaN,NaN
1394423100,6491.7002,6562.2002,6487.3501,6537.25,39.26,39.27,38.92,39.25,NaN,NaN
1394509500,6537.3501,6562.8501,6494.25,6511.8999,39.31,39.43,38.71,38.81,NaN,NaN
1394595900,6497.5,6546.1499,6487.2998,6516.8999,38.58,38.93,38.46,38.89,NaN,NaN
1394682300,6491.75,6561.4502,6476.6499,6493.1001,38.98,39,38.03,38.19,NaN,NaN
1394768700,6447.25,6518.4502,6432.7002,6504.2002,38.25,38.62,38.25,38.4,NaN,NaN
1395114300,6532.4502,6574.9502,6497.6499,6516.6499,38.96,39.43,38.93,39.41,NaN,NaN
1395200700,6530,6541.2002,6506,6524.0498,39.13,39.305,38.4,38.57,NaN,NaN
1395287100,6508.3501,6523.6499,6473.25,6483.1001,38.31,38.82,38.17,38.74,NaN,NaN
1395373500,6515.2002,6522.8999,6485.7002,6493.2002,39,39.45,38.93,38.98,NaN,NaN
1395632700,6510.5,6591.5,6510.5,6583.5,39.33,39.45,39.085,39.36,NaN,NaN
1395719100,6550.1001,6595.5498,6544.8501,6589.75,39.76,39.96,39.64,39.81,NaN,NaN
1395805500,6615.6499,6627.4502,6580.6001,6601.3999,40.16,40.29,39.88,39.9,NaN,NaN
1395891900,6613.1001,6673.9502,6599.5,6641.75,40.05,40.48,40.03,40.42,NaN,NaN
1395978300,6673.0498,6702.6001,6643.7998,6695.8999,40.78,41.02,40.69,40.74,NaN,NaN
1396237500,6723.1499,6730.0498,6662.3999,6704.2002,40.99,41.25,40.97,41.01,NaN,NaN
1396323900,6729.5,6732.25,6675.4502,6721.0498,41.4,41.49,41.24,41.49,NaN,NaN
1396410300,6757.6001,6763.5,6723.6001,6752.5498,41.33,41.61,41.27,41.57,NaN,NaN
1396496700,6772.0498,6776.75,6696.8999,6736.1001,41.38,41.44,41,41.41,NaN,NaN
1396583100,6741.8501,6741.8501,6685.1499,6694.3501,41.85,42.13,41.24,41.3,NaN,NaN
1396842300,6694.25,6725.1499,6650.3999,6695.0498,41.34,41.59,41.24,41.475,NaN,NaN
1397015100,6722,6808.7002,6705.1001,6796.2002,42.01,42.47,41.725,42.28,NaN,NaN
1397101500,6803.0498,6819.0498,6777.2998,6796.3999,42.27,42.42,41.78,41.83,NaN,NaN
