time,open,high,low,close,Volume,Volume MA
1425267000,37140,37490,36840,36888,30962,NaN
1425353400,36938,37085,36325,36489,39188,NaN
1425439800,36459,36799,36377,36554,30576,NaN
1425526200,36600,36799,36464,36574,25800,NaN
1425871800,35920,36200,35684,35941,22541,NaN
1425958200,35869,36027,35580,35725,36683,NaN
1426044600,35755,35843,34931,35072,36066,NaN
1426131000,35071,35561,35071,35348,30748,NaN
1426217400,35440,35668,35375,35553,25291,NaN
1426476600,35690,35875,35371,35589,27935,NaN
1426563000,35451,35679,35051,35384,33708,NaN
1426649400,35343,35475,35160,35339,26589,NaN
1426735800,35450,36446,35450,36391,36740,NaN
1426822200,36465,37835,36260,37805,44073,NaN
1427081400,37700,37987,37356,37803,27896,NaN
1427167800,37747,38100,37680,38005,26993,NaN
1427254200,37871,38345,37763,38175,25992,NaN
1427340600,38221,39121,38221,38630,32716,NaN
1427427000,38501,38650,37940,38404,30196,NaN
1427686200,38256,38256,37425,37469,27424,30905.85
1427772600,37400,37678,37060,37180,29735,30844.5
1427859000,37300,38100,37012,37912,36335,30701.85
1428291000,37431,38580,37431,38177,34615,30903.8
1428377400,38100,38100,37580,37698,24973,30862.45
1428463800,37785,37845,36800,36965,30799,31275.35
1428550200,36817,36817,36103,36297,31419,31012.15
1428636600,36380,37178,36330,36719,37382,31077.95
1428895800,36765,36850,36450,36575,24703,30775.7
1429068600,36300,36645,36082,36593,27292,30875.75
1429155000,36665,36850,36138,36494,31071,31032.55
1429241400,36311,36895,36311,36466,30805,30887.4
1429500600,36526,36752,35974,36081,32299,31172.9
1429587000,36191,36515,36050,36168,30824,30877.1
1429673400,36079,36350,35611,35798,32241,30285.5
1429759800,35800,36199,35792,36119,31386,30460
1429846200,36428,36695,36150,36427,5161,29368.4
1430105400,36531,37771,36485,37626,11415,28639.55
1430191800,37589,38120,37465,38047,8729,27440.2
1430278200,37968,38315,37670,38278,11969,26528.85
1430364600,38115,38429,36575,37174,38773,27096.3
1430710200,37340,38500,37340,37877,28647,27041.9
1430796600,38088,38312,37620,37989,32842,26867.25
1430883000,38000,38280,37760,38021,34575,26865.25
1430969400,37960,38200,37664,37886,34963,27364.75
1431055800,37823,38160,37682,37953,33320,27490.8
1431315000,37881,38148,37555,37692,29077,27373.7
1431401400,37706,38475,37557,38390,37280,27368.6
1431487800,38380,39650,38261,39545,48142,28540.55
1431574200,39430,40140,39300,39767,47963,29574.1
1431660600,39547,40050,39372,39971,36853,29863.2
1431919800,40020,40590,39860,40493,34025,30024.2
1432006200,40346,40346,38877,39284,53128,31065.65
1432092600,39250,39590,38953,39306,33005,31174.7
1432179000,39339,39473,38960,39182,26591,30892.2
1432265400,39267,39546,38780,38952,35261,31085.95
1432524600,38860,39220,38860,39147,17126,31684.2
1432611000,39068,39135,38310,38529,39695,33098.2
1432697400,38603,38685,38254,38369,24262,33874.85
1432783800,38386,38480,38050,38310,30415,34797.15
1432870200,38400,38547,38210,38358,23261,34021.55
1433129400,38358,39180,38051,38252,39729,34575.65
1433215800,38245,38555,38125,38461,28861,34376.6
1433302200,38424,38489,37825,37960,32337,34264.7
1433388600,37985,38078,37132,37177,36273,34330.2
1433475000,37190,37291,36749,37022,29792,34153.8
1433734200,37280,37310,36780,36871,21781,33789
1433820600,37020,37180,36800,36873,25639,33206.95
1433907000,36983,37236,36672,36743,31145,32357.1
1433993400,36778,36870,36450,36825,30864,31502.15
1434079800,36772,36844,36555,36604,19595,30639.25
1434339000,36695,37380,36525,37103,36612,30768.6
1434425400,37060,37146,36672,36859,23100,29267.2
1434511800,36838,37037,36670,36884,18744,28554.15
1434598200,36949,37486,36856,36912,38040,29126.6
1434684600,36900,36970,36262,36695,25603,28643.7
1434943800,36650,36918,36454,36745,27248,29149.8
1435030200,36780,36780,35902,35950,35269,28928.5
1435116600,36678,36819,36500,36743,4278,27929.3
1435203000,36792,36820,36500,36635,5070,26662.05
1435289400,36632,36722,36000,36501,11785,26088.25
1435548600,36645,36980,36390,36428,13683,24785.95
1435635000,36375,36600,35821,36164,31983,24942.05
1435721400,36300,36300,35952,36055,20885,24369.45
1435807800,36008,36288,35753,35897,29717,24041.65
1435894200,35974,36238,35851,36175,16892,23396.65
1436153400,36180,36343,35805,36202,25508,23583
1436239800,36140,36140,34030,34680,56713,25136.7
1436326200,34600,35176,34119,35021,40343,25596.6
1436412600,34971,35741,34734,35344,37374,25922.1
1436499000,35400,35890,35356,35634,22392,26061.95
1436758200,35625,35749,35260,35539,28007,25631.7
1436844600,35450,35468,35110,35191,23260,25639.7
1436931000,35294,35294,34560,34715,31090,26257
1437017400,34750,34799,34256,34523,28452,25777.6
1437103800,34445,34550,34123,34219,20729,25533.9
1437363000,34110,34484,33452,34165,45193,26431.15
1437449400,34011,34340,33897,34046,24016,25868.5
1437535800,33997,34240,33684,33975,33123,27310.75
1437622200,34070,34390,33875,33921,26029,28358.7
1437708600,33850,33880,33325,33708,33779,29458.4
1437967800,33616,34149,33616,33946,27370,30142.75
1438054200,33902,33902,33579,33784,20819,29584.55
1438140600,33810,34270,33680,33985,28910,29985.8
1438227000,33980,34195,33765,34036,26543,29827.1
1438313400,33900,34461,33650,34039,38556,30910.3
