time,open,high,low,close,"IN10Y, TVC: Open","IN10Y, TVC: High","IN10Y, TVC: Low","IN10Y, TVC: Close",Volume,Volume MA
1514778300,10531.7,10537.85,10423.1,10435.55,7.3148,7.3148,7.2152,7.2594,NaN,NaN
1514864700,10477.55,10495.2,10404.65,10442.2,7.2431,7.3108,7.2265,7.3108,NaN,NaN
1514951100,10482.65,10503.6,10429.55,10443.2,7.3012,7.3239,7.2581,7.3072,NaN,NaN
1515037500,10469.4,10513,10441.45,10504.8,7.3072,7.3382,7.2789,7.2825,NaN,NaN
1515123900,10534.25,10566.1,10520.1,10558.85,7.3226,7.3554,7.2243,7.3554,NaN,NaN
1515383100,10591.7,10631.2,10588.55,10623.6,7.3123,7.313,7.2642,7.3024,NaN,NaN
1515469500,10645.1,10659.15,10603.6,10637,7.3059,7.3657,7.2998,7.3657,NaN,NaN
1515555900,10652.05,10655.5,10592.7,10632.2,7.3439,7.457,7.3439,7.457,NaN,NaN
1515642300,10637.05,10664.6,10612.35,10651.2,7.4125,7.4177,7.3947,7.411,NaN,NaN
1515728700,10682.55,10690.4,10597.1,10681.25,7.4272,7.4291,7.4126,7.4194,NaN,NaN
1515987900,10718.5,10782.65,10713.8,10741.55,7.422,7.4221,7.4116,7.4212,NaN,NaN
1516074300,10761.5,10762.35,10687.85,10700.45,7.417,7.6149,7.417,7.5973,NaN,NaN
1516160700,10702.45,10803,10666.75,10788.55,7.577,7.5972,7.463,7.4726,NaN,NaN
1516247100,10873.4,10887.5,10782.4,10817,7.4702,7.6702,7.4702,7.6702,NaN,NaN
1516333500,10829.2,10906.85,10793.9,10894.7,7.6427,7.6469,7.5915,7.5981,NaN,NaN
1516592700,10883.2,10975.1,10881.4,10966.2,7.6471,7.6471,7.5019,7.5045,NaN,NaN
1516679100,10997.4,11092.9,10994.55,11083.7,7.5032,7.5186,7.4361,7.5145,NaN,NaN
1516765500,11069.35,11110.1,11046.15,11086,7.5333,7.5916,7.4995,7.5916,NaN,NaN
1516851900,11095.6,11095.6,11009.2,11069.65,7.5777,7.6277,7.5375,7.5724,NaN,NaN
1517197500,11079.35,11171.55,11075.95,11130.4,7.5615,7.695,7.5615,7.689,NaN,NaN
1517283900,11120.85,11121.1,11033.9,11049.65,7.6935,7.717,7.5378,7.6837,NaN,NaN
1517370300,11018.8,11058.5,10979.3,11027.7,7.6941,7.6941,7.5721,7.6446,NaN,NaN
1517456700,11044.55,11117.35,10878.8,11016.9,7.6446,7.8113,7.6446,7.8055,NaN,NaN
1517543100,10938.2,10954.95,10736.1,10760.6,7.8071,7.8071,7.7514,7.7549,NaN,NaN
1517802300,10604.3,10702.75,10586.8,10666.55,7.7611,7.8014,7.7611,7.8014,NaN,NaN
1517888700,10295.15,10594.15,10276.3,10498.25,7.7896,7.8323,7.6608,7.6608,NaN,NaN
1517975100,10607.2,10614,10446.4,10476.7,7.8288,7.9789,7.7726,7.9548,NaN,NaN
1518061500,10518.5,10637.8,10479.55,10576.85,7.9477,7.9518,7.6784,7.7319,NaN,NaN
