Date,Open,High,Low,Close,Volume,Turnover,P/E,P/B,Div Yield
2007-01-02,3966.25,4016.65,3964.95,4007.4,40789960.0,19297600000.0,21.48,5.12,1.2
2007-01-03,4007.7,4029.8,3985.0,4024.05,63826475.0,32916600000.0,21.57,5.14,1.2
2007-01-04,4027.3,4041.0,3979.8,3988.8,67096186.0,34461900000.0,21.38,5.1,1.21
2007-01-05,3990.15,4011.45,3969.65,3983.4,69146575.0,35586900000.0,21.35,5.09,1.21
2007-01-08,3983.3,3987.45,3913.0,3933.4,63615668.0,35900800000.0,21.08,5.03,1.23
2007-01-09,3933.3,3963.75,3890.75,3911.4,65321592.0,37531800000.0,20.97,5.0,1.23
2007-01-10,3910.95,3911.95,3841.7,3850.3,68470689.0,38926800000.0,20.64,4.92,1.25
2007-01-11,3852.15,3953.1,3833.6,3942.25,83152375.0,50587400000.0,21.04,5.04,1.22
2007-01-12,3944.55,4059.15,3944.55,4052.45,81362992.0,47274300000.0,21.63,5.16,1.18
2007-01-15,4052.85,4099.65,4052.4,4078.4,81723925.0,41032299999.99999,21.77,5.19,1.17
2007-01-16,4090.7,4107.45,4067.9,4080.5,60251260.0,36266000000.0,21.67,5.19,1.17
2007-01-17,4084.9,4096.75,4071.55,4076.45,59073863.0,30778800000.0,21.59,5.19,1.17
2007-01-18,4075.2,4140.25,4075.2,4109.05,75646344.0,40206100000.0,21.74,5.23,1.16
2007-01-19,4126.0,4137.15,4058.35,4090.15,85555366.0,45415300000.0,21.43,5.21,1.17
2007-01-22,4089.6,4114.5,4069.95,4102.45,63758853.0,35141900000.0,21.42,5.22,1.16
2007-01-23,4102.65,4105.1,4056.45,4066.1,80442797.0,37835700000.0,20.96,5.18,1.17
2007-01-24,4066.6,4098.25,4065.75,4089.9,90298316.0,37609000000.0,21.07,5.21,1.16
2007-01-25,4092.05,4157.95,4090.1,4147.7,130890355.0,55414399999.99999,21.35,5.29,1.15
2007-01-29,4148.4,4167.15,4115.75,4124.45,94946217.0,39985300000.0,20.88,5.26,1.15
2007-01-31,4123.85,4137.85,4068.55,4082.7,114992600.0,53782000000.0,19.85,5.2,1.17
