,Date,dma_ml,rf_ta,hmm,ff_ta,impulse,ta_50,kalman_filter,Close
0,25-02-2020,-1,0,1,0,-1,0,-1,11678.5
1,26-02-2020,-1,0,1,0,-1,0,-1,11633.2998
2,27-02-2020,-1,0,-1,0,-1,0,-1,11201.75
3,28-02-2020,-1,0,1,0,-1,0,-1,11132.75
4,02-03-2020,-1,0,1,0,0,0,-1,11303.2998
5,03-03-2020,-1,0,1,0,0,0,-1,11251
6,04-03-2020,-1,0,1,0,0,0,-1,11269
7,05-03-2020,-1,0,-1,0,-1,0,-1,10989.4502
8,06-03-2020,-1,0,-1,0,-1,0,-1,10451.4502
9,09-03-2020,-1,0,-1,0,-1,0,-1,10458.40039
10,11-03-2020,-1,0,-1,0,-1,-1,-1,9590.150391
11,12-03-2020,-1,0,-1,0,0,-1,-1,9955.200195
12,13-03-2020,-1,0,-1,0,-1,-1,-1,9197.400391
13,16-03-2020,-1,0,-1,0,-1,-1,-1,8967.049805
14,17-03-2020,-1,0,-1,0,-1,-1,-1,8468.799805
15,18-03-2020,-1,0,-1,0,-1,-1,-1,8263.450195
16,19-03-2020,-1,0,-1,0,0,-1,-1,8745.450195
17,20-03-2020,-1,0,-1,0,-1,-1,-1,7610.25
18,23-03-2020,-1,0,-1,0,0,-1,-1,7801.049805
19,24-03-2020,-1,0,-1,0,0,-1,-1,8317.849609
20,25-03-2020,-1,0,-1,0,0,-1,-1,8641.450195
21,26-03-2020,-1,0,-1,0,0,-1,-1,8660.25
22,27-03-2020,-1,0,-1,0,0,-1,1,8281.099609
23,30-03-2020,-1,0,-1,0,0,-1,-1,8597.75
24,31-03-2020,-1,0,-1,0,0,-1,-1,8253.799805
25,01-04-2020,-1,0,-1,0,0,-1,-1,8083.799805
26,03-04-2020,-1,0,-1,0,1,-1,-1,8792.200195
27,07-04-2020,-1,0,-1,0,1,-1,-1,8748.75
28,08-04-2020,-1,1,-1,0,1,-1,-1,9111.900391
29,09-04-2020,1,1,1,0,1,-1,-1,8993.849609
30,13-04-2020,1,1,1,0,1,-1,-1,8925.299805
31,15-04-2020,1,1,1,0,1,-1,-1,8992.799805
32,16-04-2020,1,1,-1,0,1,-1,-1,9266.75
33,17-04-2020,1,1,-1,0,1,-1,-1,9261.849609
34,20-04-2020,1,1,-1,0,0,-1,-1,8981.450195
35,21-04-2020,1,1,-1,0,0,-1,-1,9187.299805
36,22-04-2020,1,1,1,0,0,-1,1,9313.900391
37,23-04-2020,1,1,1,0,0,-1,1,9154.400391
38,24-04-2020,1,1,1,0,0,-1,1,9282.299805
39,27-04-2020,1,1,1,0,0,-1,1,9380.900391
40,28-04-2020,1,1,1,0,1,-1,1,9553.349609
41,29-04-2020,1,1,-1,0,1,1,1,9859.900391
42,30-04-2020,1,1,-1,0,0,-1,1,9293.5
43,04-05-2020,-1,1,1,0,-1,-1,1,9205.599609
