Scrip Code	Company	LTP	Change Val	Pts Contribution
500325	RELIANCE	2111.80	+28.55	+67.38
542066	ATGL	899.25	+7.70	+1.55
500104	HINDPETRO	268.10	+1.10	+0.56
500547	BPCL	447.95	+0.95	+0.56
532522	PETRONET	221.75	+0.65	+0.36
539336	GUJGAS	680.35	+2.60	+0.33
500186	HINDOILEXP	119.20	+4.50	+0.31
500110	CHENNPETRO	135.30	+2.10	+0.08
526829	CONFIPET	63.15	+0.85	+0.08
500870	CASTROLIND	143.40	+0.10	+0.04
530075	SELAN	154.50	+3.15	+0.03
509567	GOACARBON	395.30	+1.25	+0.01
532181	GMDCLTD	68.20	+0.10	+0.01
538567	GULFOILLUB	667.85	-4.20	-0.04
500109	MRPL	47.75	-0.45	-0.06
530965	IOC	106.15	-0.15	-0.28
500312	ONGC	116.70	-0.15	-0.40
533106	OIL	156.40	-5.00	-1.30
500003	AEGISLOG	320.70	-13.75	-1.41
533278	COALINDIA	145.60	-1.15	-1.76
