Scrip Code	Company	LTP	Change Val	Pts Contribution
532174	ICICIBANK	660.25	-7.05	-12.34
532978	BAJAJFINSV	12751.65	-204.00	-3.12
532215	AXISBANK	771.10	-3.10	-2.07
541153	BANDHANBNK	309.30	-10.30	-1.89
532187	INDUSINDBK	1044.55	-10.50	-1.54
540716	ICICIGI	1521.60	-25.90	-1.43
500112	SBIN	430.20	-1.45	-1.41
500010	HDFC	2536.95	-2.65	-1.21
540611	AUBANK	1227.50	-21.60	-1.16
532134	BANKBARODA	81.75	-1.95	-0.92
511218	SRTRANSFIN	1448.10	-9.90	-0.50
500469	FEDERALBNK	87.90	-0.50	-0.25
531213	MANAPPURAM	187.05	-1.70	-0.22
540719	SBILIFE	1050.35	-2.00	-0.20
511243	CHOLAFIN	512.35	-1.55	-0.15
532498	SHRIRAMCIT	1768.20	-21.90	-0.12
540173	PNBHOUSING	720.60	-7.90	-0.08
500253	LICHSGFIN	468.85	-0.80	-0.06
540769	NIACL	164.65	-1.15	-0.06
535322	REPCOHOME	379.50	-5.65	-0.06
533519	L&TFH	94.85	-0.25	-0.05
532772	DCBBANK	108.35	-0.55	-0.04
542759	SPANDANA	688.75	-9.20	-0.04
540065	RBLBANK	214.80	-0.20	-0.03
511196	CANFINHOME	540.95	-1.20	-0.03
524000	MAGMA	155.80	-0.60	-0.03
532642	JSWHL	4709.55	-25.85	-0.03
532210	CUB	161.75	-0.10	-0.02
532149	BANKINDIA	75.15	-0.20	-0.02
531595	CGCL	529.90	-2.15	-0.02
532885	CENTRALBK	25.40	-0.15	-0.02
532525	MAHABANK	24.00	-0.15	-0.02
540530	HUDCO	52.65	-0.35	-0.02
532209	J&KBANK	38.05	-0.40	-0.02
532180	DHANBANK	18.10	-0.45	-0.02
534804	CARERATING	708.15	-0.95	-0.01
532388	IOB	25.25	-0.05	-0.01
532900	PAISALO	660.25	-1.90	-0.01
500116	IDBI	37.80	-0.15	-0.01
500111	RELCAPITAL	19.95	-0.10	-0.01
542904	UJJIVANSFB	30.35	-0.25	-0.01
543223	MAXINDIA	73.45	-0.85	-0.01
532974	BIRLAMONEY	79.90	-2.30	-0.01
543243	EQUITASBNK	65.65	+0.15	+0.00
532485	BLIL	482.80	+1.05	+0.00
540749	MASFIN	878.20	+0.35	+0.00
501301	TATAINVEST	1165.60	+0.35	+0.00
539874	UJJIVAN	241.75	+0.05	+0.00
532814	INDIANB	138.15	+0.00	+0.00
532505	UCOBANK	14.05	+0.00	+0.00
541336	INDOSTAR	341.70	-0.25	0.00
526650	TFCILTD	76.45	-0.10	0.00
511766	MUTHTFN	412.00	-1.35	0.00
531179	ARMANFIN	697.55	-2.65	0.00
523756	SREINFRA	12.90	-0.07	0.00
539940	MAXVIL	79.20	+1.20	+0.01
511676	GICHSGFIN	185.95	+1.95	+0.01
542867	CSBBANK	351.15	+1.20	+0.01
539883	PILANIINVS	2001.50	+6.65	+0.01
541988	AAVAS	2865.65	+1.65	+0.01
540755	GICRE	185.05	+0.40	+0.02
539404	SATIN	93.65	+4.40	+0.03
532366	PNBGILTS	75.15	+2.15	+0.03
505526	DOLAT	107.20	+2.35	+0.03
532652	KTKBANK	62.55	+0.35	+0.03
541729	HDFCAMC	3089.30	+2.25	+0.03
500106	IFCI	14.15	+0.22	+0.04
541770	CREDITACC	746.20	+5.30	+0.04
532636	IIFL	267.90	+1.20	+0.04
533398	MUTHOOTFIN	1569.20	+1.30	+0.04
533303	BFINVEST	414.25	+21.75	+0.05
532218	SOUTHBANK	12.48	+0.12	+0.05
533344	PFS	22.35	+1.05	+0.06
532477	UNIONBANK	36.65	+0.20	+0.06
500034	BAJFINANCE	6126.80	+1.10	+0.07
500247	KOTAKBANK	1750.30	+0.25	+0.08
501150	CENTRUM	51.85	+2.35	+0.09
500266	MAHSCOOTER	3803.00	+66.85	+0.09
532922	EDELWEISS	90.65	+0.65	+0.09
532483	CANBK	151.30	+0.70	+0.09
532720	M&MFIN	162.15	+0.70	+0.10
539844	EQUITAS	130.40	+1.60	+0.12
532285	GEOJITFSL	96.95	+7.80	+0.15
543238	UTIAMC	878.55	+21.85	+0.15
542773	IIFLSEC	120.00	+6.20	+0.21
532955	RECLTD	151.65	+0.90	+0.21
534091	MCX	1720.10	+20.90	+0.23
543232	CAMS	3435.10	+78.85	+0.29
504973	CHOLAHLDNG	649.25	+12.75	+0.31
500092	CRISIL	2750.70	+54.05	+0.33
532461	PNB	40.85	+0.50	+0.38
532915	RELIGARE	147.30	+7.60	+0.40
523405	JMFINANCIL	111.80	+4.05	+0.43
539437	IDFCFIRSTB	54.05	+0.65	+0.44
500271	MFSL	1066.30	+8.15	+0.46
540133	ICICIPRULI	627.30	+4.75	+0.47
543066	SBICARD	989.45	+10.85	+0.52
532810	PFC	127.55	+1.85	+0.54
542772	IIFLWAM	1381.30	+97.55	+0.59
541179	ISEC	765.00	+38.80	+0.66
532659	IDFC	55.75	+2.30	+0.69
543235	ANGELBRKG	1274.45	+212.40	+0.75
535789	IBULHSGFIN	275.40	+9.30	+0.82
540777	HDFCLIFE	697.95	+4.15	+0.83
540767	NAM-INDIA	418.40	+22.35	+0.84
532892	MOTILALOFS	1125.65	+105.25	+0.94
540691	ABCAPITAL	124.50	+5.50	+1.01
500490	BAJAJHLDNG	3975.25	+89.90	+1.14
500180	HDFCBANK	1521.70	+1.20	+1.24
500302	PEL	2351.95	+73.40	+2.09


