Scrip Code	Company	LTP	Change Val	Pts Contribution
500875	ITC	207.90	+1.70	+25.70
532478	UBL	1447.85	+51.95	+6.18
532497	RADICO	789.80	+32.65	+4.53
500696	HINDUNILVR	2414.60	+2.10	+3.24
532424	GODREJCP	951.25	+2.95	+1.93
500790	NESTLEIND	17650.10	+31.30	+1.93
500125	EIDPARRY	415.75	+10.95	+1.85
507815	GILLETTE	6020.95	+140.85	+1.59
531335	ZYDUSWELL	2249.75	+15.35	+0.54
519600	CCL	385.85	+4.05	+0.50
532926	JYOTHYLAB	176.10	+1.85	+0.44
500215	ATFL	959.80	+12.65	+0.24
519588	DFM	405.25	+9.10	+0.21
543253	BECTORFOOD	438.90	+7.70	+0.17
532783	DAAWAT	80.15	+0.70	+0.16
540025	ADVENZYMES	414.20	+1.75	+0.14
530843	CUPID	259.05	+9.25	+0.11
519105	AVTNPL	79.25	+1.80	+0.11
539889	PARAGMILK	143.25	+1.35	+0.11
519156	VADILALIND	1026.15	+15.75	+0.07
519091	TASTYBIT	18879.30	+50.80	+0.06
540180	VBL	796.70	+0.25	+0.06
523207	KOKUYOCMLN	73.65	+0.75	+0.03
537291	NATHBIOGEN	376.95	+0.25	+0.01
533400	FCONSUMER	9.12	-0.01	-0.01
539450	SHK	168.20	-0.30	-0.02
507526	ASALCBR	473.85	-1.35	-0.02
542852	VISHWARAJ	142.85	-0.95	-0.02
533229	BAJAJCON	289.20	-0.30	-0.05
540649	AVADHSUGAR	471.85	-4.00	-0.05
519126	HNDFDS	1989.50	-7.50	-0.06
523660	WATERBASE	132.20	-2.95	-0.07
540724	DIAMONDYD	763.65	-6.75	-0.08
531508	EVEREADY	315.50	-1.05	-0.10
533104	GLOBUSSPR	675.90	-7.15	-0.10
540743	GODREJAGRO	658.55	-2.10	-0.11
530813	KRBL	285.30	-1.20	-0.11
540692	APEX	384.65	-7.45	-0.11
500038	BALRAMCHIN	345.35	-0.55	-0.12
532729	UTTAMSUGAR	214.75	-9.10	-0.15
524226	GAEL	186.25	-1.35	-0.18
501425	BBTC	1300.30	-7.60	-0.24
532610	DWARKESH	75.55	-1.35	-0.25
532899	KSCL	743.65	-6.05	-0.28
500163	GODFRYPHLP	1045.90	-11.25	-0.28
532301	TATACOFFEE	190.25	-2.10	-0.29
500119	DHAMPURSUG	360.95	-7.10	-0.34
500097	DALMIASUG	455.70	-10.25	-0.36
512573	AVANTI	633.60	-5.60	-0.50
523261	VENKYS	3427.30	-48.35	-0.52
532356	TRIVENI	191.15	-4.05	-0.54
519552	HERITGFOOD	479.50	-11.75	-0.57
500459	PGHH	12894.75	-41.85	-0.68
500032	BAJAJHIND	19.20	-1.00	-0.80
500830	COLPAL	1746.50	-4.35	-1.00
509966	VSTIND	3539.90	+19.80	+-1.06
532670	RENUKA	33.25	-1.70	-1.81
531162	EMAMILTD	558.30	-9.50	-3.51
500825	BRITANNIA	3443.25	-17.65	-3.60
500096	DABUR	580.35	-3.90	-3.82
531642	MARICO	525.50	-8.45	-7.55
500800	TATACONSUM	763.20	-9.05	-9.38
