Date,Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts,Total Short Contracts
2020-01-01,Client,98459,104368,218664,222254,4032083,3695191,3995423,3679375,107261,49379,103649,50790,8201037,8155859
2020-01-01,DII,5248,664,2758,3814,0,0,0,0,0,0,121,0,8006,4599
2020-01-01,FII,11883,8100,74213,74285,951649,864492,952995,859533,12856,8699,12526,8376,1923792,1915815
2020-01-01,Pro,37320,39778,95188,90470,2898393,2474206,2933707,2494981,77829,52283,81650,51195,5635219,5691781
2020-01-02,Client,143374,138564,334053,339735,12813218,9492392,12962954,9455092,177030,72976,186502,65634,23033043,23148481
2020-01-02,DII,2445,3187,7631,8291,0,0,0,0,0,0,120,0,10076,11598
2020-01-02,FII,26545,30145,145465,134288,2593333,2257451,2553354,2238328,23713,18153,24151,16128,5064660,4996394
2020-01-02,Pro,57388,57856,135441,140276,7347276,5609906,7237519,5666329,142249,72994,132219,82361,13365254,13316560
2020-01-03,Client,184571,174647,340558,355999,2400207,2825034,2360699,2861508,188272,89761,178421,94179,6028403,6025453
2020-01-03,DII,0,1,9866,3330,0,0,0,0,0,0,19,0,9866,3350
2020-01-03,FII,39003,47479,166619,167219,1224442,1289862,1239665,1261844,27713,22291,28271,21254,2769930,2765732
2020-01-03,Pro,72743,74190,159449,149944,1773191,2000286,1797476,1991830,142917,102100,152191,98719,4250686,4264350
2020-01-06,Client,206968,200144,334958,334007,3496092,4004468,3394959,4010603,196041,124997,183052,129366,8363524,8252131
2020-01-06,DII,9561,240,9879,10178,0,2080,0,0,11,0,11,0,21531,10429
2020-01-06,FII,57222,64002,148893,157159,1483810,1620700,1500663,1611176,36751,30361,38110,29746,3377737,3400856
2020-01-06,Pro,91260,100625,164533,156919,2855456,2573451,2939736,2578920,142162,126501,153792,122747,5953363,6052739
2020-01-07,Client,233407,244478,340725,337734,5185712,5382472,5186117,5363956,190222,94927,188129,93569,11427465,11413983
2020-01-07,DII,2000,447,6421,11469,0,0,0,0,0,0,6,0,8421,11922
2020-01-07,FII,69332,55597,169665,162886,2543605,2704360,2534578,2701293,33078,25060,32768,24339,5545100,5511461
2020-01-07,Pro,106756,110973,156452,161174,3975135,4004148,3983757,4025731,146421,103248,148818,105327,8492160,8535780
2020-01-08,Client,230744,213973,321009,328175,5232545,5179731,5249258,5128902,177635,97477,176658,96061,11239141,11193027
2020-01-08,DII,3091,2307,11660,12622,0,0,0,0,8,0,0,0,14759,14929
2020-01-08,FII,49229,63120,167089,159403,2689298,2197360,2683971,2223305,33305,25363,32845,25233,5161644,5187877
2020-01-08,Pro,107537,111201,153333,152891,4403762,3548905,4392376,3573789,138793,103375,140238,104921,8455705,8475416
2020-01-09,Client,183086,202140,360496,360547,12205675,12066602,12334886,12053340,218987,99044,228368,94812,25133890,25274093
2020-01-09,DII,404,8368,8504,10858,0,0,0,0,11,0,3,0,8919,19229
2020-01-09,FII,70730,58533,174332,169769,3297604,2619087,3252392,2586527,33043,28627,32213,26860,6223423,6126294
2020-01-09,Pro,96655,81834,164737,166895,7424944,7854938,7340945,7900760,168316,103133,159773,109132,15812723,15759339
2020-01-10,Client,180720,185291,344480,346130,2818711,2811425,2802445,2825673,233325,100902,233150,100331,6489563,6493020
2020-01-10,DII,0,0,16583,8009,0,0,0,0,50,0,0,0,16633,8009
2020-01-10,FII,42493,39288,165828,169932,1348246,1270140,1346446,1263085,35630,29601,35828,29832,2891938,2884411
