time,open,high,low,close,"GOLDBEES, NSE: Open","GOLDBEES, NSE: High","GOLDBEES, NSE: Low","GOLDBEES, NSE: Close",Volume,Volume MA
1366602300,5816.3,5843.1,5791,5832.85,24.853999,25.168999,24.853999,25.1255,12640200,12249487.5
1366688700,5833.45,5852.45,5795.6,5843,25.35,25.35,25.01,25.091001,13852750,12085480
1366861500,5898.4,5924.35,5861,5916.3,25.3,25.52,25.29,25.475,16802850,12350755
1366947900,5919,5920,5877.15,5887.75,25.75,26.0175,25.75,25.7595,8263550,12143690
1367207100,5894,5934.9,5884.65,5918.2,25.9605,26.0005,25.77,25.898999,6124000,11906750
1367293500,5950,5965.9,5867,5929,25.865,25.898999,25.603,25.66,11395550,11759847.5
1367466300,5936,6024.95,5930,6007.4,25.455,25.475,25.3255,25.42,12021100,11977522.5
1367552700,6000.1,6006,5937.45,5948.25,25.6155,25.87,25.615,25.8695,13033450,12215507.5
1367811900,5960,5981.4,5930.2,5971.3,25.798,25.895,25.7,25.8695,7658050,12078125
1367898300,5988.2,6057,5985.05,6050.3,25.7795,25.83,25.62,25.678,9505850,11859525
1367984700,6067.2,6089.9,6025.3,6075.2,25.523,25.625,25.451499,25.558,9731050,11746445
1368071100,6090,6090,6038.1,6048.95,25.79,25.956001,25.715,25.9,7717850,11802652.5
1368157500,6053,6118,6045.45,6108.35,25.855,25.898999,25.731001,25.74,9729500,11575615
1368416700,6114.85,6119,5986.1,5994.45,25.81,25.8195,25.5,25.5995,12408050,11481080
1368503100,5994.5,6039.9,5980.5,6006,25.59,25.703501,25.536001,25.63,11248850,11407237.5
1368589500,6026.6,6168.9,6026.25,6161.5,25.6,25.6,25.31,25.3905,15968400,11656935
1368675900,6159.95,6198,6143.55,6178.05,25.01,25.245,24.81,24.818501,9607950,11550647.5
1368762300,6185.1,6209.2,6152.55,6196.1,24.8,25.057,24.8,24.896001,7934950,11054417.5
1369021500,6206.1,6239,6154.35,6164.85,24.6,24.6,24.3205,24.44,9207250,10868485
1369107900,6168.55,6189.6,6106,6116.9,24.66,25.193501,24.66,24.916001,11746750,10829897.5
1369194300,6134,6154,6081.3,6104.05,24.99,25.065,24.8655,24.977,10178750,10706825
1369280700,6078,6079.9,5952.6,5966.1,24.7995,25.026499,24.75,24.951001,18332050,10930790
1369367100,6000,6011.45,5936.1,5985.4,25.133501,25.168501,24.936001,24.995,12140400,10697667.5
1369626300,5988.75,6100,5972.75,6083.45,25.062,25.11,25.026001,25.046001,11916050,10880292.5
1369712700,6071,6127,6048.1,6109.4,25.148501,25.148501,24.9305,24.972,15348800,11341532.5
1369799100,6113.4,6113.4,6055.55,6090.25,25.05,25.17,25.05,25.136499,11400850,11341797.5
1369885500,6052,6131,6052,6124.05,25.198501,25.5345,25.19,25.462,11400850,11310785
1369971900,6119,6119,5991,6000.05,25.5,25.8305,25.5,25.79,13900150,11354120
1370231100,6020,6080.15,5925,5959.2,25.588501,25.668501,25.363501,25.598,11308300,11536632.5
1370317500,5948.25,5994.9,5921,5932.35,25.6605,25.81,25.611001,25.62,9722350,11547457.5
1370403900,5920.55,5951.9,5896.25,5938.3,25.748,25.748,25.585,25.62,11137900,11617800
1370490300,5900,5969.25,5878.3,5936.85,26.176499,26.176499,25.902,26.0105,12386400,11851227.5
1370576700,5933.5,5989.95,5883.1,5895.2,26.1605,26.317,26.0045,26.29,16652600,12197382.5
1370835900,5920.1,5939.7,5867.25,5893.35,26.013999,26.148,25.981499,26.0975,10681200,12111040
1370922300,5868,5877.45,5793.6,5801.65,26.265,26.56,25.98,26.13,17582800,12427737.5
1371008700,5778.9,5808.8,5747.2,5771.9,26.06,26.19,26.0425,26.08,13942600,12326447.5
1371095100,5720.25,5738.45,5692.25,5705.45,26.3,26.51,26.2605,26.371001,13298050,12510952.5
1371181500,5769,5823.45,5735,5805.95,26.293999,26.293999,26.055,26.073,12106450,12719527.5
1371440700,5818.5,5852,5770,5847.75,26.2995,26.45,26.213,26.33,12991450,12908737.5
1371527100,5839.9,5867.4,5800.2,5812,26.306499,26.54,26.045,26.5,11977100,12920255
1371613500,5802.65,5829.1,5776.15,5822.7,26.478999,26.478999,26.301001,26.37,10493850,12936010
1371699900,5749.5,5750,5640.25,5648.45,26.315,26.36,25.47,25.5395,17434500,12891132.5
1371786300,5629.9,5682,5613.9,5661.85,25.45,25.52,25.3105,25.35,15165600,13042392.5
1372045500,5628,5628,5556.6,5588.3,25.3105,25.548,25.271001,25.43,15288350,13211007.5
1372131900,5603,5667.55,5568.55,5608.3,25.398999,25.398999,25.18,25.2605,19318050,13409470
1372218300,5620,5630.6,5571,5581.1,24.91,24.948,24.428999,24.573999,15267000,13602777.5
1372304700,5639.4,5702.9,5627.05,5682.35,24.6105,24.8845,24.52,24.5505,19901100,14027790
1372391100,5761.15,5852,5761.15,5841.45,24.29,24.29,23.772,23.877,15650400,14115302.5
1372650300,5829.9,5896.5,5825.05,5892.2,24.061001,24.498501,24.061001,24.49,10813500,14090562.5
1372736700,5878,5889.8,5850.1,5859.05,24.6105,24.888,24.603999,24.821001,9094550,14059172.5
1372823100,5816.4,5816.4,5755,5767.85,24.725,24.9095,24.6,24.85,12702850,14137420
1372909500,5793.95,5854.6,5781,5840.1,24.8495,24.948,24.8055,24.88,13839100,14210055
1372995900,5870.1,5904.8,5858.4,5874.95,24.786499,24.88,24.6625,24.88,9334600,13844155
1373255100,5837.4,5844,5772.6,5829.25,24.755,24.7995,24.601499,24.71,12810700,13950630
1373341500,5850.55,5876.9,5842.2,5868.35,24.8,24.98,24.77,24.8795,8947650,13518872.5
1373427900,5877,5887,5808,5822.05,24.82,24.85,24.665,24.8495,10090050,13326245
1373514300,5898.15,5963,5893,5941.35,25.025,25.41,25.0205,25.2605,14376800,13380182.5
1373600700,6004.9,6021,5951,6007.25,25.1,25.28,25.075,25.16,12358850,13392802.5
1373859900,6005.6,6044.75,5984.45,6032.6,25.148999,25.478999,25.148999,25.303,9909550,13238707.5
1373946300,6032,6032,5844.4,5969.7,25.14,25.15,24.9655,25.133999,12423650,13261035
1374032700,5982.85,5998.8,5932.05,5970.85,25.152,25.242,25.1405,25.21,12312250,13351955
1374119100,5986.25,6066.2,5981.1,6052.4,25.148999,25.21,25.06,25.208999,11624450,13061452.5
1374205500,6054,6074.4,6034.05,6042.55,25.225,25.51,25.225,25.297,10116950,12809020
1374464700,6028.8,6072.9,6017.95,6043.55,25.521499,25.8025,25.521499,25.8,9030500,12496127.5
1374551100,6077,6107.25,6069.6,6087,26.0205,26.255,26.0205,26.161001,11897250,12125087.5
1374637500,6046.55,6059,5971.2,6002.7,26.18,26.29,25.855,25.88,14954150,12109445
1374723900,5980.2,5994.7,5899.05,5907.5,25.7475,25.7475,25.503,25.55,16239100,11926345
1374810300,5955,5974.25,5907.5,5925.25,25.851499,25.958501,25.765,25.87,11129800,11700315
1375069500,5915.55,5924,5871,5877.35,26.34,26.34,25.8,26.218501,7374200,11528350
1375155900,5883.3,5905,5787.3,5797.55,26.411001,26.64,26.38,26.5,13492250,11748235
1375242300,5780,5792.5,5715,5781.05,26.7625,27.0105,26.665,26.715,13366350,11781410
1375328700,5799,5841,5701,5762.05,26.5,26.545,26.313501,26.3205,18063750,11992642.5
1375415100,5779,5787.3,5681.6,5705.55,26.55,26.55,25.841001,25.98,11595500,12105687.5
1375674300,5720,5762.7,5695.55,5723.6,26.3605,26.606499,26.215,26.55,9573100,11943807.5
1375760700,5687.85,5688.95,5546.05,5573.35,26.348,26.508999,26.1255,26.47,16484100,12320630
1375847100,5578,5603,5515.8,5554.15,26.005,26.297,25.9105,26.07,18088150,12720535
1375933500,5552.15,5602,5541.5,5589.7,26.3105,26.548,26.261499,26.32,10417400,12522565
1376279100,5598.5,5658.95,5568.1,5621.75,26.88,27.15,26.71,27.14,13230750,12566160
1376365500,5607,5717,5589.15,5711.35,27.2605,27.75,27.2605,27.62,12915350,12716450
1376451900,5719.9,5759,5698.45,5748.3,27.5975,27.648,27.4105,27.5,12744750,12732505
1376624700,5716.6,5725,5493.35,5505,28.0625,28.798501,27.95,28.53,25983200,13416052.5
1376883900,5500,5500,5367.05,5416.75,28.88,29.25,28.88,29.05,24362150,14052937.5
1376970300,5404.9,5419.9,5200,5398.25,29.2125,29.42,28.43,29.09,22551650,14674672.5
1377056700,5492,5498.7,5257.6,5291.6,29.05,29.29,28.82,29.1045,26697850,15558040
1377143100,5260,5425,5250,5414.3,29.3625,29.555,29.105,29.201001,23314450,16128900
1377229500,5420,5467.95,5370.3,5460.7,29.198501,29.198501,28.971499,28.973999,18835650,16322975
1377488700,5482.5,5526.75,5442.4,5467.1,29.33,29.538501,29.2105,29.438999,18217150,16421877.5
1377575100,5409.9,5424.8,5256.9,5284.8,29.61,30.03,29.5895,29.747,24603200,17095547.5
1377661500,5218.7,5318.7,5108.25,5288.95,30.2,30.488,29.903,30.18,30090200,18231347.5
1377747900,5328,5427,5298.3,5409.05,29.99,30.048,29.4505,29.93,23891000,18751285
1377834300,5400,5482.75,5356,5456.75,29.85,30.0105,29.05,29.123,23869500,19276442.5
1378093500,5464.1,5568,5458.25,5554.6,29.11,29.31,28.816001,29.2,15534500,19149980
1378179900,5555,5572,5323.2,5344.55,29.5,30.0995,29.27,30.01,26095550,19874982.5
1378266300,5338,5475,5318.75,5458.05,30.55,30.55,29.703,29.805,26111650,20701910
1378352700,5551.6,5640.05,5545,5607.15,29.39,29.39,28.92,29.23,19765350,20865972.5
1378439100,5621,5706.9,5581.75,5697.8,28.9845,29.068999,28.551001,28.59,18039750,20863552.5
1378784700,5772.25,5916.35,5771.15,5907.15,28.6,28.6,28.0625,28.235,26161950,21650780
1378871100,5889,5954.7,5851.35,5939.65,28,28.376001,27.96,28.1025,17971550,21887820
1378957500,5954,5955,5825,5860.45,28.1005,28.3,27.9,28.2095,15064800,21995292.5
1379043900,5835.5,5908.75,5822.2,5875.9,28.14,28.14,27.66,27.7,14945050,22105307.5
1379303100,5976,6029,5814.2,5862.25,27.7995,27.9,27.525,27.575,18368250,21724560
1379389500,5850,5888.15,5821,5880.5,27.5,27.97,27.5,27.85,11500850,21081495
1379475900,5890,5945.8,5865.1,5931.45,27.745,27.745,27.38,27.59,10655050,20486665
1379562300,6077.7,6174.8,6072,6145.75,28.011499,28.5,28.011001,28.2395,19883400,20145942.5
1379648700,6130,6154.55,5950.2,6037.5,28.2105,28.498,28.0025,28.1,25090200,20234730
1379907900,5983.8,6011.15,5887.85,5914.4,27.94,27.94,27.7225,27.9005,17272000,20156547.5
1379994300,5899.9,5962.75,5875.4,5914.35,27.98,28.193,27.71,27.75,18552400,20173310
1380080700,5920,5923.9,5820.95,5889,27.81,28.1,27.81,27.93,18037500,19845025
1380167100,5893.9,5923.8,5867.2,5882.25,27.916499,28.097,27.81,27.912,16314900,19156260
1380253500,5951.25,5959.65,5875,5888.15,27.7525,28.0895,27.6,28,11897950,18556607.5
1380512700,5846,5854.85,5774,5791.45,28.251499,28.67,28.251499,28.34,13942300,18060247.5
1380599100,5806.65,5837,5754.05,5828.45,28.398,28.398,28.03,28.1,12591850,17913115
1380771900,5860,5996,5846.1,5966.8,27.84,27.99,27.75,27.93,14707450,17343710
1380858300,5945.05,6008.95,5926.1,5950.9,28.001499,28.088999,27.812,27.84,14686450,16772450
1381117500,5937.7,5949.8,5856.5,5943.2,27.9,28.246001,27.801001,28.011001,15275550,16547960
1381203900,6000,6021,5944.25,5959.45,27.968,29.1305,27.968,28.75,12616100,16276777.5
1381290300,5918,6057.95,5905,6048.5,28.75,28.75,28.3,28.3,15284400,15732900
1381376700,6038,6073.8,6005.55,6059.8,28.3805,28.501001,28.223501,28.45,12621200,15465382.5
1381463100,6139.9,6143.15,6072,6130.5,28.3,28.3,28.01,28.07,12957100,15359997.5
1381722300,6117.35,6154.9,6104.3,6143.35,27.85,28.45,27.85,28.37,9009900,15063240
1381808700,6175,6193.6,6077.6,6110.65,28.25,28.4695,28.05,28.1,15419100,14915782.5
1381981500,6123,6139,6058.8,6071,28.35,28.781001,28.206001,28.65,12862100,14983845
1382067900,6090,6224,6088.25,6210.45,28.653501,29.05,28.622,28.856001,17121200,15307152.5
1382327100,6220,6239,6182.5,6226.15,28.7,29.2,28.7,29.1,10504150,14838190
1382413500,6210,6236,6197.3,6222.65,29,29.361001,29,29.253501,9477300,14057545
1382499900,6230.3,6230.3,6126.05,6190.3,29.44,29.828,29.403501,29.7725,17705450,14079217.5
1382586300,6180.25,6267.75,6147.25,6173.8,29.72,29.86,29.4,29.68,18943650,14098780
1382672700,6152.35,6188.4,6130.1,6151.55,29.661001,29.9,29.6205,29.77,13306050,13862207.5
1382931900,6170.15,6181,6097.7,6105.3,29.7995,29.916499,29.721001,29.883999,12274250,13660175
1383018300,6100,6237.7,6080,6228.95,29.875,29.99,29.011499,29.198999,23089300,14219742.5
1383104700,6245.15,6276,6222.85,6250.9,29.2155,29.216001,28.9,29.08,13389250,14192090
1383191100,6238,6302.6,6233.1,6299.15,29.048999,29.048999,28.581001,28.732,16634250,14394210
1383277500,6315.05,6369.95,6312.2,6358.7,28.748,29.191499,28.7105,28.8795,9049350,14111305
1383623100,6335.15,6356.25,6284.45,6298.8,28.8795,28.8795,28.426001,28.44,11572500,13955607.5
1383709500,6303.95,6307.75,6252.85,6259.15,28.521499,28.8,28.32,28.76,11314050,13757532.5
1383795900,6265,6338.65,6221.35,6227.3,28.48,28.896001,28.48,28.6,17667500,14010102.5
1383882300,6217.35,6227,6165.25,6186.6,28.551001,28.74,28.516001,28.693501,12635950,13877680
1384141500,6147,6189,6113.25,6126.85,28.5775,28.7395,28.4555,28.66,13552500,13924245
1384227900,6138,6153.9,6063.6,6071.55,28.79,29.07,28.5055,29.02,14442250,13998502.5
1384314300,6042.35,6088,6008.1,6033,29,29.295,28.775,28.91,14539000,14274957.5
1384400700,6080.25,6137.95,6071.3,6088.95,28.958501,29.05,28.8105,29.005,13439150,14175960
1384746300,6162.6,6227.7,6151.15,6217.05,28.9905,29.16,28.811001,29.1,13694300,14217570
1384832700,6215.1,6240,6182.5,6230.5,28.85,28.97,28.7225,28.92,8295550,13776287.5
1384919100,6209.9,6234.45,6129.25,6149.05,28.921001,29.088999,28.8105,28.878999,14934800,13997820
1385005500,6109.7,6114.5,6003,6018.5,28.8,28.84,28.6,28.77,18376150,14442762.5
1385091900,6044.9,6067,5983,6015.25,28.7805,28.888,28.713999,28.8,15987300,14356855
1385351100,6060.1,6141.5,6050,6133.9,28.801001,28.801001,28.37,28.412,15310700,14175207.5
1385437500,6108.9,6122.25,6063.15,6071.95,28.6,28.87,28.5105,28.78,12780300,14148920
1385523900,6062,6087.4,6038,6069.7,28.65,28.73,28.55,28.63,11050350,14087725
1385610300,6101,6120,6062.55,6091.85,28.558,28.558,28.4,28.5,13694800,13618000
1385696700,6162,6243.4,6148.8,6225.5,28.47,28.7995,28.4,28.74,11040100,13500542.5
1385955900,6215,6274.15,6215,6263.75,28.738,28.7395,28.491001,28.61,8850200,13111340
1386042300,6239.4,6264.8,6223,6248.4,28.5,28.62,28.383,28.505,7656550,13041700
1386128700,6223.55,6253.2,6184.4,6199.15,28.7,28.702,28.523999,28.581499,11228600,13024505
1386215100,6301.55,6341.4,6267.1,6279.95,28.7,28.888999,28.6,28.698999,13750600,13146332.5
1386301500,6285.25,6319.7,6267.4,6303.75,28.598,28.598,28.4305,28.4805,8778900,12701902.5
1386560700,6425.65,6480,6375.5,6391.75,28.11,28.485,27.68,28.13,15018850,12821047.5
1386647100,6317.35,6417,6317.35,6369.5,28.2,28.5,28.2,28.35,9862750,12636560
1386733500,6350.15,6359,6311.8,6343.45,28.45,28.5875,28.37,28.39,9937100,12411302.5
1386819900,6317.8,6318,6257,6264.95,28.41,28.4795,28.188999,28.318999,10666350,12217670
1386906300,6224.7,6234.55,6189.55,6197.75,28.09,28.218,28.05,28.15,10294750,12060450
1387165500,6193.7,6203.7,6168.45,6179.7,28.2105,28.368999,28.031499,28.12,8552400,11803355
1387251900,6216.25,6217.65,6153,6160.85,28.1505,28.248999,27.912,27.95,8184450,11797800
1387338300,6152.85,6263.85,6151.1,6249.65,27.9,27.985,27.7705,27.95,13022200,11702170
1387424700,6284.9,6289.6,6161.1,6177.8,27.828999,27.948999,27.68,27.748999,17031950,11634960
1387511100,6179.7,6301.6,6170,6292.35,27.76,27.76,27.52,27.678,15166600,11593925
1387770300,6309,6334,6289.3,6302.35,27.68,27.75,27.5,27.62,13168750,11486827.5
1387856700,6310.2,6312.95,6272,6281.7,27.55,27.63,27.43,27.53,9638350,11329730
1388029500,6283.3,6305.65,6266.1,6278.9,27.517,27.746001,27.517,27.55,13334400,11443932.5
1388115900,6340,6383,6335,6372.05,27.62,27.75,27.4,27.47,5954500,11056917.5
1388375100,6385,6389.55,6322.05,6334.7,27.45,27.5475,27.21,27.25,7151250,10862475
1388461500,6352,6380,6339,6354.7,27.18,27.248,27.08,27.238999,4982800,10669105
1388547900,6364.95,6369.9,6345.2,6358.15,27.17,27.32,27.1505,27.258999,2398000,10406177.5
1388634300,6354.75,6408.7,6246.05,6257.75,27.34,27.4945,27.301499,27.48,16275200,10658507.5
1388720700,6224.8,6261,6201,6251.75,27.51,27.7005,27.51,27.64,12106200,10576287.5
1388979900,6240,6249,6203,6229.2,27.701001,27.793999,27.563999,27.6005,8568050,10565745
1389066300,6248,6260,6172.65,6195.85,27.51,27.7,27.471001,27.6995,12797150,10454660
1389152700,6207,6217.85,6184.2,6197.5,27.5,27.54,27.336001,27.3845,8213100,10372177.5
1389239100,6197.55,6203.95,6161.65,6184.45,27.4,27.488,27.29,27.448999,8728050,10311725
1389325500,6182.8,6269,6156,6178.25,28.231001,29.41,27.44,27.568501,16416250,10599220
1389584700,6201.25,6301.6,6201.25,6285.3,27.56,27.7175,27.5155,27.56,12184000,10693682.5
1389671100,6284,6289.5,6243.65,6256.5,27.79,27.79,27.5,27.737,7726000,10652362.5
1389757500,6270.8,6336,6267.4,6331.1,27.58,27.728999,27.485,27.57,12854600,10885870
1389843900,6330,6351.7,6304.85,6329.85,27.55,27.628999,27.52,27.58,8763050,10672912.5
1389930300,6305.05,6338.55,6247.05,6261.65,27.783501,27.88,27.416001,27.75,11842900,10413460
1390189500,6268.3,6332,6248,6320.15,27.8,27.8005,27.601499,27.74,10867750,10198517.5
1390275900,6328.45,6342,6305,6326.4,27.7,27.75,27.5955,27.6655,7355800,9907870
1390362300,6329,6366,6291.6,6353,27.7,27.72,27.502,27.502,8558300,9853867.5
1390448700,6334.8,6369.2,6322.05,6357.8,27.578999,27.59,27.472,27.473999,6673000,9520797.5
1390535100,6317.5,6338.65,6266.4,6276.15,27.75,27.8,27.55,27.6205,12347850,9840465
1390794300,6195,6209.8,6142.5,6148.05,27.5005,27.9495,27.5005,27.9,15353150,10250560
1390880700,6145,6171.8,6086.3,6139.4,27.9,28,27.501001,27.76,18076600,10905250
1390967100,6165,6175.55,6107.1,6120.8,27.551499,28.4,27.551499,28.15,9604350,11265567.5
1391053500,6059.9,6078.1,6025.1,6073.7,28.2105,28.3,27.76,27.7605,14591300,11181372.5
1391139900,6115,6134.85,6090,6112,27.6,27.75,27.4,27.61,9698800,11061002.5
1391399100,6087.35,6102.7,6034,6039.7,27.9,27.9,27.59,27.615,8837150,11074457.5
1391485500,6000,6048.8,5957.25,6037.85,27.9,27.9,27.66,27.716499,12746600,11071930
1391571900,6025.5,6055,5982.1,6048.95,27.6,27.735,27.5105,27.71,11103750,11216462.5
1391658300,6052.65,6068.15,5975.2,6048.3,27.798,27.8,27.601499,27.717,12321950,11396157.5
1391744700,6092.1,6099.6,6036.1,6075.05,27.8,27.8395,27.6155,27.8,10567350,11103712.5
1392003900,6088.25,6107,6054.45,6064.6,27.7105,27.938501,27.71,27.9025,6378050,10813415
1392090300,6088,6095,6066,6072.75,27.96,28.098,27.93,28,6654150,10759822.5
1392176700,6102,6126,6088.7,6099.75,27.92,28.0895,27.903999,27.993501,8464350,10540310
1392263100,6103.25,6108.55,5997,6005.45,27.925,28.04,27.925,27.9525,11465200,10675417.5
1392349500,6022,6064.9,5992.35,6058,28.011499,28.138999,28.0105,28.101499,11356750,10651110
1392608700,6079.6,6098.95,6045,6091.2,28.166001,28.56,28.07,28.527,8351500,10525297.5
1392695100,6087.65,6156.7,6082.1,6138.8,28.54,28.62,28.4605,28.592,10548100,10684912.5
1392781500,6135.1,6167.4,6129.2,6159.05,28.465,28.678,28.35,28.63,6174000,10565697.5
1392867900,6131,6139.3,6102.85,6107.95,28.63,28.65,28.365,28.5645,8698650,10666980
1392954300,6125,6169.85,6118,6163.95,28.558999,28.56,28.278999,28.441001,8714050,10485290
1393213500,6155,6199.25,6142.35,6193.2,28.588,28.6,28.3705,28.572,8294000,10132332.5
1393299900,6213.25,6223.3,6178.5,6209.05,28.551499,28.588999,28.38,28.503,10139600,9735482.5
1393386300,6206.15,6243.4,6206.15,6238.8,28.501499,28.6,28.42,28.552,10087300,9759630
1393818300,6280,6292.9,6228,6239.45,28.608999,28.788999,28.5105,28.6155,9030500,9481590
1393904700,6250,6339.4,6245,6333.85,28.62,28.748999,28.42,28.451499,12057000,9599500
1393991100,6358.95,6361.65,6306.85,6352.3,28.468,28.52,28.303,28.3575,8545250,9584905
1394077500,6372.6,6436.45,6358.3,6430.1,28.09,28.3195,28.001001,28.2495,11412250,9518187.5
1394163900,6447,6562.95,6439.55,6549.7,28.33,28.483501,28.1695,28.215,18494850,9887742.5
1394423100,6525,6594.2,6520.15,6567.55,28.1995,28.1995,28,28.0525,11170800,9830185
1394509500,6575,6587.65,6522,6545.3,27.75,28.1395,27.75,28.097,10251700,9814402.5
1394595900,6528.25,6579.45,6515.05,6549.25,28.3025,28.33,28.1495,28.18,9727650,9981882.5
1394682300,6555,6588.8,6503.15,6519.6,28.3,28.3,28.163,28.22,10750600,10186705
1394768700,6479.95,6553.9,6461.4,6538.85,28.24,28.4,28.2205,28.366499,12813050,10404140
1395114300,6555.15,6602.8,6522.55,6547.5,28.0105,28.34,28.0105,28.128,11064350,10384097.5
1395200700,6563.9,6573.3,6531.1,6550.2,28.1,28.15,27.9,27.9175,7891300,10210825
1395287100,6530,6549.9,6489.6,6502.55,27.9,27.9,27.5,27.543999,9894800,10287990
1395373500,6530.05,6537,6506.4,6510.7,27.54,27.668,27.49,27.627,8843350,10202752.5
1395632700,6535.6,6611.65,6532.2,6598.85,27.59,27.59,26.78,27.3095,12486600,10518382.5
1395719100,6597.9,6610.9,6581.55,6605.95,27.1,27.31,26.99,27.031499,9439900,10555445
1395805500,6640.25,6641,6588.4,6612.55,27,27.118999,26.95,27.006499,11915150,10715500
1395891900,6610.05,6681.65,6603.6,6641.75,27.1,27.1,26.8,26.826001,16626150,11132107.5
1395978300,6708.6,6735.8,6685.2,6728.65,26.99,26.99,26.77,26.861001,7809250,11015590
1396237500,6759.95,6765.9,6706.95,6739.65,26.85,27.1,26.79,27.0725,8863950,10954422.5
1396323900,6765,6767.65,6705.55,6756.25,26.9995,27.096499,26.75,26.7775,10101150,11007955
1396410300,6773.25,6798.25,6753.55,6790.2,26.85,26.85,26.3,26.37,7534350,10781822.5
1396496700,6797.8,6799.65,6736,6768.45,26.41,26.688,26.41,26.6145,8773350,10793227.5
1396583100,6765.5,6774.9,6731.5,6744.2,26.62,26.6895,26.5005,26.6405,8237250,10634477.5
1396842300,6748.1,6769,6696.85,6736.7,26.675,26.828501,26.6405,26.6795,10359750,10227722.5
1397015100,6773.1,6847,6748.05,6835.5,26.89,27.6625,26.701499,26.836001,10164550,10177410
1397101500,6837,6861.25,6810.2,6825.05,26.625,27.14,26.625,27.098501,9427800,10136215
1397187900,6775,6823.65,6775,6803.55,27.09,27.1695,27.0105,27.066499,8853850,10092525
1397533500,6900,6900,6735.15,6753.95,27.07,27.35,27.06,27.323501,9914650,10050727.5
1397619900,6745,6780,6688.5,6697.3,27.22,27.44,27.162,27.318,10662600,9943205
1397706300,6715,6805.95,6704.05,6799.95,27.31,27.51,27.255,27.407,12359050,10007940
1398051900,6810,6849.6,6801.2,6838.15,27.3,27.55,27.15,27.5195,8285050,10027627.5
1398138300,6823.65,6848.95,6817.25,6829.6,27.4995,27.79,27.462,27.745,9192400,9992507.5
1398224700,6829.85,6858.9,6824.2,6840.8,27.74,27.933999,27.56,27.8395,12561050,10178392.5
1398397500,6900,6902,6806,6826.3,27.72,28.05,27.72,27.993501,11253700,10116747.5
1398656700,6808,6843.5,6795.1,6820,27.98,28.15,27.9505,28.033999,7053300,9997417.5
1398743100,6822.7,6822.7,6742.3,6760.3,28.033999,28.07,27.831001,27.956499,11575500,9980435
