Scrip Code	Company	LTP	Change Val	Pts Contribution
532488	DIVISLAB	4762.30	+155.40	+80.50
543245	GLAND	3958.40	+216.30	+31.64
539268	SYNGENE	668.30	+54.60	+25.74
524804	AUROPHARMA	975.40	+19.90	+22.75
524715	SUNPHARMA	688.65	+5.15	+22.60
532296	GLENMARK	687.05	+31.35	+19.06
500257	LUPIN	1180.00	+18.10	+17.69
506943	JBCHEPHARM	1889.40	+81.45	+11.26
532523	BIOCON	409.25	+6.10	+11.01
500087	CIPLA	977.20	+3.85	+7.95
508869	APOLLOHOSP	3780.05	+18.40	+7.42
500124	DRREDDY	5409.15	+14.25	+7.03
512529	SEQUENT	303.40	+15.40	+6.99
532482	GRANULES	381.40	+11.05	+6.23
500660	GLAXO	1575.75	+30.85	+5.31
532300	WOCKPHARMA	572.35	+37.45	+4.72
532321	CADILAHC	644.15	+3.50	+3.64
500488	ABBOTINDIA	17480.95	+145.90	+3.15
539523	ALKEM	3349.75	+22.00	+3.10
543220	MAXHEALTH	268.95	+2.65	+3.01
542650	METROPOLIS	2833.35	+26.35	+2.68
500674	SANOFI	7963.70	+70.55	+2.64
532531	STAR	789.45	+8.15	+2.08
524404	MARKSANS	88.15	+2.00	+1.73
524348	AARTIDRUGS	730.10	+12.85	+1.70
540701	DCAL	213.25	+6.60	+1.55
500680	PFIZER	5675.40	+22.95	+1.45
532612	INDOCO	443.15	+6.45	+0.99
506235	ALEMBICLTD	134.35	+3.05	+0.95
524164	IOLCP	662.85	+6.95	+0.79
524742	CAPPL	690.50	+8.00	+0.76
533573	APLLTD	969.20	+3.55	+0.76
524494	IPCALAB	2097.95	+1.75	+0.48
524816	NATCOPHARM	1107.40	+1.15	+0.43
539787	HCG	239.70	+1.75	+0.29
531599	FDC	379.05	+1.25	+0.26
540596	ERIS	768.30	+2.05	+0.26
524735	HIKAL	518.70	+1.65	+0.25
541540	SOLARA	1667.90	+3.15	+0.25
531633	LINCOPH	368.55	+2.50	+0.11
530239	SUVEN	90.80	+0.50	+0.10
506690	UNICHEMLAB	336.15	+0.75	+0.10
524394	VIMTALABS	305.45	+3.15	+0.09
530549	SHILPAMED	604.65	+0.55	+0.06
509079	GUFICBIO	183.85	+0.45	+0.04
524075	ALBERTDA	541.30	-1.40	-0.02
532983	RPGLIFE	462.75	-4.05	-0.08
540797	SHALBY	191.15	-1.25	-0.11
532890	TAKE	64.95	-0.50	-0.13
506414	FERMENTA	309.95	-3.20	-0.14
506197	BLISSGVS	111.70	-0.75	-0.17
532150	INDRAMEDCO	84.45	-1.05	-0.17
506820	ASTRAZEN	3517.25	-7.10	-0.18
531349	PANACEABIO	358.80	-6.45	-0.20
500672	NOVARTIND	1003.65	-9.65	-0.29
524669	HESTERBIO	2490.25	-21.30	-0.34
500288	MOREPENLAB	66.80	-0.40	-0.47
524558	NEULANDLAB	2193.75	-21.65	-0.73
543064	SUVENPHAR	463.95	-2.00	-0.83
532872	SPARC	247.75	-3.20	-0.96
540975	ASTERDM	159.55	-2.45	-1.05
539524	LALPATHLAB	3415.30	-8.50	-1.19
539871	THYROCARE	1320.95	-19.65	-1.44
500126	PGHL	5625.35	-47.00	-1.53
500420	TORNTPHARM	2990.10	-9.15	-1.83
532331	AJANTPHARM	2154.80	-18.10	-1.85
531768	POLYMED	970.00	-9.80	-1.95
539551	NH	503.85	-11.65	-2.42
540222	LAURUSLABS	668.70	-3.80	-5.64
532843	FORTIS	235.25	-3.10	-5.81
