Company Name,Industry,Symbol,Series
360 ONE WAM Ltd.,Financial Services,360ONE.NS,EQ
Aadhar Housing Finance Ltd.,Financial Services,AADHARHFC.NS,EQ
Aarti Industries Ltd.,Chemicals,AARTIIND.NS,EQ
Aavas Financiers Ltd.,Financial Services,AAVAS.NS,EQ
Action Construction Equipment Ltd.,Capital Goods,ACE.NS,EQ
Aditya Birla Real Estate Ltd.,Forest Materials,ABREL.NS,EQ
Aditya Birla Sun Life AMC Ltd.,Financial Services,ABSLAMC.NS,EQ
Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISLOG.NS,EQ
Affle (India) Ltd.,Information Technology,AFFLE.NS,EQ
Akums Drugs and Pharmaceuticals Ltd.,Healthcare,AKUMS.NS,EQ
Alembic Pharmaceuticals Ltd.,Healthcare,APLLTD.NS,EQ
Alkyl Amines Chemicals Ltd.,Chemicals,ALKYLAMINE.NS,EQ
Alok Industries Ltd.,Textiles,ALOKINDS.NS,EQ
Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M.NS,EQ
Amber Enterprises India Ltd.,Consumer Durables,AMBER.NS,EQ
Anand Rathi Wealth Ltd.,Financial Services,ANANDRATHI.NS,EQ
Anant Raj Ltd.,Realty,ANANTRAJ.NS,EQ
Angel One Ltd.,Financial Services,ANGELONE.NS,EQ
Apar Industries Ltd.,Capital Goods,APARINDS.NS,EQ
Aptus Value Housing Finance India Ltd.,Financial Services,APTUS.NS,EQ
Archean Chemical Industries Ltd.,Chemicals,ACI.NS,EQ
Asahi India Glass Ltd.,Automobile and Auto Components,ASAHIINDIA.NS,EQ
Aster DM Healthcare Ltd.,Healthcare,ASTERDM.NS,EQ
AstraZenca Pharma India Ltd.,Healthcare,ASTRAZEN.NS,EQ
Atul Ltd.,Chemicals,ATUL.NS,EQ
Avanti Feeds Ltd.,Fast Moving Consumer Goods,AVANTIFEED.NS,EQ
BASF India Ltd.,Chemicals,BASF.NS,EQ
BEML Ltd.,Capital Goods,BEML.NS,EQ
BLS International Services Ltd.,Consumer Services,BLS.NS,EQ
Balaji Amines Ltd.,Chemicals,BALAMINES.NS,EQ
Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,BALRAMCHIN.NS,EQ
Bata India Ltd.,Consumer Durables,BATAINDIA.NS,EQ
Bikaji Foods International Ltd.,Fast Moving Consumer Goods,BIKAJI.NS,EQ
Birla Corporation Ltd.,Construction Materials,BIRLACORPN.NS,EQ
Birlasoft Ltd.,Information Technology,BSOFT.NS,EQ
Blue Dart Express Ltd.,Services,BLUEDART.NS,EQ
Blue Star Ltd.,Consumer Durables,BLUESTARCO.NS,EQ
Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,BBTC.NS,EQ
Brigade Enterprises Ltd.,Realty,BRIGADE.NS,EQ
C.E. Info Systems Ltd.,Information Technology,MAPMYINDIA.NS,EQ
CCL Products (I) Ltd.,Fast Moving Consumer Goods,CCL.NS,EQ
CESC Ltd.,Power,CESC.NS,EQ
CIE Automotive India Ltd.,Automobile and Auto Components,CIEINDIA.NS,EQ
Campus Activewear Ltd.,Consumer Durables,CAMPUS.NS,EQ
Can Fin Homes Ltd.,Financial Services,CANFINHOME.NS,EQ
Caplin Point Laboratories Ltd.,Healthcare,CAPLIPOINT.NS,EQ
Capri Global Capital Ltd.,Financial Services,CGCL.NS,EQ
Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND.NS,EQ
Ceat Ltd.,Automobile and Auto Components,CEATLTD.NS,EQ
Cello World Ltd.,Consumer Durables,CELLO.NS,EQ
Central Bank of India,Financial Services,CENTRALBK.NS,EQ
Central Depository Services (India) Ltd.,Financial Services,CDSL.NS,EQ
Century Plyboards (India) Ltd.,Consumer Durables,CENTURYPLY.NS,EQ
Cera Sanitaryware Ltd,Consumer Durables,CERA.NS,EQ
Chalet Hotels Ltd.,Consumer Services,CHALET.NS,EQ
Chambal Fertilizers & Chemicals Ltd.,Chemicals,CHAMBLFERT.NS,EQ
Chemplast Sanmar Ltd.,Chemicals,CHEMPLASTS.NS,EQ
Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,CHENNPETRO.NS,EQ
Cholamandalam Financial Holdings Ltd.,Financial Services,CHOLAHLDNG.NS,EQ
City Union Bank Ltd.,Financial Services,CUB.NS,EQ
Clean Science and Technology Ltd.,Chemicals,CLEAN.NS,EQ
Computer Age Management Services Ltd.,Financial Services,CAMS.NS,EQ
Concord Biotech Ltd.,Healthcare,CONCORDBIO.NS,EQ
Craftsman Automation Ltd.,Automobile and Auto Components,CRAFTSMAN.NS,EQ
CreditAccess Grameen Ltd.,Financial Services,CREDITACC.NS,EQ
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON.NS,EQ
Cyient Ltd.,Information Technology,CYIENT.NS,EQ
DOMS Industries Ltd.,Fast Moving Consumer Goods,DOMS.NS,EQ
Data Patterns (India) Ltd.,Capital Goods,DATAPATTNS.NS,EQ
Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,DEEPAKFERT.NS,EQ
Devyani International Ltd.,Consumer Services,DEVYANI.NS,EQ
Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB.NS,EQ
E.I.D. Parry (India) Ltd.,Chemicals,EIDPARRY.NS,EQ
EIH Ltd.,Consumer Services,EIHOTEL.NS,EQ
Easy Trip Planners Ltd.,Consumer Services,EASEMYTRIP.NS,EQ
Elecon Engineering Co. Ltd.,Capital Goods,ELECON.NS,EQ
Elgi Equipments Ltd.,Capital Goods,ELGIEQUIP.NS,EQ
Emcure Pharmaceuticals Ltd.,Healthcare,EMCURE.NS,EQ
Engineers India Ltd.,Construction,ENGINERSIN.NS,EQ
