Scrip Code	Company	LTP	Change Val	Pts Contribution
500510	LT	1619.10	+10.05	+6.37
517354	HAVELLS	1077.90	+38.05	+5.00
533758	APLAPOLLO	1570.25	+52.10	+2.11
523367	DCMSHRIRAM	1012.45	+67.45	+1.76
541450	ADANIGREEN	1003.85	+8.90	+1.46
503806	SRF	7758.50	+80.85	+1.20
500570	TATAMOTORS	311.25	+1.05	+1.04
539978	QUESS	772.40	+29.35	+1.00
500103	BHEL	66.30	+1.35	+0.91
539150	PNCINFRA	316.85	+14.15	+0.84
532756	MAHINDCIE	250.45	+13.30	+0.74
500252	LAXMIMACH	7722.05	+188.20	+0.66
540212	TCIEXP	1582.85	+95.30	+0.63
522287	KALPATPOWR	471.25	+17.55	+0.62
523395	3MINDIA	24664.95	+356.90	+0.53
500294	NCC	94.25	+1.90	+0.49
542905	SHIL	391.95	+18.65	+0.35
542652	POLYCAB	1936.55	+37.45	+0.35
532683	AIAENG	2045.25	+19.25	+0.30
532754	GMRINFRA	31.10	+0.25	+0.28
542460	ANUP	970.20	+84.40	+0.24
533655	TRITURBINE	135.50	+4.20	+0.23
522113	TIMKEN	1527.25	+16.50	+0.21
500411	THERMAX	1427.20	+9.10	+0.19
508814	COSMOFILMS	1107.50	+31.55	+0.16
532714	KEC	417.90	+2.50	+0.16
522263	JMCPROJECT	124.80	+5.10	+0.14
532947	IRB	185.00	+1.85	+0.14
533169	MANINFRA	60.60	+3.00	+0.13
531431	SHAKTIPUMP	849.90	+29.50	+0.13
538566	APOLLOTRI	1462.05	+22.65	+0.13
533033	ISGEC	804.90	+9.15	+0.13
540047	DBL	569.10	+5.60	+0.13
517271	HBLPOWER	54.05	+3.70	+0.12
513269	MANINDS	117.85	+7.55	+0.12
500378	JINDALSAW	129.15	+1.95	+0.12
532345	GATI	163.05	+3.90	+0.11
532749	ALLCARGO	159.95	+3.00	+0.11
532259	APARINDS	565.20	+12.45	+0.10
533262	RAMKY	190.40	+9.05	+0.09
532767	GAYAPROJ	39.65	+1.75	+0.09
539597	JSLHISAR	230.75	+1.80	+0.09
532553	WELENT	112.55	+1.95	+0.07
500144	FINCABLES	538.95	+1.80	+0.07
540544	PSPPROJECT	472.20	+11.65	+0.06
531082	ALANKIT	21.70	+2.85	+0.05
532762	ACE	231.90	+3.25	+0.05
517146	USHAMART	56.00	+0.70	+0.05
523319	BALMLAWRIE	139.95	+1.65	+0.05
500227	JINDALPOLY	1001.25	+9.75	+0.05
532622	GDL	283.90	+1.20	+0.05
539332	NAVKARCORP	51.90	+1.80	+0.04
532309	GEPIL	336.85	+4.15	+0.04
542760	SWSOLAR	281.55	+1.90	+0.04
541019	HGINFRA	495.10	+4.05	+0.03
541556	RITES	284.30	+0.85	+0.03
532439	OLECTRA	244.50	+1.75	+0.02
530367	NRBBEARING	142.45	+0.75	+0.02
500336	SURYAROSNI	537.25	+2.05	+0.02
500249	KSB	1077.40	+3.50	+0.02
523385	NILKAMAL	2517.90	+8.00	+0.02
517569	KEI	711.65	+0.80	+0.02
523694	APCOTEXIND	320.05	+1.40	+0.01
533271	ASHOKA	107.95	+0.20	+0.01
500133	ESABINDIA	1939.65	+3.70	+0.01
570004	JISLDVREQS	22.20	+0.10	+0.00
522064	HONDAPOWER	1231.40	+2.60	+0.00
530343	GENUSPOWER	71.15	+0.10	+0.00
500128	ELECTCAST	37.40	+0.05	+0.00
541195	MIDHANI	199.15	+0.15	+0.00
542011	GRSE	201.05	+0.05	+0.00
533080	MOLDTKPAC	519.95	-0.35	0.00
538635	SNOWMAN	52.95	-0.10	0.00
532864	NELCAST	87.85	-0.25	0.00
532679	SORILINFRA	141.60	-0.50	0.00
520111	RATNAMANI	2065.25	-0.50	-0.01
540768	MAHLOG	582.05	-0.75	-0.01
500219	JISLJALEQS	33.85	-0.05	-0.01
522215	HLEGLAS	3462.60	-5.40	-0.01
520113	VESUVIUS	1175.20	-2.20	-0.01
504966	TINPLATE	248.95	-0.75	-0.01
532966	TWL	73.70	-0.25	-0.01
533339	ZENTEC	95.50	-0.50	-0.01
543240	LIKHITHA	421.75	-2.35	-0.01
523838	SIMPLEXINF	50.65	-0.30	-0.01
523618	DREDGECORP	394.65	-3.00	-0.01
540798	FSC	91.10	-0.90	-0.01
507410	WALCHANNAG	70.60	-0.85	-0.01
540879	APOLLO	121.55	-1.60	-0.01
539126	MEP	26.50	-0.35	-0.01
532856	TIMETECHNO	83.70	-0.35	-0.02
531761	APOLLOPIPES	989.75	-4.70	-0.02
532710	SADBHAV	79.20	-0.40	-0.02
531266	VSTTILLERS	1987.75	-10.40	-0.02
509820	HUHTAMAKI	314.10	-1.70	-0.02
542597	MSTC	313.05	-1.70	-0.02
523445	RIIL	771.85	-4.40	-0.02
505192	SMLISUZU	606.00	-7.40	-0.02
504212	UNIVCABLES	194.85	-3.20	-0.02
523754	MAHEPC	167.85	-2.80	-0.02
532930	BGRENERGY	67.60	-2.20	-0.02
500285	SPICEJET	78.70	-0.25	-0.03
532527	RKFORGE	745.80	-3.75	-0.03
534139	SCHNEIDER	129.20	-1.00	-0.03
542649	RVNL	31.50	-0.25	-0.03
541956	IRCON	46.25	-0.50	-0.03
540425	SHANKARA	527.30	-5.80	-0.03
533326	TEXRAIL	38.45	-0.45	-0.03
531120	PATELENG	18.90	-0.40	-0.03
570001	TATAMTRDVR	144.65	-0.15	-0.04
532178	ENGINERSIN	77.50	-0.30	-0.04
532349	TCI	400.45	-2.60	-0.04
503960	BBL	1373.10	-18.10	-0.04
513605	SRIPIPES	222.15	-3.20	-0.04
540642	SALASAR	340.20	-11.30	-0.04
532953	VGUARD	258.90	-0.60	-0.05
526612	BLUEDART	5797.70	-14.05	-0.05
532848	DELTACORP	182.95	-0.65	-0.05
542907	PRINCEPIPE	711.60	-3.10	-0.05
505355	NESCO	634.65	-4.10	-0.05
534076	ORIENTREF	326.20	-2.15	-0.05
541143	BDL	374.35	-4.05	-0.05
513377	MMTC	52.05	-0.60	-0.05
543237	MAZDOCK	260.45	-3.20	-0.05
530073	SANGHVIMOV	204.40	-3.90	-0.05
539302	POWERMECH	817.85	-16.45	-0.05
509496	ITDCEM	92.00	-1.25	-0.06
500210	INGERRAND	966.00	-13.55	-0.06
512237	JAICORPLTD	162.50	-2.30	-0.06
502937	KESORAMIND	91.55	-1.45	-0.06
500265	MAHSEAMLES	318.50	-5.10	-0.06
500187	HSIL	247.70	-4.65	-0.06
532144	WELCORP	152.85	-0.90	-0.07
540678	COCHINSHIP	384.65	-3.85	-0.07
505890	KENNAMET	1247.30	-25.30	-0.07
539083	INOXWIND	106.00	-2.50	-0.07
505790	SCHAEFFLER	5402.80	-19.60	-0.08
532757	VOLTAMP	1565.45	-29.50	-0.08
540710	CAPACITE	234.75	-5.85	-0.08
533520	YAARII	105.20	-3.00	-0.08
522205	PRAJIND	363.50	-1.75	-0.10
543187	POWERINDIA	1916.05	-18.25	-0.10
505255	GMM	4636.85	-51.65	-0.10
534309	NBCC	52.95	-0.30	-0.11
500148	UFLEX	529.80	-5.05	-0.11
539118	VRLLOG	311.15	-8.90	-0.13
509488	GRAPHITE	667.00	-3.90	-0.14
501455	GREAVESCOT	169.50	-2.60	-0.14
532940	JKIL	218.65	-6.20	-0.14
500049	BEL	179.65	-0.25	-0.16
523598	SCI	111.95	-1.75	-0.16
532493	ASTRAMICRO	178.40	-3.85	-0.16
509930	SUPREMEIND	2129.45	-5.05	-0.17
500048	BEML	1306.90	-17.00	-0.17
500940	FINOLEXIND	177.25	-1.20	-0.18
500214	IONEXCHANG	2658.15	-39.05	-0.21
500185	HCC	13.07	-0.48	-0.21
500495	ESCORTS	1194.35	-5.65	-0.23
500620	GESHIP	380.80	-4.30	-0.24
500472	SKFINDIA	2569.75	-20.45	-0.25
532532	JPASSOCIAT	12.33	-0.37	-0.29
513375	CARBORUNIV	649.95	-5.20	-0.30
532942	KNRCON	255.75	-4.65	-0.31
509631	HEG	2220.15	-41.05	-0.33
506076	GRINDWELL	1304.55	-15.50	-0.38
533248	GPPL	106.60	-2.80	-0.40
500493	BHARATFORG	807.40	-3.20	-0.42
500002	ABB	1762.80	-16.30	-0.45
517174	HONAUT	43651.30	-407.00	-0.47
500477	ASHOKLEY	127.85	-0.75	-0.56
532805	REDINGTON	326.05	+3.50	+-0.59
532667	SUZLON	7.96	-0.29	-0.62
500135	EPL	247.00	-9.35	-0.62
532830	ASTRAL	2088.45	-14.95	-0.69
539448	INDIGO	1808.90	-15.10	-0.76
541154	HAL	1075.80	-21.10	-0.93
500550	SIEMENS	2011.90	-21.00	-0.98
500480	CUMMINSIND	857.20	-16.60	-1.18
531344	CONCOR	661.30	-8.40	-1.21
512599	ADANIENT	1394.65	-13.70	-1.98
532921	ADANIPORTS	688.00	-11.10	-4.28
