Scrip Code	Company	Security Group	Open	High	Low	LTP	No. of Shares Traded	Total Turnover(₹ Lac.)	No. of Trades
500510	LT	A	1,610.00	1,622.20	1,596.00	1,619.10	1,92,874	3,112.38	7,319
532921	ADANIPORTS	A	700.00	702.90	685.60	688.00	2,47,425	1,713.26	6,268
500400	TATAPOWER	A	125.50	125.50	123.65	124.15	8,96,378	1,113.46	6,145
532754	GMRINFRA	A	31.00	31.45	30.80	31.10	31,68,872	988.66	1,301
532155	GAIL	A	144.60	145.10	142.95	144.85	5,64,993	813.87	6,741
500312	ONGC	A	117.50	117.50	115.75	116.70	6,12,955	715.05	3,994
532947	IRB	A	185.35	189.50	183.00	185.00	3,82,764	710.94	4,393
532898	POWERGRID	A	231.40	236.30	230.85	233.80	2,48,284	578.74	2,599
539957	MGL	A	1,160.00	1,164.55	1,147.30	1,152.20	48,423	558.16	2,076
539150	PNCINFRA	A	303.00	320.00	298.85	316.85	1,61,659	505.55	4,361
532555	NTPC	A	120.30	120.65	118.40	119.10	3,59,973	429.51	3,825
539254	ADANITRANS	T	985.00	1,029.00	953.05	1,010.15	32,762	324.60	2,979
532702	GSPL	A	324.50	339.95	316.85	337.05	97,426	321.68	3,003
532514	IGL	A	562.90	562.90	551.05	552.50	56,371	312.73	3,055
532810	PFC	A	126.25	128.00	124.75	127.55	2,42,566	307.62	1,730
500294	NCC	A	92.55	95.50	90.95	94.25	3,17,027	296.42	1,801
533344	PFS	A	21.45	23.05	21.35	22.35	12,13,332	271.94	3,011
533106	OIL	A	161.45	161.75	155.00	156.40	1,63,709	259.92	2,776
534309	NBCC	A	53.25	53.75	52.80	52.95	4,54,165	241.73	1,937
532942	KNRCON	A	261.60	264.90	252.55	255.75	86,510	222.20	2,437
539448	INDIGO	A	1,824.00	1,824.00	1,802.90	1,808.90	12,116	219.39	824
532955	RECLTD	A	152.50	152.60	150.30	151.65	1,08,965	165.42	1,270
500285	SPICEJET	A	78.95	79.40	78.35	78.70	2,02,872	159.76	1,640
500620	GESHIP	A	385.00	387.40	379.00	380.80	41,567	159.02	1,724
540047	DBL	A	561.05	573.95	561.05	569.10	25,484	145.19	1,578
533248	GPPL	A	109.00	110.20	105.20	106.60	1,13,178	121.91	2,232
532779	TORNTPOWER	A	484.35	484.35	474.95	480.75	24,521	117.37	900
540678	COCHINSHIP	A	390.00	392.50	382.65	384.65	26,998	104.61	1,626
533098	NHPC	A	26.00	26.15	25.70	25.95	3,74,080	97.34	684
532710	SADBHAV	A	80.75	81.40	79.05	79.20	62,928	50.43	712
