Scrip Code	Company	Security Group	Open	High	Low	LTP	No. of Shares Traded	Total Turnover(₹ Lac.)	No. of Trades
532540	TCS	A	3,217.50	3,219.00	3,190.00	3,194.65	71,188	2,278.99	6,228
539523	ALKEM	A	3,337.25	3,603.30	3,337.25	3,349.75	42,874	1,490.05	6,521
500696	HINDUNILVR	A	2,419.45	2,429.00	2,406.00	2,414.60	52,143	1,259.89	4,579
532488	DIVISLAB	A	4,613.50	4,777.35	4,613.00	4,762.30	26,311	1,246.31	3,296
500820	ASIANPAINT	A	2,999.95	3,009.50	2,965.00	2,992.65	33,609	1,002.99	2,911
500124	DRREDDY	A	5,390.00	5,450.30	5,385.60	5,409.15	17,289	935.61	2,653
500825	BRITANNIA	A	3,455.00	3,472.75	3,438.25	3,443.25	22,117	762.95	4,728
532424	GODREJCP	A	950.00	959.45	944.30	951.25	66,488	631.64	1,972
532898	POWERGRID	A	231.40	236.30	230.85	233.80	2,48,284	578.74	2,599
500290	MRF	A	82,107.00	82,600.00	81,374.70	82,384.25	610	500.01	506
530965	IOC	A	106.50	107.35	105.45	106.15	4,07,767	433.53	2,890
532555	NTPC	A	120.30	120.65	118.40	119.10	3,59,973	429.51	3,825
532478	UBL	A	1,397.00	1,456.75	1,394.55	1,447.85	29,370	420.67	2,121
531500	RAJESHEXPO	A	579.00	581.60	574.00	575.90	71,975	415.65	2,452
509480	BERGEPAINT	A	842.30	853.10	841.70	843.75	39,499	335.06	1,759
500086	EXIDEIND	A	183.10	184.65	182.35	184.05	1,77,964	326.04	4,105
500331	PIDILITIND	A	2,248.55	2,269.00	2,240.40	2,245.10	10,771	242.54	1,341
507815	GILLETTE	A	5,872.90	6,172.45	5,852.70	6,020.95	3,427	207.42	1,238
531642	MARICO	A	536.05	539.00	522.35	525.50	37,094	196.27	1,692
500550	SIEMENS	A	2,037.95	2,044.75	2,008.30	2,011.90	9,378	189.97	990
500096	DABUR	A	584.25	588.65	578.75	580.35	29,229	170.35	1,351
500092	CRISIL	A	2,689.60	2,775.25	2,689.60	2,750.70	5,445	148.85	1,361
500830	COLPAL	A	1,753.50	1,762.00	1,742.85	1,746.50	7,809	136.79	692
500488	ABBOTINDIA	A	17,339.30	17,600.00	17,260.80	17,480.95	690	120.18	307
500002	ABB	A	1,779.10	1,784.20	1,754.35	1,762.80	6,664	117.99	991
532779	TORNTPOWER	A	484.35	484.35	474.95	480.75	24,521	117.37	900
500790	NESTLEIND	A	17,698.00	17,714.70	17,549.65	17,650.10	623	110.02	216
500660	GLAXO	A	1,548.30	1,580.60	1,539.20	1,575.75	3,611	56.41	755
500164	GODREJIND	A	565.00	565.00	552.40	555.85	8,997	50.22	813
523395	3MINDIA	A	24,408.85	24,872.05	24,248.20	24,664.95	168	41.30	137
