Scrip Code	Symbol	Open	High	Low	Last Traded Price	Change	%Change	Traded Volume(lacs)	Traded Value(crs)	52 Week High	52 Week Low	365 Days % Change	30 Days % Change
532733	SUNTV	534.3	538.8	531.55	533.65	2.25	0.42	12.25	65.53	571	372	40.75	2.35
533151	DBCORP	112.85	114.7	110.6	111.8	0.4	0.36	3.17	3.58	125	70.5	39.84	-3.58
532515	TVTODAY	301.4	302.8	296.1	300.7	0.8	0.27	0.8	2.39	379	182.3	50.73	-6.13
532689	PVR	1,368.35	1,377.90	1,363.00	1,368.50	0.15	0.01	1.71	23.41	1,591.90	988.35	30.86	-5.93
532706	INOXLEISUR	315.5	316.5	310	312	-1.05	-0.34	1.38	4.33	359	220	39.16	-1.05
505537	ZEEL	210.5	212.3	206.6	208.9	-0.95	-0.45	64.19	134.41	261	134.65	30.36	-9.33
532839	DISHTV	14.65	14.7	14.3	14.45	-0.1	-0.69	40.67	5.86	17.7	6.8	88.89	-7.07
532705	JAGRAN	67.1	67.8	66.25	66.5	-0.55	-0.82	4.37	2.92	71.5	35.5	68.35	6.31
532798	NETWORK18	52.4	52.6	50.8	51.5	-0.5	-0.96	14.31	7.42	58	31.35	15.86	-6.36
532800	TV18BRDCST	42.75	42.9	41.8	41.95	-0.5	-1.18	87.56	37	48.95	26.25	18.17	-8.51
