Scrip Code	Company	Security Group	Open	High	Low	LTP	No. of Shares Traded	Total Turnover(₹ Lac.)	No. of Trades
540065	RBLBANK	A	215.00	217.15	214.20	214.80	10,51,383	2,267.94	6,365
539437	IDFCFIRSTB	A	53.20	54.60	53.20	54.05	32,01,839	1,712.28	3,826
500469	FEDERALBNK	A	88.40	88.95	87.55	87.90	15,37,379	1,353.95	1,805
511218	SRTRANSFIN	A	1,456.95	1,471.00	1,443.10	1,448.10	89,288	1,297.80	2,382
532488	DIVISLAB	A	4,613.50	4,777.35	4,613.00	4,762.30	26,311	1,246.31	3,296
500400	TATAPOWER	A	125.50	125.50	123.65	124.15	8,96,378	1,113.46	6,145
500049	BEL	A	180.00	180.95	178.65	179.65	5,98,700	1,078.19	1,956
539876	CROMPTON	A	463.35	496.50	451.15	466.55	2,04,167	965.56	6,776
500420	TORNTPHARM	A	2,990.00	3,030.25	2,979.35	2,990.10	26,561	793.32	3,126
532777	NAUKRI	A	5,220.00	5,266.75	5,074.15	5,104.35	14,559	752.98	2,680
532523	BIOCON	A	403.25	413.20	403.05	409.25	1,81,364	742.14	3,786
508869	APOLLOHOSP	A	3,736.30	3,786.00	3,736.30	3,780.05	19,494	735.56	922
531344	CONCOR	A	668.80	672.35	658.15	661.30	82,686	548.29	3,636
500290	MRF	A	82,107.00	82,600.00	81,374.70	82,384.25	610	500.01	506
532720	M&MFIN	A	162.75	163.20	160.15	162.15	2,79,330	452.22	1,747
500800	TATACONSUM	A	772.40	772.60	761.00	763.20	56,811	434.29	1,786
531500	RAJESHEXPO	A	579.00	581.60	574.00	575.90	71,975	415.65	2,452
511243	CHOLAFIN	A	514.20	516.10	508.40	512.35	76,771	393.04	2,877
509480	BERGEPAINT	A	842.30	853.10	841.70	843.75	39,499	335.06	1,759
500575	VOLTAS	A	1,044.00	1,061.35	1,038.25	1,051.30	30,693	322.51	1,521
532827	PAGEIND	A	33,067.00	33,480.00	32,990.40	33,141.75	951	315.92	533
532514	IGL	A	562.90	562.90	551.05	552.50	56,371	312.73	3,055
532343	TVSMOTOR	A	614.20	615.40	607.60	611.80	48,773	298.19	1,464
500850	INDHOTEL	A	150.45	154.85	149.30	152.85	1,90,696	290.61	2,323
500271	MFSL	A	1,062.95	1,089.75	1,058.70	1,066.30	24,240	260.26	1,376
500253	LICHSGFIN	A	470.00	472.45	467.40	468.85	48,207	226.51	1,261
500493	BHARATFORG	A	817.00	817.00	803.10	807.40	25,336	204.74	1,213
500260	RAMCOCEM	A	1,106.10	1,128.35	1,106.10	1,125.35	17,403	195.14	1,352
500480	CUMMINSIND	A	876.75	876.75	855.15	857.20	20,063	173.01	835
500830	COLPAL	A	1,753.50	1,762.00	1,742.85	1,746.50	7,809	136.79	692
