Scrip Code	Company	Security Group	Open	High	Low	LTP	No. of Shares Traded	Total Turnover(₹ Lac.)	No. of Trades
541729	HDFCAMC	A	3,121.00	3,289.25	3,062.10	3,089.30	2,13,319	6,809.72	25,290
532454	BHARTIARTL	A	526.15	543.25	525.65	541.00	11,64,767	6,263.71	25,423
500247	KOTAKBANK	A	1,757.80	1,761.90	1,740.90	1,750.30	1,81,986	3,197.04	5,746
540767	NAM-INDIA	A	399.00	439.00	397.75	418.40	6,70,145	2,845.52	12,299
512599	ADANIENT	A	1,406.00	1,414.90	1,388.25	1,394.65	1,81,214	2,535.86	7,318
541179	ISEC	A	734.00	802.05	726.60	765.00	3,17,117	2,443.27	11,747
500387	SHREECEM	A	28,401.00	28,481.00	27,990.05	28,091.05	5,816	1,638.90	1,211
500034	BAJFINANCE	A	6,164.65	6,190.95	6,099.00	6,126.80	25,293	1,553.44	3,296
533150	GODREJPROP	A	1,568.95	1,588.20	1,537.75	1,577.70	97,616	1,528.67	7,244
539523	ALKEM	A	3,337.25	3,603.30	3,337.25	3,349.75	42,874	1,490.05	6,521
532488	DIVISLAB	A	4,613.50	4,777.35	4,613.00	4,762.30	26,311	1,246.31	3,296
532174	ICICIBANK	A	665.60	667.45	657.80	660.25	1,86,710	1,234.81	6,291
540716	ICICIGI	A	1,548.00	1,556.40	1,519.85	1,521.60	76,777	1,171.47	1,468
540777	HDFCLIFE	A	694.10	702.00	692.00	697.95	1,67,082	1,166.13	6,682
532978	BAJAJFINSV	A	12,970.00	13,024.25	12,731.15	12,751.65	7,954	1,023.06	1,742
508869	APOLLOHOSP	A	3,736.30	3,786.00	3,736.30	3,780.05	19,494	735.56	922
540611	AUBANK	A	1,267.40	1,267.40	1,222.25	1,227.50	53,191	655.72	3,307
500800	TATACONSUM	A	772.40	772.60	761.00	763.20	56,811	434.29	1,786
540376	DMART	A	3,342.00	3,363.60	3,328.00	3,349.40	11,923	398.70	1,732
509480	BERGEPAINT	A	842.30	853.10	841.70	843.75	39,499	335.06	1,759
533398	MUTHOOTFIN	A	1,572.20	1,581.15	1,564.65	1,569.20	21,299	335.02	1,259
532514	IGL	A	562.90	562.90	551.05	552.50	56,371	312.73	3,055
500271	MFSL	A	1,062.95	1,089.75	1,058.70	1,066.30	24,240	260.26	1,376
500331	PIDILITIND	A	2,248.55	2,269.00	2,240.40	2,245.10	10,771	242.54	1,341
500550	SIEMENS	A	2,037.95	2,044.75	2,008.30	2,011.90	9,378	189.97	990
540133	ICICIPRULI	A	625.00	630.15	616.70	627.30	23,473	146.80	1,034
540719	SBILIFE	A	1,053.00	1,057.25	1,047.45	1,050.35	12,514	131.59	997
532779	TORNTPOWER	A	484.35	484.35	474.95	480.75	24,521	117.37	900
500238	WHIRLPOOL	A	2,199.00	2,210.80	2,186.60	2,196.50	5,177	113.76	1,201
500790	NESTLEIND	A	17,698.00	17,714.70	17,549.65	17,650.10	623	110.02	216
