Scrip Code	Company	Security Group	Open	High	Low	LTP	No. of Shares Traded	Total Turnover(₹ Lac.)	No. of Trades
500247	KOTAKBANK	A	1,757.80	1,761.90	1,740.90	1,750.30	1,81,986	3,197.04	5,746
540065	RBLBANK	A	215.00	217.15	214.20	214.80	10,51,383	2,267.94	6,365
539437	IDFCFIRSTB	A	53.20	54.60	53.20	54.05	32,01,839	1,712.28	3,826
500180	HDFCBANK	A	1,522.00	1,530.00	1,519.35	1,521.70	91,268	1,390.98	4,591
500469	FEDERALBNK	A	88.40	88.95	87.55	87.90	15,37,379	1,353.95	1,805
532174	ICICIBANK	A	665.60	667.45	657.80	660.25	1,86,710	1,234.81	6,291
541153	BANDHANBNK	A	316.00	316.05	307.25	309.30	3,77,156	1,173.29	7,223
532215	AXISBANK	A	775.00	776.05	766.80	771.10	1,03,424	796.59	4,063
540611	AUBANK	A	1,267.40	1,267.40	1,222.25	1,227.50	53,191	655.72	3,307
532187	INDUSINDBK	A	1,055.00	1,057.60	1,042.00	1,044.55	45,631	477.82	1,850
532772	DCBBANK	A	109.00	110.90	107.30	108.35	1,98,883	218.07	2,985
532210	CUB	A	162.00	162.35	161.10	161.75	68,160	110.30	1,233
