,Company Name,Market_Cap,weights
0,Bombay Burmah      ,8908.13,0.542497559466499
1,Kaveri Seed      ,4246.27,0.2585942405236353
2,Nath Bio-Genes      ,692.98,0.0422018940854135
3,Goodricke Group      ,616.14,0.03752240327539997
4,JK Agri Genetic      ,455.67,0.02774991641591441
5,Harrisons Malay      ,426.23,0.025957045392400638
6,Dhunseri Tea      ,374.76,0.022822566058832233
7,ShreeGanesh Bio      ,239.87,0.014607879497630719
8,Neelamalai Agro      ,164.54,0.01002034640655421
9,Mangalam Seeds      ,97.34,0.005927923418098863
10,Joonktollee Tea      ,53.0,0.0032276550355377
11,Indo US Bio-Tec      ,41.26,0.0025126989955902923
12,Diana Tea      ,35.0,0.00213147030648716
13,Transchem      ,33.11,0.0020163709099368537
14,Agri-Tech      ,26.73,0.0016278343226400513
15,Kanel Ind      ,9.56,0.0005821958894290643
