,Company Name,Market_Cap,weights
0,NALCO      ,15400.16,0.9494233854113362
1,Maan Aluminium      ,267.79,0.01650931473304834
2,PG Foils      ,146.95,0.009059501101689583
3,Manaksia Alumin      ,118.94,0.00733267819690343
4,Arfin India      ,108.15,0.006667472229654498
5,Century Extr      ,75.52,0.0046558252684559195
6,Sacheta Metals      ,37.78,0.0023291456388011738
7,Nirav Comm      ,28.83,0.0017773760922879258
8,Hind Aluminium      ,24.57,0.001514746118193352
9,Golkonda Alum      ,5.54,0.0003415422667802674
10,Synthiko Foils      ,4.7,0.00028975607470528103
11,Galada Telecom      ,1.61,9.925686814372393e-05
