,Company Name,Market_Cap,weights
0,Schaeffler Ind      ,20031.57,0.4258966089975991
1,SKF India      ,13414.0,0.2851986695547975
2,Timken      ,11281.68,0.23986283929796987
3,NRB Bearings      ,1375.82,0.02925167985290603
4,Menon Bearings      ,479.14,0.010187124685439516
5,Bimetal Bearing      ,165.09,0.003510022987684622
6,SNL Bearings      ,98.41,0.002092321535029642
7,Galaxy Bearings      ,82.82,0.001760858342964688
8,NRB Industrial      ,44.22,0.0009401733388782723
9,Vishal Bearing      ,38.58,0.0008202597786956975
10,Austin Eng      ,22.55,0.0004794416280349399
