,Company Name,Market_Cap,weights
0,Sona BLW      ,25238.95,0.6043194837690128
1,Mahindra CIE      ,9299.54,0.2226674727787521
2,RamkrishnaForge      ,2510.26,0.0601054729822755
3,MM Forgings      ,1793.66,0.0429472575228814
4,PTC Industries      ,1140.12,0.027298945868775317
5,Steelcast      ,453.68,0.010862879137061
6,Rama Steel Tube      ,242.84,0.005814542341835419
7,Synergy Green I      ,196.41,0.004702825981551206
8,LGB Forge      ,169.84,0.004066635938631723
9,Uni Abex      ,149.8,0.0035867997150673112
10,Invest and Prec      ,143.0,0.00342398103641272
11,Magna Electro      ,80.41,0.0019253308750905372
12,Rajkumar Forge      ,70.61,0.001690680426441274
13,Creative Cast.      ,44.86,0.0010741244006536687
14,Bhagwati Auto      ,44.39,0.0010628707566878368
15,Porwal Auto      ,43.94,0.0010520959911886358
16,Universal Auto      ,42.17,0.0010097152468917792
17,Simplex Casting      ,37.77,0.0009043619842329263
18,Metalyst Forgin      ,33.93,0.0008124173186397454
19,Hilton Metal      ,15.08,0.00036107436383988684
20,Sibar Auto      ,12.99,0.0003110315640769317
