,Company Name,Market_Cap,weights
0,JTEKT India     ,2684.4,0.3219500260256131
1,LG Balakrishnan      ,1511.39,0.18126659582582752
2,Shanthi Gears      ,1181.42,0.14169207262225444
3,RACL Geartech      ,629.65,0.07551625461444914
4,The Hi-Tech Gea      ,628.73,0.07540591560985088
5,Rane Madras      ,605.92,0.07267022789801798
6,ZF Steering Gea      ,485.47,0.0582242136546917
7,Shivam Auto      ,253.0,0.03034322626452098
8,JMT Auto      ,151.65,0.018187945703615045
9,Bharat Gears      ,112.05,0.013438571157863935
10,Him Teknoforge     ,91.8,0.011009913719695754
11,Gajra Bevel Gea      ,2.46,0.0002950369035996901
