,Company Name,Market_Cap,weights
0,Endurance Techn      ,23025.1,0.4595319280997812
1,WABCO India      ,13618.82,0.27180262465934407
2,Suprajit Eng      ,4329.67,0.08641098640769335
3,Minda Corp      ,3202.47,0.063914476540024
4,Alicon Castallo      ,1282.62,0.025598361858117508
5,Lumax Auto Tech      ,1158.0,0.023111212230980397
6,Banco Products      ,1137.86,0.02270926075055557
7,Munjal Auto Ind      ,647.0,0.01291274120331979
8,Munjal Showa      ,591.33,0.011801686639504006
9,PPAP Automotive      ,389.83,0.007780176048361906
10,Commercial Eng      ,294.4,0.0058755966155445835
11,Jay Ushin      ,230.13,0.004592904378856234
12,Remsons Ind      ,135.98,0.0027138710182804094
13,Hind Hardy      ,41.44,0.0008270540888185039
14,GS Auto      ,20.9,0.00041711946081821267
