,Company Name,Market_Cap,weights
0,Firstsource Sol      ,15546.96,0.4486301695980498
1,eClerx Services      ,7592.15,0.21908254360426951
2,Hinduja Global      ,6084.7,0.17558287877200776
3,Vakrangee      ,3962.18,0.11433447345191607
4,ALLSEC Tech      ,679.63,0.019611713297256996
5,Mold Tek Tech      ,263.03,0.007590113662695153
6,IRIS Business S      ,192.57,0.005556887761948089
7,Intrasoft Tech      ,165.88,0.004786708947146227
8,HOV Services      ,102.85,0.002967886515637747
9,Excel Realty      ,33.86,0.0009770796054399038
10,Jupiter Infomed      ,23.75,0.0006853408337034175
11,United Interact      ,6.73,0.00019420394992943158
