,Company Name,Market_Cap,weights
0,United Spirits      ,48648.46,0.4687113921091939
1,United Brewerie      ,37768.95,0.3638910077112932
2,Radico Khaitan      ,11413.73,0.10996741268805774
3,Globus Spirits      ,2029.2,0.019550652926484748
4,GM Breweries      ,1092.81,0.010528853254776167
5,Assoc Alcohol      ,842.85,0.008120573535919412
6,Tilaknagar Ind      ,564.32,0.00543703156883199
7,Som Distillerie      ,363.93,0.0035063419670488837
8,Jagatjit Ind      ,350.26,0.003374636159092523
9,Khoday India      ,230.91,0.002224739437834907
10,Piccadilly Agro      ,187.26,0.0018041865104541366
11,Pioneer Distill      ,177.13,0.0017065874003884503
12,Ravi Kumar Dist      ,45.5,0.000438377049159795
13,Piccadilly Sug      ,38.23,0.0003683330678984387
14,Winsome Brew      ,27.53,0.0002652422013927287
15,Silver Oak      ,10.86,0.00010463241217308513
