,Company Name,Market_Cap,weights
0,Polycab      ,28325.39,0.4909411554680472
1,Sterlite Techno      ,11956.01,0.20722388514994947
2,Finolex Cables      ,7925.32,0.13736318399337216
3,KEI Industries      ,6467.35,0.1120933650628032
4,Universal Cable      ,655.57,0.011362466440539308
5,Precision Wires      ,511.69,0.008868710363438776
6,Paramount Comm      ,351.47,0.006091746235880761
7,Birla Cable      ,329.7,0.005714424371837957
8,Salzer Electro      ,282.1,0.004889411935988741
9,Ultracab India      ,196.89,0.0034125356826544594
10,Aksh Optifibre      ,186.94,0.003240080352051525
11,Dynamic Cables      ,111.94,0.001940165799768095
12,Surana Telecom      ,90.42,0.001567176984232903
13,CMI      ,90.23,0.0015638838673671183
14,Cords Cable Ind      ,83.25,0.001442905153034607
15,Tamil Telecom      ,62.9,0.0010901950045150363
16,Delton Cables      ,43.85,0.0007600167082350453
17,Diamond Power      ,25.08,0.0004346914262835789
