,Company Name,Market_Cap,weights
0,Cerebra Int      ,707.73,0.19354071238121287
1,Control Print      ,599.37,0.16390784166267866
2,D-Link India      ,553.34,0.1513201613454571
3,HCL Info      ,508.63,0.13909345730498396
4,TVS Electronics      ,348.76,0.09537430778696933
5,JL Morison      ,283.24,0.0774567580501812
6,Ducon Infratech      ,266.78,0.07295549326587818
7,Compuage Info      ,191.68,0.05241813085390034
8,Accel      ,85.23,0.023307581869146107
9,MRO-TEK      ,61.66,0.01686196759417516
10,PCS      ,20.45,0.0055923976208381776
11,ACI Infocom      ,11.05,0.0030218089833868884
12,VXL Instruments      ,9.53,0.002606139331373488
13,ECS Biztech      ,7.81,0.002135776304095167
14,Intl Data Mgmt      ,1.49,0.0004074656457236618
