,Company Name,Market_Cap,weights
0,G R Infra      ,16739.28,0.26081952896210714
1,PNC Infratech      ,8286.22,0.12910997350402117
2,KNR Construct      ,7558.18,0.11776617318133273
3,Rail Vikas      ,6348.89,0.09892387840051858
4,NCC      ,5384.95,0.08390445243071977
5,Ashoka Buildcon      ,2937.77,0.04577423805558002
6,Hind Constr      ,1841.36,0.028690758972289468
7,Man Infra      ,1608.75,0.02506639576002014
8,J Kumar Infra      ,1602.6,0.024970570843827984
9,ITD Cementation      ,1562.41,0.024344358911834073
10,Ramky Infra      ,1299.88,0.02025380358696813
11,Sadbhav Engg      ,1234.45,0.01923431996640675
12,Rel Ind Infra      ,1128.35,0.017581145396002314
13,Sadbhav Infra      ,1081.33,0.01684851327252996
14,Patel Eng      ,831.46,0.012955217043435179
15,Gayatri Project      ,799.34,0.012454746099029992
16,Man Industries      ,701.8,0.01093494734693528
17,Shriram EPC      ,489.65,0.007629377270485694
18,Soril Infra Res      ,417.38,0.00650331764557402
19,Simplex Infra      ,285.71,0.004451729561830833
20,GPT Infra      ,275.88,0.004298565508795248
21,MBL Infra      ,244.08,0.003803080576289489
22,RPP Infra Proj      ,213.92,0.0033331489547683032
23,Gammon Infra      ,211.91,0.003301830567525015
24,Atlanta      ,127.14,0.0019810048527918946
25,Noida Toll      ,120.84,0.0018828427435218858
26,Tarmat      ,118.38,0.0018445127770450249
27,Coromandel Engg      ,117.98,0.0018382802621707388
28,Shristi Infra      ,115.55,0.0018004177343094495
29,ILandFS Engg      ,82.74,0.0012891957017461173
30,Punj Lloyd      ,80.54,0.0012549168699375428
31,ARSS Infra      ,75.04,0.0011692197904161065
32,Madhucon Proj      ,52.84,0.0008233152148932178
33,Brahma Infra      ,51.51,0.0008025921029362158
34,SPML Infra      ,41.56,0.0006475582954383447
35,Advait Infratec      ,30.09,0.0004688409314181855
36,Tantia Const      ,26.59,0.00041430642626818056
37,Setubandhan Inf      ,21.49,0.00033484186162103044
38,Conart Engineer      ,12.04,0.00018759869771601707
39,C & C Construct      ,9.87,0.000153787304523014
40,Kaushalya Infra      ,9.8,0.0001526966144200139
