,Company Name,Market_Cap,weights
0,DLF      ,82081.34,0.2850468555483355
1,Godrej Prop      ,43259.62,0.15022925616487115
2,Macrotech Dev      ,37793.93,0.13124835565932408
3,Oberoi Realty      ,25152.18,0.08734689052573621
4,Phoenix Mills      ,15139.95,0.05257705515844432
5,Prestige Estate      ,14086.28,0.04891793701678612
6,NBCC (India)      ,9126.0,0.03169219220512372
7,Dilip Buildcon      ,8275.04,0.02873703245508295
8,Indiabulls Real      ,7401.93,0.025704951594222158
9,Brigade Ent      ,7255.87,0.025197723718539452
10,Sobha      ,5870.96,0.02038829637832491
11,Sunteck Realty      ,5562.99,0.01931879775533434
12,Mahindra Life      ,3781.85,0.0131333680792184
13,Ahluwalia      ,2629.26,0.009130726854837123
14,Puravankara      ,2557.66,0.008882078930019365
15,JMC Projects      ,2029.13,0.007046633571025936
16,Kolte-Patil      ,1777.74,0.006173622372423476
17,Ashiana Housing      ,1649.4,0.005727931385396785
18,Welspun Enter      ,1623.36,0.005637501330058036
19,Omaxe      ,1622.33,0.005633924411586495
20,Ajmera Realty      ,1074.48,0.0037313857857288334
21,Parsvnath      ,810.74,0.00281548629283169
22,DB Realty      ,658.02,0.0022851299928572768
23,Eldeco Housing      ,591.75,0.0020549917529456454
24,Ganesh Housing      ,570.88,0.001982515744692201
25,Prozone Intu      ,492.91,0.0017117464891329753
26,Arvind Smart      ,488.51,0.0016964664490603755
27,Vipul      ,476.34,0.0016542032473141168
28,Unitech      ,476.17,0.0016536128821294939
29,Peninsula Land      ,407.63,0.001415591530634953
30,Arihant Super      ,377.85,0.0013121734412344945
31,Marathon Realty      ,368.69,0.0012803631759924462
32,Jaypee Infra      ,270.84,0.0009405559211961107
33,HDIL      ,267.81,0.000930033529964298
34,Emami Realty     ,228.82,0.0007946315385027842
35,Hubtown      ,216.39,0.0007514654252976902
36,Prajay Engineer      ,149.59,0.0005194866351045865
37,Ansal Propertie      ,140.88,0.0004892391012335996
38,AMJ Land     ,138.17,0.00047982798564343015
39,Ritesh Prop      ,114.52,0.0003976977702532071
40,Bhagyanagar Pro      ,93.59,0.0003250133978169547
41,Landmark Prop      ,85.18,0.0002958076848600086
42,Navkar Builders      ,71.08,0.000246842101900087
43,Ansal Buildwell      ,56.93,0.00019770288212115857
44,Croissance      ,56.62,0.00019662633384331634
45,Ansal Housing      ,50.42,0.0001750953682864714
46,Manjeera Const      ,49.91,0.00017332427273260187
47,Garnet Construc      ,46.36,0.00016099605858311807
48,Lancor Holdings      ,43.74,0.00015189748926716103
49,NEL HOLDINGS SO      ,40.1,0.00013925672884346495
50,Alpine Hsg      ,37.42,0.0001299497953446997
51,Nimbus Projects      ,34.41,0.00011949685884048949
52,Radhe Developer      ,30.17,0.00010477245658871166
53,Alchemist Real      ,28.75,9.984117092891814e-05
54,Simplex Realty      ,25.83,8.970078069892018e-05
55,Prime Property      ,22.81,7.921311683090861e-05
56,Prerna Infra      ,22.22,7.71642023666282e-05
57,Tirupati Sarjan      ,22.08,7.667801927340912e-05
58,Satra Prop      ,21.58,7.494165108334098e-05
59,Hazoor      ,21.57,7.490692371953962e-05
60,Arihant Found      ,21.16,7.348310180368374e-05
61,Martin Burn Ltd      ,19.71,6.844763405248614e-05
62,Narendra Prop      ,12.44,4.320084056889536e-05
63,Kamanwala      ,10.5,3.646373199143097e-05
64,Citadel Realty      ,10.34,3.5908094170609166e-05
65,Rap Media      ,7.23,2.5107884028385328e-05
66,Sikozy Realtors      ,5.93,2.0593326734208158e-05
67,Rander Corp      ,5.66,1.9655687911571362e-05
68,Jainco Projects      ,5.0,1.7363681900681415e-05
69,Bronze Infra      ,0.81,2.8129164679103892e-06
