,Company Name,Market_Cap,weights
0,Nestle      ,173894.42,0.35275117419805463
1,Zomato      ,99633.78,0.2021107571179722
2,Britannia      ,82879.17,0.1681234195672304
3,Jubilant Food      ,47372.93,0.09609771654951461
4,Hatsun Agro      ,20262.67,0.04110356522588646
5,Zydus Wellness      ,14171.51,0.0287474249757955
6,Godrej Agrovet      ,12433.53,0.02522186914868653
7,Burger King      ,6878.48,0.013953247589530673
8,Tasty Bite      ,4759.43,0.009654677366953161
9,Hindustan Foods      ,4148.99,0.008416377559647897
10,Dodla Dairy      ,3585.63,0.007273581249701805
11,Barbeque Nat      ,3293.26,0.0066804980397846304
12,Bectors Food      ,2705.23,0.005487657734939415
13,Heritage Foods      ,2146.14,0.0043535232757521075
14,DFM Foods      ,2020.64,0.004098941947829936
15,Prataap Snacks     ,1805.53,0.0036625834661619013
16,Future Consumer      ,1772.44,0.003595459194122502
17,ADF Foods      ,1753.99,0.0035580326961132266
18,Parag Milk Food      ,1325.72,0.0026892713789082186
19,Gulshan Poly      ,1200.84,0.0024359477436020766
20,KSE      ,832.0,0.0016877423492529628
21,Vadilal Ind      ,753.57,0.0015286442333251867
22,IFB Agro      ,549.1,0.001113869379777406
23,Sukhjit Starch      ,374.82,0.0007603360424843697
24,Foods and Inns      ,324.68,0.000658625223504149
25,Amrit Corp      ,239.96,0.00048676761313310216
26,Bambino Agro      ,225.85,0.00045814496343603566
27,Umang Dairies      ,192.97,0.00039144668405690416
28,Milkfood      ,177.38,0.0003598218003731858
29,Sheetal Cool Pr      ,141.85,0.00028774789932876536
30,Flex Foods      ,141.49,0.0002870176261968771
31,Vadilal Enter      ,138.03,0.0002799988899848395
32,Freshtrop Fruit      ,130.82,0.0002653731419822988
33,MSR India      ,97.15,0.00019707231878596796
34,Gayatri Bio      ,95.96,0.00019465836037778163
35,Virat Crane      ,75.47,0.00015309364795447247
36,Anik Industries      ,65.5,0.00013286913927412148
37,Chordia Food      ,60.83,0.00012339587392434822
38,Tasty Dairy Spe      ,55.57,0.00011272577205286916
39,Tirupati Starch      ,41.02,8.3210566305717e-05
40,Lotus Chocolate      ,36.92,7.489356674810024e-05
41,Saboo Sodium      ,33.32,6.759083542921721e-05
42,Modern Dairies      ,32.76,6.645485500183542e-05
43,Prima Agro      ,26.62,5.399964103018494e-05
44,Nakoda Group      ,24.02,4.872544618876943e-05
45,Jetmall Spices      ,10.22,2.0731642799717888e-05
46,Jhandewalas Foo      ,9.27,1.8804533146123757e-05
47,Mahaan Foods      ,8.51,1.7262845423248455e-05
48,Sampre Nutritio      ,7.81,1.5842869889021203e-05
49,Spectrum Foods     ,7.25,1.47068894616394e-05
50,Oceanaa Biotek      ,5.64,1.1440945732916719e-05
51,Kore Foods      ,3.5,7.099877671136262e-06
52,Gold Coin Healt      ,2.05,4.158499778808382e-06
