,Company Name,Market_Cap,weights
0,Titan Company      ,151327.59,0.7689650362549438
1,Rajesh Exports      ,17138.36,0.08708788409800407
2,Vaibhav Global      ,12908.93,0.06559620638551458
3,Kalyan Jeweller      ,7478.19,0.03800012043059271
4,Asian Star      ,1440.61,0.007320401526775352
5,Goldiam Inter      ,1283.48,0.006521951778472751
6,PC Jeweller      ,1205.4,0.006125191412231632
7,Thangamayil      ,1147.23,0.005829602906798154
8,Renaissance      ,1036.58,0.005267339401104251
9,Tribhovandas      ,551.19,0.0028008497216757532
10,Uday Jewellery      ,328.13,0.0016673793413767755
11,Atlas Jewellery      ,300.96,0.0015293160838105455
12,Kanani Ind      ,114.76,0.0005831483046853344
13,Ashapuri Gold      ,112.49,0.0005716133913737649
14,Radhika Jewel      ,103.49,0.0005258802548961768
15,Narbada Gems      ,47.44,0.00024106444383297543
16,Goenka Diamond      ,40.89,0.00020778088339650855
17,Swarnasarita      ,39.04,0.00019838018312055988
18,Darshan Orna      ,38.42,0.00019522967816321493
19,Golkunda Diamon      ,37.78,0.00019197754401369756
20,Palm Jewels      ,35.65,0.00018115403504733504
21,Bhakti Gems      ,19.0,9.654773256379707e-05
22,Zodiac JRD-MKJ      ,17.29,8.785843663305533e-05
23,Lypsa Gems      ,16.69,8.48095608678828e-05
24,Orosil Smiths      ,13.96,7.093717613634775e-05
25,Sovereign Diam      ,5.28,2.6830106733518344e-05
26,Neogem India      ,3.57,1.8140810802776606e-05
27,Mini Diamonds      ,1.45,7.368116432500303e-06
