,Company Name,Market_Cap,weights
0,Grasim      ,103025.38,0.27015996216594457
1,RIL Partly Paid      ,62115.5,0.1628833703881386
2,Piramal Enter      ,53233.94,0.13959355662016643
3,SRF      ,47056.99,0.12339594998866521
4,3M India      ,27110.69,0.07109144353258053
5,Guj State Petro      ,19073.17,0.0500149272498158
6,DCM Shriram      ,14972.8,0.0392626659714165
7,Linde India      ,14419.0,0.03781045500119246
8,Birla Corp      ,11514.61,0.03019437154180462
9,Century      ,7965.02,0.020886401989985297
10,Prism Johnson      ,7240.78,0.01898725198443265
11,Surya Roshni      ,2992.77,0.007847839337951228
12,Balmer Lawrie      ,2345.32,0.006150053146778328
13,S H Kelkar      ,2321.9,0.0060886396745453075
14,Kesoram      ,1490.72,0.003909064531477747
15,Andrew Yule      ,1405.73,0.0036861981350181207
16,EKI Energy      ,849.35,0.002227221718237244
17,Texmaco Infra      ,815.53,0.0021385366784882785
18,Manaksia      ,461.36,0.0012098086912650085
19,Oricon Ent      ,441.3,0.0011572060331525235
20,Kesar Ent      ,141.12,0.0003700541930625065
21,Kaira Can      ,129.09,0.0003385083317916593
22,Gillanders Arbu      ,119.52,0.00031341324514477586
23,Beardsell      ,38.78,0.00010169147964118481
24,Swasti Vinayaka      ,18.8,4.929860281728403e-05
25,HCKK Ventures      ,14.9,3.907176499880489e-05
26,Mitshi India      ,14.12,3.702639743510906e-05
27,Panth Infinity      ,12.2,3.1991646509088566e-05
28,Majestic Resear      ,7.59,1.9902999754424775e-05
29,Jatalia Global      ,1.57,4.116957788464677e-06
