,Company Name,Market_Cap,weights
0,CG Consumer      ,30271.87,0.2922591540397335
1,Whirlpool      ,27784.3,0.2682429600016837
2,TTK Prestige      ,12881.96,0.12436862116458895
3,Bajaj Electric      ,12740.32,0.12300116066154808
4,Symphony      ,7513.38,0.07253777459995213
5,IFB Industries      ,4244.14,0.04097496342400369
6,Hawkins Cooker      ,3141.49,0.03032945139577708
7,Stove Kraft      ,2493.57,0.024074120916179224
8,Butterfly      ,1323.09,0.012773745530699985
9,PG Electroplast      ,811.05,0.007830265751138791
10,Singer India      ,342.44,0.003306080024437418
11,Viaan Ind      ,12.24,0.00011817083138393295
12,Gorani Ind      ,11.9,0.00011488830828993482
13,Jaipan Inds      ,7.11,6.8643350583314e-05
