,Company Name,Market_Cap,weights
0,Sudarshan Chem      ,5244.31,0.3909084132769814
1,Kiri Industries      ,2093.09,0.1560179491193154
2,Vidhi Spec      ,1433.42,0.1068464560179491
3,Bhageria Indu      ,1273.32,0.09491267693821416
4,Dynemic Product      ,585.62,0.04365184075374374
5,Shree Pushkar      ,552.28,0.04116669275550287
6,Asahi Songwon      ,449.64,0.03351595518683333
7,Poddar Pigments      ,427.53,0.03186788613341084
8,AksharChem      ,366.29,0.027303085191231164
9,Generic Pharmas      ,253.33,0.01888309965190038
10,Vipul Organics      ,216.2,0.016115446827224815
11,Indian Toners      ,199.21,0.014849020177851321
12,Ishan Dyes      ,125.67,0.009367382991569577
13,Jaysynth Dyestu      ,62.13,0.004631141125696012
14,Shreyas Interme      ,44.14,0.003290174944281699
15,Dynamic Ind      ,32.95,0.002456077580744948
16,Camex      ,30.68,0.002286872843012291
17,Indo Euro      ,14.62,0.0010897679584367568
18,Pratiksha Chem      ,5.67,0.0004226391466714371
19,Fundviser      ,5.6,0.0004174213794285798
