,Company Name,Market_Cap,weights
0,Havells India      ,72106.27,0.314539920456674
1,Siemens      ,70449.49,0.30731276185570616
2,ABB India      ,35962.97,0.15687664502942328
3,V-Guard Ind      ,10999.92,0.0479835382114451
4,CG Power     ,10679.56,0.04658607292975045
5,Suzlon Energy      ,6537.14,0.028516126206696614
6,GE T&D India      ,3516.8,0.015340884950255103
7,Schneider Infra      ,3029.45,0.013214980639373953
8,Inox Wind      ,2387.84,0.010416167743294229
9,Apar Ind      ,2150.7,0.009381722379013207
10,Igarashi Motors      ,1724.05,0.0075206018819629515
11,Voltamp Trans      ,1556.97,0.006791770257335842
12,Honda India PP      ,1286.24,0.00561079955027756
13,Elpro Int      ,978.74,0.004269431794873942
14,Bharat Bijlee      ,778.28,0.0033949908834976514
15,TD Power System      ,631.89,0.0027564125884942834
16,HPL Electric &     ,523.41,0.002283204217417261
17,Shivalik Bimeta      ,514.02,0.002242243426447375
18,Transformers      ,463.31,0.002021037706523741
19,Permanent Magne      ,294.07,0.0012827837913220877
20,Modison Metals      ,287.67,0.0012548658933234434
21,Indo Tech Trans      ,270.76,0.00118110157220515
22,Hind Rectifiers      ,262.12,0.00114341240990698
23,Veto Switch      ,247.25,0.0010785469187757546
24,Majestic Auto      ,162.93,0.0007107286126436146
25,Kirl Electric      ,134.16,0.0005852289367965834
26,G G Engineering      ,132.48,0.0005779004885719392
27,Marsons      ,118.75,0.0005180078730217224
28,Artemis      ,110.96,0.0004840265565514974
29,Lakshmi Elec      ,107.17,0.0004674939263304252
30,Rishiroop      ,92.65,0.00040415519524600075
31,Shilchar Techno      ,81.61,0.00035599682119833906
32,Rexnord Electro      ,73.43,0.0003203142578188217
33,Mehai Technolog      ,59.01,0.000257411743890626
34,Delta      ,58.6,0.0002556232535500879
35,Ujaas Energy      ,56.08,0.0002446305812131216
36,Waa Solar      ,51.81,0.00022600410864215107
37,RTS Power Corp      ,46.3,0.00020196854333394312
38,Precision Elec      ,42.93,0.00018726802516903194
39,Calcom Vision      ,35.0,0.0001526760046800866
40,Dynavision      ,32.14,0.00014020019401194238
41,Jyoti      ,29.44,0.00012842233079376429
42,Star Delta Tran      ,25.8,0.00011254402630703527
43,Sam Ind      ,23.84,0.00010399417004495042
44,B C Power Contr      ,23.58,0.00010286000543875549
45,Aplab      ,21.2,9.24780371205096e-05
46,Jiya Eco      ,17.47,7.620713719317465e-05
47,Advik Capital     ,15.73,6.861695867479322e-05
48,RMC Switchgears      ,14.62,6.377494824065332e-05
49,IMP Powers      ,12.33,5.378557536301337e-05
50,Tarapur Trans      ,9.75,4.253117273230984e-05
51,Alfa Transforme      ,9.7,4.231306415419543e-05
52,Starlite Compo      ,4.29,1.871371600221633e-05
53,Silver Oak Comm      ,0.94,4.1004412685508975e-06
