,Company Name,Market_Cap,weights
0,Olectra Greente      ,1961.73,0.42215704165339624
1,Centum Electron      ,640.37,0.13780525595448168
2,Hindusthan Urba      ,561.28,0.12078538042402279
3,Swelect Energy      ,386.02,0.083070076523805
4,Apollo Micro Sy      ,244.39,0.05259182426209188
5,Websol Energy      ,216.45,0.04657923958234701
6,BPL      ,193.1,0.04155440592908851
7,Indosolar      ,109.76,0.023619946114845962
8,SPEL Semiconduc      ,93.53,0.020127310132302685
9,Surana Solar      ,71.01,0.015281089409759583
10,Cosmo Ferrites      ,68.51,0.01474309865459272
11,Ruttonsha Intl      ,49.26,0.010600569839807871
12,BCC Fuba      ,28.28,0.0060857514224475565
13,Switching Tech      ,10.62,0.0022853847279488346
14,Fine-line Circ      ,9.83,0.0021153796493161062
15,ContinentContro      ,2.78,0.0005982457197455519
