,Company Name,Market_Cap,weights
0,L&T Technology      ,36735.21,0.6662294079433461
1,ISGEC Heavy Eng      ,5805.15,0.10528214341288142
2,Craftsman      ,4307.85,0.07812712531134962
3,EngineersInd      ,4218.13,0.07649996427209935
4,Kennametal      ,2791.68,0.050629881075057975
5,Pitti Engineeri      ,510.4,0.00925660938958247
6,Alphageo      ,201.51,0.003654583381847107
7,Pritika Auto      ,167.15,0.003031430759147159
8,Mangal Credit      ,118.11,0.0021420418005556143
9,Lokesh Machines      ,78.84,0.0014298414660554113
10,Likhami Consult      ,64.58,0.0011712222460408227
11,Sharika Enter      ,45.68,0.0008284520315754844
12,Artefact      ,35.28,0.0006398377336686316
13,Tarini Int      ,24.05,0.00043617056390959723
14,DRA Consultants      ,16.67,0.0003023269563564651
15,Lippi System      ,10.85,0.0001967754934893609
16,GTV Engineering      ,7.84,0.00014218616303747367
