,Company Name,Market_Cap,weights
0,Bharat 22 ETF      ,16292.92,0.7547571521153735
1,CPSE ETF      ,4471.4,0.20713421105416838
2,MO M50 ETF      ,473.48,0.021933601612454185
3,MO M100 ETF      ,126.8,0.0058739137544546564
4,SBI MF ETF      ,62.32,0.002886926696984339
5,MO NAS100 ETF      ,50.6,0.002344006592865975
6,IPRU NF100 ETF      ,33.21,0.0015384280424719176
7,R ETF Nifty 100      ,31.18,0.0014443898333114842
8,Edelweiss Nifty      ,29.39,0.0013614694419828261
9,Nippon ETF Ha      ,15.67,0.0007259008559330005
