,Company Name,Market_Cap,weights
0,PVR      ,8019.09,0.3255123036911682
1,Saregama India      ,5808.43,0.23577680636193035
2,INOX Leisure      ,3724.0,0.1511652592683098
3,Prime Focus      ,1759.58,0.07142517908252753
4,Tips Industries      ,1570.57,0.06375285210768777
5,Media Matrix      ,867.68,0.03522101830341757
6,Balaji Telefilm      ,695.27,0.02822252143165353
7,Shemaroo Ent      ,377.56,0.015325981549232825
8,UFO Moviez      ,294.85,0.011968602764570662
9,Eros Intl      ,225.28,0.009144605157885292
10,Cineline India      ,133.7,0.005427173782001347
11,GV Films      ,111.58,0.004529274873565523
12,THINKINK PICTUR      ,104.73,0.004251218475609582
13,Jump Networks      ,104.56,0.004244317805879289
14,Baba Arts      ,103.95,0.004219556579200001
15,Cinevista      ,91.9,0.0037304208718468503
16,Pooja Entertain      ,83.08,0.003372397889369274
17,Mukta Arts      ,81.76,0.00331881621852229
18,Galaxy Cloud      ,77.65,0.003151982379748726
19,BAG Films      ,76.2,0.0030931237261668113
20,Imagicaaworld      ,73.97,0.003002603176175315
21,Pritish Nandy      ,58.23,0.0023636823434999136
22,Sahara One      ,56.5,0.002293457880950457
23,Shalimar Prod      ,48.23,0.0019577605946591247
24,Purple Entertai      ,26.8,0.0010878702868933143
25,Nouveau Global      ,22.89,0.0009291548830965658
26,Vision Cinemas      ,11.54,0.0004684336981622703
27,Unistar Multime      ,10.76,0.00043677180175268884
28,Radaan Media      ,7.04,0.00028576891118391537
29,Kome-On Communi      ,5.13,0.0002082378571553247
30,Sungold Capital      ,2.78,0.00011284624617773931
