,Company Name,Market_Cap,weights
0,HDFC      ,448422.7,0.8258768599268642
1,LIC Housing Fin      ,23015.16,0.04238788105846195
2,AAVAS Financier      ,21246.35,0.039130197518785576
3,Indiabulls Hsg      ,12652.02,0.023301698485228076
4,PNB Housing Fin      ,11608.56,0.02137991917240719
5,HUDCO      ,10169.65,0.018729824802703417
6,Can Fin Homes      ,7149.04,0.01316665437920861
7,Home First      ,4774.84,0.008794001431803493
8,Repco Home      ,2245.01,0.004134718892028458
9,GIC Housing Fin      ,939.16,0.0017296861014594348
10,Reliance Home F      ,229.92,0.0004234522642015772
11,SRG Housing Fin      ,224.9,0.00041420674242751706
12,Star Housing      ,148.9,0.0002742346996329804
13,India Home Loan      ,68.34,0.00012586433427077152
14,Sahara Housing      ,35.67,6.569477324317267e-05
15,Ind Bank Housin      ,35.35,6.510541727351146e-05
