,Company Name,Market_Cap,weights
0,Bajaj Finserv      ,209526.72,0.5036525900859486
1,HDFC AMC      ,61717.4,0.14835400641679747
2,AB Capital      ,28772.48,0.06916222463271583
3,Nippon      ,25162.73,0.06048524091883556
4,Chola Fin Hold      ,12502.82,0.030053816889695023
5,UTI AMC      ,11759.52,0.028267099805540385
6,IIFL Finance      ,10763.91,0.025873889263154804
7,JM Financial      ,9825.52,0.023618222043189956
8,Capri Global      ,9220.03,0.022162767546641062
9,JSW Holdings      ,5375.88,0.012922341770974363
10,Religare Enterp      ,5074.84,0.012198712938721016
11,Equitas Holding      ,4207.44,0.010113688858543786
12,Authum Invest      ,2233.52,0.005368852874749187
13,Pilani Invest      ,2173.7,0.005225059768366662
14,Centrum Capital      ,2082.24,0.005005211598695219
15,BF Investment      ,1518.19,0.003649369043445086
16,Max Ventures an      ,1258.77,0.0030257848298417
17,Rane Holdings      ,1065.27,0.002560656677300434
18,SMC Global Secu      ,1062.9,0.0025549597588429523
19,Capital India      ,1056.8,0.0025402968041633566
20,VLS Finance      ,937.17,0.00225273462902893
21,Nalwa Sons      ,925.56,0.0022248269398764536
22,Kalyani Invest      ,895.67,0.0021529784619464362
23,Oswal Greentech      ,762.72,0.0018333981628231221
24,Kiran Vyapar      ,433.82,0.001042800491656082
25,Dhunseri Invest      ,404.94,0.0009733798144189152
26,Max India      ,386.99,0.0009302322674519091
27,A.K.Capital Ser      ,326.7,0.0007853093924301369
28,Systematix Corp      ,324.7,0.0007805018663056793
29,Prismx Global      ,254.37,0.0006114452101391304
30,Oswal Agro      ,243.5,0.0005853163056527038
31,ILandFS      ,224.85,0.0005404861245421373
32,Paul Merchants      ,185.66,0.00044628265013339216
33,Apollo Finvest      ,173.54,0.00041714904181917953
34,Magellanic      ,161.07,0.0003871741164331868
35,Maha Rasht Apex      ,160.08,0.00038479439100158044
36,Welspun Invest      ,157.33,0.0003781840425804513
37,PMC Fincorp      ,149.66,0.0003597471798931567
38,Vibrant Global      ,146.61,0.000352415702553359
39,LKP Finance      ,140.14,0.0003368633555407388
40,Avonmore Cap      ,110.43,0.0002654475549619223
41,Aarnav Fashions      ,103.23,0.0002481404609138752
42,Yamini Invt      ,101.47,0.00024390983792435257
43,Ganges Securiti      ,97.74,0.00023494380170223928
44,East West      ,88.64,0.00021306955783595755
45,Narendra Invest      ,79.63,0.0001914116526452764
46,Palash Securiti      ,74.47,0.00017900823524417598
47,Zodiac Ventures      ,66.56,0.00015999446942194646
48,Indo Thai Secu      ,65.05,0.00015636478719798102
49,Wallfort Fin      ,61.37,0.0001475189391289792
50,Goldcrest Fin      ,56.04,0.00013470688200729989
51,Shriram Asset      ,55.38,0.0001331203983862289
52,Titan Secu      ,55.04,0.00013230311894507112
53,Superior Finlea      ,54.75,0.00013160602765702477
54,Keynote Finance      ,54.43,0.00013083682347711157
55,Tamboli Capital      ,54.06,0.00012994743114408692
56,Aryaman Fin Ser      ,52.57,0.00012636582418136609
57,Times Guaranty      ,50.54,0.00012148618516504169
