,Company Name,Market_Cap,weights
0,Bajaj Finance      ,374225.48,0.5042507315348562
1,Muthoot Finance      ,63798.73,0.08596570247834215
2,Bajaj Holdings      ,42471.27,0.05722798182185348
3,Shriram Trans      ,37307.17,0.05026960687977537
4,IRFC      ,30514.96,0.041117432470811115
5,Sundaram Fin      ,29318.09,0.039504708043142205
6,L&T Finance      ,21823.23,0.029405746749134827
7,M&M Financial      ,19064.23,0.025688127712866455
8,Manappuram Fin      ,16601.44,0.02236963732274997
9,Motilal Oswal      ,15582.82,0.020997096147424243
10,Shriram City      ,11832.72,0.015944017804579002
11,Magma Fincorp      ,11579.76,0.015603166441253724
12,CreditAccess Gr      ,10963.6,0.014772920647347556
13,IDFC      ,9203.18,0.012400839855818899
14,Edelweiss      ,8514.65,0.011473078987735585
15,Tata Inv Corp      ,5870.83,0.007910659429755504
16,Spandana Sphoor      ,4423.94,0.0059610451465418966
17,Indostar Capita      ,4317.96,0.0058182422232132555
18,Paisalo Digital      ,2832.1,0.0038161177501325303
19,Bengal & Assam     ,1881.4,0.002535095489248029
20,PTC India Fin      ,1400.18,0.0018866748177608725
21,PNB Gilts      ,1301.47,0.001753667867753605
22,Balmer Invest      ,1074.68,0.0014480793134820198
23,Sasta Sundar      ,1044.02,0.0014067664466273664
24,Vardhman Hold      ,1036.61,0.0013967818300783454
25,Ugro Capital      ,848.11,0.001142787198568165
26,Niyogin Fintech      ,819.07,0.001103657203347711
27,Muthoot Cap      ,783.4,0.0010555936038465536
28,Summit Sec      ,709.27,0.0009557070148075632
29,Gloster      ,705.84,0.0009510852557302163
30,Finkurve Fin      ,702.16,0.000946126633746357
31,Satin Credit      ,648.19,0.0008734046694885086
32,Arman Financial      ,579.25,0.000780511354388711
33,SREI Infra      ,573.52,0.0007727904565714518
34,The Investment     ,535.81,0.0007219780557531552
35,Sindhu Trade      ,515.78,0.0006949885996833997
36,Rel Capital      ,453.61,0.000611217532091952
37,Nahar Capital      ,406.18,0.000547307901468462
38,SIL Invest      ,343.31,0.00046259361773878007
39,Sangam Renewabl      ,333.56,0.0004494559643848052
40,Master Trust      ,307.81,0.00041475908501405114
41,Mangalam Ind      ,275.99,0.00037188317427318143
42,Ind & Prud Invt      ,264.41,0.00035627968444353747
43,Saraswati Comm      ,244.61,0.0003296001422477732
44,CSL Fin      ,227.03,0.00030591194266183695
45,Coral India Fin      ,210.98,0.00028428534406375525
46,BNK Capital      ,196.0,0.0002641005187055457
47,Mercantile Vent      ,191.38,0.0002578752921932007
48,Capital Trust      ,180.88,0.0002437270501196893
49,Jaykay Enter      ,179.02,0.00024122079009523874
50,Industrial Inv      ,167.64,0.00022588679059080448
51,Sakthi Finance      ,158.53,0.00021361150627750082
52,Starteck Financ      ,145.19,0.00019563650158601112
53,Anjani Foods      ,139.74,0.00018829289022404572
54,U. Y. Fincorp      ,133.55,0.00017995216465880424
55,Moneyboxx Finan      ,130.73,0.00017615235107334688
56,Shardul Sec      ,124.24,0.0001674073900202908
57,Mukesh Babu Fin      ,101.04,0.0001361465122959609
58,Flag Finin      ,84.79,0.0001142504233726695
59,Motor and Gen F      ,84.23,0.00011349585046208222
60,McDowell Hold      ,80.04,0.00010785002814893816
61,Suchitra Fin      ,69.45,9.35805154290824e-05
62,IndiaNivesh      ,64.18,8.647944535980574e-05
63,Upsurge Invest      ,59.85,8.064497981901485e-05
64,Ashika Credit      ,59.58,8.02811678799817e-05
65,Arnold Holdings      ,53.83,7.253332103020165e-05
66,Comfort      ,53.27,7.17787481196144e-05
67,TCFC Finance      ,52.57,7.083553198138029e-05
68,Baid Leasing      ,52.35,7.053909262364958e-05
69,Leading Leasing      ,45.11,6.078354285105697e-05
70,KIFS Financial      ,44.79,6.0352358330721385e-05
71,Shalibhadra Fin      ,41.0,5.524551666799681e-05
72,Acme Resources      ,40.68,5.481433214766122e-05
73,ARC Finance      ,39.74,5.354772761917544e-05
74,Capital Trade      ,39.33,5.299527245249547e-05
