,Company Name,Market_Cap,weights
0,Max Financial      ,37412.17,0.9426353608602505
1,EBIXCASH WORLD      ,686.48,0.01729651935515488
2,Suvidhaa Info      ,513.32,0.012933587745292074
3,Crest Ventures      ,368.28,0.009279166396859979
4,Vaarad Ventures      ,361.11,0.009098511397768294
5,STEL Holdings      ,210.3,0.005298709387584593
6,Ontic Finserve      ,54.27,0.0013673844910328857
7,Asit C Mehta      ,35.56,0.0008959681684379845
8,Tiaan Consumer      ,24.34,0.0006132695506125012
9,MPIL Corp      ,14.75,0.000371640339832966
10,Yogi-Sung-Won      ,7.33,0.0001846863519305519
11,Charms Ind      ,1.0,2.5195955242912946e-05
