,Company Name,Market_Cap,weights
0,ICICI Securitie      ,23583.15,0.34704446785234666
1,Dhani Services      ,12676.3,0.18654165316493776
2,Angel Broking      ,10723.72,0.15780791373491526
3,MCX India      ,8495.56,0.1250187994100738
4,Geojit Fin      ,2197.98,0.03234499205789307
5,Dolat Investmen      ,2132.24,0.03137757662286368
6,SHAREINDIA      ,1693.76,0.02492500102274678
7,5paisa Capita      ,1325.99,0.019512978288631213
8,Dhanvarsha Finv      ,1111.87,0.01636203528667666
9,Choice Internat      ,628.52,0.009249162598489045
10,East India Sec      ,433.07,0.006372963225557899
11,AB Money      ,432.11,0.006358836075913418
12,Monarch Net      ,380.36,0.005597294415390589
13,Arihant Capital      ,341.59,0.005026763590685854
14,Inventure Grow      ,304.08,0.004474774649889501
15,Emkay Global      ,298.88,0.004398252589315226
16,Prime Sec      ,273.77,0.0040287393314267575
17,Almondz Global      ,161.78,0.0023807190307127183
18,Indbank Merchan      ,146.45,0.002155126109827405
19,LKP Securities      ,119.77,0.001762509075957858
20,Inditrade Capit      ,109.29,0.0016082876923389357
21,Toyam Ind      ,70.97,0.0010443789690300507
22,BLB      ,59.79,0.0008798565387953606
23,DB (Int) Stock      ,52.05,0.0007659563947867287
24,Swastika Invest      ,48.55,0.0007144511617078902
25,Joindre Capital      ,40.68,0.0005986379661849016
26,BN Rathi Sec      ,23.26,0.00034228906326108194
27,Vertex Sec      ,21.24,0.00031256318588415217
28,Khandwala Sec      ,21.13,0.00031094444998738867
29,Nam Securities      ,17.74,0.0002610579528053135
30,CIL Securities      ,11.85,0.00017438200342406794
31,Inani Sec      ,7.29,0.00010727804261278105
32,Royal India      ,5.98,8.800036966041573e-05
33,Five X Tradecom      ,2.06,3.0314508612116455e-05
34,Abhishek Infra      ,1.43,2.10435666579255e-05
