,Company Name,Market_Cap,weights
0,SBI Card      ,89169.08,0.43400094987663185
1,Chola Invest.      ,41013.42,0.19961923166291778
2,Power Finance      ,33898.65,0.1649904462346756
3,REC      ,30305.12,0.14750012971004425
4,MAS Financial S      ,4529.57,0.02204618105886811
5,IFCI      ,2948.62,0.014351430796698072
6,Ujjivan Financi      ,2891.29,0.014072396018539239
7,Tourism Finance      ,617.89,0.003007374831267431
8,Guj Stat Fin      ,69.51,0.00033831689219990474
9,Gold Line      ,15.11,7.354291815768322e-05
