,Company Name,Market_Cap,weights
0,Adani Total Gas      ,95562.5,0.37021177915190406
1,GAIL      ,63297.69,0.24521700908939895
2,Gujarat Gas      ,49736.19,0.19267938143243574
3,IGL      ,37660.04,0.14589604092956832
4,Mahanagar Gas      ,11335.24,0.04391303458484059
5,Refex Ind      ,283.0,0.0010963498600391245
6,Bombay Oxygen     ,202.52,0.0007845681047884223
7,National Oxygen      ,27.06,0.00010483119156416506
8,Kabsons Ind      ,16.42,6.361153604891317e-05
9,Bhagwati Oxygen      ,8.62,3.339411941179241e-05
