,Company Name,Market_Cap,weights
0,Asahi India      ,8926.26,0.44251840467987014
1,Borosil      ,3801.09,0.18843863867337582
2,La Opala RG      ,3008.1,0.14912624247081277
3,Borosil Ltd.      ,2516.33,0.12474679622239297
4,Saint-Gobain      ,633.18,0.0313898321889795
5,Empire Ind      ,540.0,0.026770443447438216
6,Hind Nat Glass      ,425.38,0.02108816895124309
7,Haldyn Glass      ,212.59,0.010539126986094242
8,Banaras Beads      ,58.4,0.00289517388394517
9,Insilco      ,50.17,0.0024871724958481028
