,Company Name,Market_Cap,weights
0,Container Corp      ,40429.73,0.611058186639848
1,TCI Express      ,6300.0,0.09521870603219566
2,Mahindra Logist      ,4263.2,0.06443434723118358
3,Gateway Distri      ,3341.23,0.05049961859618304
4,Transport Corp      ,3188.05,0.04818444377237165
5,VRL Logistics      ,2637.94,0.03987003704612226
6,Gati      ,2060.35,0.031140295392608625
7,Snowman Logist      ,854.66,0.012917399888488309
8,SEACOAST SS      ,828.22,0.012517783604759539
9,Arshiya      ,799.94,0.012090357413237239
10,Navkar Corp      ,779.69,0.011784297286705181
11,Future Supply      ,383.98,0.005803504562260714
12,Sical Logistics      ,88.66,0.0013400143613991218
13,Orissa Bengal C      ,87.49,0.001322330887421714
14,North Eastern      ,72.28,0.0010924457257154132
15,ABC India      ,48.05,0.0007262315594995241
