,Company Name,Market_Cap,weights
0,Apollo Hospital      ,56564.88,0.3002885674938806
1,Dr Lal PathLab      ,28615.63,0.15191310475041964
2,Max Healthcare      ,26505.53,0.1407111202987804
3,Fortis Health      ,18126.55,0.09622924565748574
4,Metropolis      ,14516.32,0.07706345241221707
5,Narayana Hruda      ,10180.23,0.054044252961523626
6,Krishna Inst.      ,9814.61,0.05210326933268693
7,Aster DM Health      ,8029.67,0.042627476655984924
8,Thyrocare Techn      ,6968.06,0.03699165905790678
9,Healthcare Glob      ,2821.37,0.014977936056263356
10,Shalby     ,2190.44,0.011628489086890946
11,Kovai Medical      ,1526.45,0.008103534982325324
12,Indraprastha      ,760.89,0.0040393715697870985
13,KMC Speciality      ,627.88,0.003333255294770497
14,AMSL      ,489.4,0.0025981001803858715
15,Dr Agarwals Eye      ,204.47,0.0010854792478207993
16,Fortis Malar      ,120.51,0.0006397569528776081
17,Lotus Eye Care      ,97.74,0.0005188768116692176
18,Tejnaksh      ,78.21,0.0004151970067592542
19,Medinova Diag      ,37.93,0.00020136072709856173
20,Transgene Biote      ,30.23,0.00016048338466094177
21,Looks Health      ,18.9,0.0001003352950741581
22,NG Industries      ,16.42,8.716960556178181e-05
23,Chennai Meenaks      ,10.2,5.4149206865418654e-05
24,Choksi Labs      ,10.0,5.308745771119476e-05
25,Dolphin Medical      ,5.89,3.1268512591893715e-05
