,Company Name,Market_Cap,weights
0,Indian Hotels      ,17345.33,0.31527281894705445
1,Westlife Dev      ,8188.22,0.14883102261869044
2,EIH      ,6847.74,0.12446614121590666
3,Mahindra Holida      ,4410.77,0.08017119833563842
4,Chalet Hotels      ,3514.11,0.06387329418293185
5,India Tourism D      ,3394.75,0.06170377860326168
6,Lemon Tree Hote      ,3212.56,0.05839225008901814
7,EIH Assoc Hotel      ,1001.95,0.01821168008587909
8,Coffee Day      ,905.21,0.01645331097413904
9,Taj GVK Hotels      ,824.84,0.014992486852673795
10,Mac Charles      ,675.42,0.012276593606072613
11,Oriental Hotels      ,647.42,0.011767658986176795
12,HLV      ,615.42,0.011186019420581575
13,Sayaji Hotels      ,413.42,0.007514419662761748
14,Speciality Rest      ,337.39,0.006132480407380354
15,Asian Hotel (W)      ,329.96,0.0059974309707437135
16,Advani Hotels      ,324.46,0.005897461670407035
17,Asian Hotel (E)      ,239.14,0.0043466651786387795
18,Sinclairs Hotel      ,237.42,0.004315402051988037
19,Royal Orchid      ,235.86,0.00428704712316527
20,Benares Hotels      ,211.91,0.003851726260790097
21,Asian Hotels      ,180.43,0.0032795383381357996
22,Country Club      ,136.82,0.0024868726676480634
23,Graviss Hosp      ,124.47,0.002262396147801158
24,Kamat Hotels      ,118.27,0.002149703481967084
25,The Byke Hosp      ,114.88,0.0020880860404868403
26,Guj Hotels      ,67.04,0.0012185348899219864
27,Savera Ind      ,57.02,0.001036409000944983
28,CHL      ,55.09,0.0010013288646450213
29,Royale Manor      ,52.49,0.0009540706499404097
30,Dhanada Corp      ,36.58,0.000664886728421036
31,TGB Banquets      ,24.01,0.00043641143656066364
32,Phoenix Town      ,23.77,0.0004320491398186995
33,Jindal Hotels      ,21.38,0.0003886079347633065
34,Viceroy Hotels      ,15.9,0.000289002159155125
35,Lakeland Hotels      ,12.66,0.000230111153138609
36,Ras Resorts      ,11.91,0.000216478975819971
37,Polo Hotels      ,11.61,0.0002110261048925158
38,HS India      ,10.8,0.00019630335338838683
39,Sanghvi Brands     ,9.53,0.0001732195331288265
40,Tatia Skylines      ,7.2,0.00013086890225892455
41,Hotel Rugby      ,5.9,0.00010723979490661873
42,Howard Hotels      ,5.83,0.00010596745835687918
